run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260418_205738,3105,3105,1863.6927,2505.0000,74.8378,95.0744,26.7328,983.1031,16.0088,27.8276,67.6004,1881.1542,data\raw\compute\logs\01_sgemm_nn\clk3105_r1_20260418_205738_power.csv
clk3105_r2_20260418_205838,3105,3105,1864.4253,2505.0000,75.6552,95.5939,26.8180,988.5728,16.0979,27.8223,67.9221,1889.7505,data\raw\compute\logs\01_sgemm_nn\clk3105_r2_20260418_205838_power.csv
clk3105_r3_20260418_205937,3105,3105,1855.7795,2505.0000,75.9430,95.6274,26.7928,983.6616,16.0179,27.9098,67.6803,1888.9414,data\raw\compute\logs\01_sgemm_nn\clk3105_r3_20260418_205937_power.csv
clk3045_r1_20260418_210039,3045,3045,1859.9427,2505.0000,75.5973,95.1775,26.7156,988.4733,16.0963,27.9098,67.7251,1890.1933,data\raw\compute\logs\01_sgemm_nn\clk3045_r1_20260418_210039_power.csv
clk3045_r2_20260418_210139,3045,3045,1852.8721,2505.0000,76.2615,95.9924,26.9122,985.6126,16.0497,27.9113,67.8052,1892.5315,data\raw\compute\logs\01_sgemm_nn\clk3045_r2_20260418_210139_power.csv
clk3045_r3_20260418_210239,3045,3045,1851.3878,2505.0000,76.2490,96.1977,26.9544,983.6616,16.0179,27.8898,67.6782,1887.5297,data\raw\compute\logs\01_sgemm_nn\clk3045_r3_20260418_210239_power.csv
clk2985_r1_20260418_210341,2985,2985,1858.4542,2505.0000,76.0611,96.7557,26.4714,987.4351,16.0794,27.8739,67.6960,1886.9500,data\raw\compute\logs\01_sgemm_nn\clk2985_r1_20260418_210341_power.csv
clk2985_r2_20260418_210440,2985,2985,1854.8286,2505.0000,76.3981,96.0000,26.8629,986.6076,16.0659,27.9433,67.7693,1893.6988,data\raw\compute\logs\01_sgemm_nn\clk2985_r2_20260418_210440_power.csv
clk2985_r3_20260418_210540,2985,2985,1851.0171,2505.0000,76.4297,96.5779,27.0247,986.6635,16.0668,27.9694,67.7946,1896.1739,data\raw\compute\logs\01_sgemm_nn\clk2985_r3_20260418_210540_power.csv
clk2925_r1_20260418_210642,2925,2925,1851.4122,2505.0000,76.0649,95.7042,26.7786,987.4141,16.0790,27.9485,69.3715,1938.8286,data\raw\compute\logs\01_sgemm_nn\clk2925_r1_20260418_210642_power.csv
clk2925_r2_20260418_210742,2925,2925,1842.9637,2505.0000,76.5755,96.4608,26.9904,991.2467,16.1415,27.9539,68.1844,1906.0233,data\raw\compute\logs\01_sgemm_nn\clk2925_r2_20260418_210742_power.csv
clk2925_r3_20260418_210841,2925,2925,1856.1006,2505.0000,76.6869,96.5844,27.0266,984.7932,16.0364,27.9439,67.8234,1895.2502,data\raw\compute\logs\01_sgemm_nn\clk2925_r3_20260418_210841_power.csv
clk2865_r1_20260418_210943,2865,2865,1854.4646,2505.0000,76.1644,95.9847,26.9101,988.4359,16.0957,27.9400,69.5424,1943.0125,data\raw\compute\logs\01_sgemm_nn\clk2865_r1_20260418_210943_power.csv
clk2865_r2_20260418_211043,2865,2865,1851.4734,2505.0000,76.5684,96.5779,26.8783,986.6483,16.0666,27.9282,67.9949,1898.9776,data\raw\compute\logs\01_sgemm_nn\clk2865_r2_20260418_211043_power.csv
clk2865_r3_20260418_211143,2865,2865,1848.3714,2505.0000,76.8743,96.5714,26.8095,987.4724,16.0800,27.9995,67.8661,1900.2144,data\raw\compute\logs\01_sgemm_nn\clk2865_r3_20260418_211143_power.csv
clk2805_r1_20260418_211244,2805,2805,1855.4685,2505.0000,76.3786,95.5927,26.7304,987.3576,16.0781,27.9355,67.7995,1894.0155,data\raw\compute\logs\01_sgemm_nn\clk2805_r1_20260418_211244_power.csv
clk2805_r2_20260418_211344,2805,2805,1852.3143,2505.0000,76.8114,95.9905,26.7048,984.6533,16.0341,27.9589,67.7938,1895.4409,data\raw\compute\logs\01_sgemm_nn\clk2805_r2_20260418_211344_power.csv
clk2805_r3_20260418_211444,2805,2805,1847.1429,2505.0000,77.0552,96.5714,26.8400,988.0057,16.0887,27.9981,67.9269,1901.8275,data\raw\compute\logs\01_sgemm_nn\clk2805_r3_20260418_211444_power.csv
clk2745_r1_20260418_211546,2745,2745,1853.2857,2505.0000,76.4610,95.8095,26.7752,986.0419,16.0567,27.9520,67.5905,1889.2889,data\raw\compute\logs\01_sgemm_nn\clk2745_r1_20260418_211546_power.csv
clk2745_r2_20260418_211646,2745,2745,1845.4580,2505.0000,76.9905,96.5649,26.9523,989.0706,16.1060,27.9780,68.0752,1904.6082,data\raw\compute\logs\01_sgemm_nn\clk2745_r2_20260418_211646_power.csv
clk2745_r3_20260418_211746,2745,2745,1847.8517,2505.0000,76.9163,96.1977,26.7243,984.7148,16.0351,27.9422,67.8676,1896.3703,data\raw\compute\logs\01_sgemm_nn\clk2745_r3_20260418_211746_power.csv
clk2685_r1_20260418_211848,2685,2685,1850.4335,2505.0000,76.4971,96.3931,26.6917,994.9672,16.2020,27.9646,68.1586,1906.0299,data\raw\compute\logs\01_sgemm_nn\clk2685_r1_20260418_211848_power.csv
