run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260418_235622,3105,3105,1863.9335,2505.0000,73.6869,96.0861,34.9824,992.6164,16.1638,27.3122,68.0398,1858.3191,data\raw\compute\logs\02_sgemm_nt\clk3105_r1_20260418_235622_power.csv
clk3105_r2_20260418_235720,3105,3105,1852.8794,2505.0000,74.4436,96.3035,34.9339,989.9222,16.1199,27.4688,68.0664,1869.7046,data\raw\compute\logs\02_sgemm_nt\clk3105_r2_20260418_235720_power.csv
clk3105_r3_20260418_235817,3105,3105,1856.6796,2505.0000,74.9301,97.2466,35.0350,989.3825,16.1111,27.4608,67.9987,1867.2967,data\raw\compute\logs\02_sgemm_nt\clk3105_r3_20260418_235817_power.csv
clk3045_r1_20260418_235917,3045,3045,1851.2695,2505.0000,74.7637,96.4844,34.9824,995.7500,16.2148,27.4760,68.0617,1870.0662,data\raw\compute\logs\02_sgemm_nt\clk3045_r1_20260418_235917_power.csv
clk3045_r2_20260419_000015,3045,3045,1854.7674,2505.0000,75.2287,96.5116,35.0252,988.9264,16.1037,27.4332,68.1741,1870.2313,data\raw\compute\logs\02_sgemm_nt\clk3045_r2_20260419_000015_power.csv
clk3045_r3_20260419_000113,3045,3045,1851.4120,2505.0000,75.3443,96.5184,34.9014,988.9807,16.1046,27.5468,68.0281,1873.9569,data\raw\compute\logs\02_sgemm_nt\clk3045_r3_20260419_000113_power.csv
clk2985_r1_20260419_000214,2985,2985,1848.3984,2505.0000,75.2090,96.6797,34.9453,996.6543,16.2295,27.5627,68.2881,1882.2073,data\raw\compute\logs\02_sgemm_nt\clk2985_r1_20260419_000214_power.csv
clk2985_r2_20260419_000312,2985,2985,1848.6699,2505.0000,75.5534,97.2816,34.9553,991.4854,16.1453,27.5227,68.2902,1879.5290,data\raw\compute\logs\02_sgemm_nt\clk2985_r2_20260419_000312_power.csv
clk2985_r3_20260419_000410,2985,2985,1850.7157,2505.0000,75.6789,96.8704,34.8994,991.4449,16.1447,27.5420,67.9677,1871.9660,data\raw\compute\logs\02_sgemm_nt\clk2985_r3_20260419_000410_power.csv
clk2925_r1_20260419_000510,2925,2925,1845.5263,2505.0000,75.4152,96.6862,35.0019,996.6920,16.2301,27.5627,68.2017,1879.8230,data\raw\compute\logs\02_sgemm_nt\clk2925_r1_20260419_000510_power.csv
