run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_054750,3105,3105,2051.7961,2505.0000,68.2136,91.7476,35.4223,3152.5825,51.3366,10.5249,64.8672,682.7224,data\raw\compute\logs\04_conv2d_forward\clk3105_r1_20260419_054750_power.csv
clk3105_r2_20260419_054814,3105,3105,2048.8571,2505.0000,69.2238,90.4762,35.2762,3107.9810,50.6103,10.5632,64.7797,684.2788,data\raw\compute\logs\04_conv2d_forward\clk3105_r2_20260419_054814_power.csv
clk3105_r3_20260419_054838,3105,3105,2043.6967,2505.0000,70.0664,91.4692,35.1232,3093.6635,50.3772,10.5663,64.4925,681.4490,data\raw\compute\logs\04_conv2d_forward\clk3105_r3_20260419_054838_power.csv
clk3045_r1_20260419_054905,3045,3045,2041.6748,2505.0000,70.3252,91.7476,35.2621,3168.6019,51.5975,10.5809,65.4466,692.4819,data\raw\compute\logs\04_conv2d_forward\clk3045_r1_20260419_054905_power.csv
clk3045_r2_20260419_054929,3045,3045,2047.0379,2505.0000,70.9052,90.5213,35.5592,3101.6445,50.5072,10.5864,64.7718,685.7026,data\raw\compute\logs\04_conv2d_forward\clk3045_r2_20260419_054929_power.csv
clk3045_r3_20260419_054954,3045,3045,2050.2632,2505.0000,71.5215,89.9522,34.3541,3123.2536,50.8590,10.5941,64.9746,688.3449,data\raw\compute\logs\04_conv2d_forward\clk3045_r3_20260419_054954_power.csv
clk2985_r1_20260419_055020,2985,2985,2042.4029,2505.0000,71.2670,91.7476,36.0049,3168.7379,51.5997,10.5865,65.2966,691.2590,data\raw\compute\logs\04_conv2d_forward\clk2985_r1_20260419_055020_power.csv
clk2985_r2_20260419_055045,2985,2985,2022.6651,2505.0000,71.6038,90.5660,34.6745,3101.5896,50.5063,10.6081,64.3855,683.0109,data\raw\compute\logs\04_conv2d_forward\clk2985_r2_20260419_055045_power.csv
clk2985_r3_20260419_055109,2985,2985,2033.6429,2505.0000,72.1333,91.0095,35.1000,3121.3000,50.8272,10.6119,64.6115,685.6530,data\raw\compute\logs\04_conv2d_forward\clk2985_r3_20260419_055109_power.csv
clk2925_r1_20260419_055136,2925,2925,2032.0244,2505.0000,71.9220,91.7073,36.2585,3184.1951,51.8514,10.6021,65.5220,694.6734,data\raw\compute\logs\04_conv2d_forward\clk2925_r1_20260419_055136_power.csv
clk2925_r2_20260419_055200,2925,2925,2048.9151,2505.0000,71.9670,90.0943,35.1368,3094.7972,50.3957,10.6148,65.0262,690.2434,data\raw\compute\logs\04_conv2d_forward\clk2925_r2_20260419_055200_power.csv
