run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_132633,3105,3105,2228.9583,2520.0000,60.7708,87.5000,41.9375,1850.4236,30.1323,6.8814,62.0465,426.9667,data\raw\compute\logs\06_conv_transpose2d\clk3105_r1_20260419_132633_power.csv
clk3105_r2_20260419_132651,3105,3105,2235.7843,2520.0000,60.7059,83.0065,39.7908,1759.4444,28.6508,6.8901,59.0862,407.1114,data\raw\compute\logs\06_conv_transpose2d\clk3105_r2_20260419_132651_power.csv
clk3105_r3_20260419_132709,3105,3105,2219.7945,2520.0000,61.8288,85.6164,40.8836,1817.6575,29.5987,6.8917,61.6077,424.5797,data\raw\compute\logs\06_conv_transpose2d\clk3105_r3_20260419_132709_power.csv
clk3045_r1_20260419_132729,3045,3045,2221.3636,2520.0000,61.7622,88.1119,41.7902,1873.2308,30.5037,6.8863,62.3839,429.5952,data\raw\compute\logs\06_conv_transpose2d\clk3045_r1_20260419_132729_power.csv
clk3045_r2_20260419_132747,3045,3045,2226.2245,2520.0000,62.1293,85.7347,40.8980,1824.7823,29.7147,6.8963,61.5503,424.4718,data\raw\compute\logs\06_conv_transpose2d\clk3045_r2_20260419_132747_power.csv
clk3045_r3_20260419_132804,3045,3045,2216.6554,2520.0000,62.0743,84.4595,40.6959,1799.3986,29.3014,6.9005,61.0765,421.4571,data\raw\compute\logs\06_conv_transpose2d\clk3045_r3_20260419_132804_power.csv
clk2985_r1_20260419_132824,2985,2985,2224.8592,2520.0000,62.1268,88.0282,41.9085,1865.9930,30.3858,6.8953,62.5181,431.0805,data\raw\compute\logs\06_conv_transpose2d\clk2985_r1_20260419_132824_power.csv
clk2985_r2_20260419_132842,2985,2985,2223.1849,2520.0000,62.6575,86.3014,41.1575,1818.1096,29.6061,6.8953,61.5812,424.6212,data\raw\compute\logs\06_conv_transpose2d\clk2985_r2_20260419_132842_power.csv
clk2985_r3_20260419_132859,2985,2985,2222.9592,2520.0000,62.6531,85.7143,40.8231,1806.6327,29.4192,6.8995,61.4342,423.8664,data\raw\compute\logs\06_conv_transpose2d\clk2985_r3_20260419_132859_power.csv
clk2925_r1_20260419_132919,2925,2925,2210.5594,2520.0000,62.6643,87.4126,41.5524,1864.8741,30.3676,6.8994,62.1690,428.9286,data\raw\compute\logs\06_conv_transpose2d\clk2925_r1_20260419_132919_power.csv
clk2925_r2_20260419_132937,2925,2925,2225.3356,2505.0000,62.7785,85.2349,40.4362,1794.6510,29.2241,6.8997,60.7901,419.4365,data\raw\compute\logs\06_conv_transpose2d\clk2925_r2_20260419_132937_power.csv
clk2925_r3_20260419_132955,2925,2925,2216.3265,2505.0000,62.9796,85.7143,40.5714,1815.3401,29.5610,6.9021,61.3730,423.6052,data\raw\compute\logs\06_conv_transpose2d\clk2925_r3_20260419_132955_power.csv
clk2865_r1_20260419_133015,2865,2865,2206.4789,2520.0000,62.8028,88.0282,42.2606,1872.0423,30.4843,6.9024,62.5723,431.9004,data\raw\compute\logs\06_conv_transpose2d\clk2865_r1_20260419_133015_power.csv
clk2865_r2_20260419_133032,2865,2865,2205.0000,2505.0000,63.1370,86.3014,41.3151,1827.6986,29.7622,6.9036,62.0123,428.1104,data\raw\compute\logs\06_conv_transpose2d\clk2865_r2_20260419_133032_power.csv
clk2865_r3_20260419_133050,2865,2865,2217.1429,2505.0000,63.2109,86.3946,41.5102,1815.3537,29.5612,6.9073,61.3278,423.6072,data\raw\compute\logs\06_conv_transpose2d\clk2865_r3_20260419_133050_power.csv
clk2805_r1_20260419_133110,2805,2805,2209.8252,2505.0000,63.1748,88.1119,42.0629,1855.8951,30.2214,6.9007,62.6112,432.0639,data\raw\compute\logs\06_conv_transpose2d\clk2805_r1_20260419_133110_power.csv
clk2805_r2_20260419_133127,2805,2805,2214.3878,2505.0000,63.4082,85.7143,41.2449,1804.3878,29.3826,6.9059,61.3019,423.3424,data\raw\compute\logs\06_conv_transpose2d\clk2805_r2_20260419_133127_power.csv
clk2805_r3_20260419_133145,2805,2805,2209.6939,2505.0000,63.2585,85.7143,40.5918,1815.0476,29.5562,6.9092,61.5215,425.0667,data\raw\compute\logs\06_conv_transpose2d\clk2805_r3_20260419_133145_power.csv
clk2745_r1_20260419_133205,2745,2745,2202.5704,2505.0000,63.1901,88.0282,41.2606,1879.1831,30.6006,6.9027,62.6518,432.4688,data\raw\compute\logs\06_conv_transpose2d\clk2745_r1_20260419_133205_power.csv
clk2745_r2_20260419_133222,2745,2745,2231.4527,2505.0000,63.5811,85.1351,40.1689,1807.6959,29.4365,6.9064,61.2068,422.7187,data\raw\compute\logs\06_conv_transpose2d\clk2745_r2_20260419_133222_power.csv
clk2745_r3_20260419_133240,2745,2745,2213.6149,2505.0000,63.4054,85.8108,41.3108,1803.3581,29.3659,6.9105,61.3617,424.0406,data\raw\compute\logs\06_conv_transpose2d\clk2745_r3_20260419_133240_power.csv
clk2685_r1_20260419_133300,2685,2685,2220.9000,2505.0000,62.2667,84.6667,39.9600,1782.8600,29.0321,6.9011,59.6602,411.7208,data\raw\compute\logs\06_conv_transpose2d\clk2685_r1_20260419_133300_power.csv
clk2685_r2_20260419_133319,2685,2685,2220.0000,2505.0000,63.1267,84.6667,40.0400,1806.4733,29.4166,6.9077,60.9994,421.3639,data\raw\compute\logs\06_conv_transpose2d\clk2685_r2_20260419_133319_power.csv
clk2685_r3_20260419_133337,2685,2685,2204.5918,2505.0000,63.5170,85.7143,41.5714,1805.9796,29.4086,6.9123,61.4295,424.6162,data\raw\compute\logs\06_conv_transpose2d\clk2685_r3_20260419_133337_power.csv
clk2625_r1_20260419_133357,2625,2625,2276.6753,2520.0000,58.6907,64.9485,31.1289,1372.2938,22.3464,6.8869,49.9693,344.1351,data\raw\compute\logs\06_conv_transpose2d\clk2625_r1_20260419_133357_power.csv
clk2625_r2_20260419_133426,2625,2625,2218.8699,2520.0000,62.4863,85.6164,40.8699,1826.6164,29.7446,6.9006,61.9686,427.6215,data\raw\compute\logs\06_conv_transpose2d\clk2625_r2_20260419_133426_power.csv
clk2625_r3_20260419_133444,2625,2625,2216.8367,2505.0000,63.2789,86.3946,40.9864,1819.0680,29.6217,6.9062,61.4537,424.4094,data\raw\compute\logs\06_conv_transpose2d\clk2625_r3_20260419_133444_power.csv
clk2565_r1_20260419_133503,2565,2565,2209.7203,2520.0000,63.1189,88.1119,41.9790,1868.0909,30.4200,6.9003,62.2834,429.7725,data\raw\compute\logs\06_conv_transpose2d\clk2565_r1_20260419_133503_power.csv
clk2565_r2_20260419_133521,2565,2565,2215.4795,2505.0000,63.7603,86.9863,40.9932,1827.0548,29.7517,6.9088,61.5590,425.3013,data\raw\compute\logs\06_conv_transpose2d\clk2565_r2_20260419_133521_power.csv
clk2565_r3_20260419_133538,2565,2565,2210.5743,2505.0000,63.5541,84.4595,39.5338,1795.2838,29.2344,6.9092,60.9309,420.9860,data\raw\compute\logs\06_conv_transpose2d\clk2565_r3_20260419_133538_power.csv
clk2505_r1_20260419_133558,2505,2505,2200.6690,2505.0000,63.5352,88.0282,41.8662,1874.7535,30.5285,6.9056,62.5807,432.1555,data\raw\compute\logs\06_conv_transpose2d\clk2505_r1_20260419_133558_power.csv
