timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 02:24:28.159, 12.51, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:28.269, 12.51, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:28.378, 12.51, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:28.489, 1.20, 2130, 2130, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:29.117, 11.89, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:29.225, 11.89, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:29.336, 11.89, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:29.446, 1.20, 1200, 1200, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:30.087, 10.54, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:30.196, 10.54, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:30.305, 10.54, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:30.416, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 02:24:31.009, 11.70, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:31.118, 11.70, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:31.229, 11.70, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:31.339, 11.70, 2130, 2130, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:24:31.447, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
