timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 05:24:25.863, 68.86, 2475, 2475, 8001, 63, 100, 37, 0, 6141, P0, 4, 8
2026/04/19 05:24:25.975, 45.69, 2475, 2475, 8001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:26.085, 45.69, 2475, 2475, 8001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:26.194, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 05:24:26.807, 11.22, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:26.916, 11.22, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:27.026, 11.22, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:27.137, 11.22, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:27.247, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:27.798, 11.11, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:27.909, 11.11, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:28.018, 11.11, 2130, 2130, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:24:28.129, 11.11, 2130, 2130, 7001, 56, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 05:24:28.239, 11.11, 2130, 2130, 7001, 56, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:24:28.349, 14.22, 2130, 2130, 7001, 56, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:24:28.459, 14.22, 2130, 2130, 7001, 56, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:24:28.569, 14.22, 2130, 2130, 7001, 56, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:24:28.678, 14.22, 2130, 2130, 7001, 56, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:24:28.789, 42.42, 1920, 1920, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:28.898, 42.42, 1920, 1920, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.007, 42.42, 1920, 1920, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.117, 42.42, 1920, 1920, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.227, 42.42, 1920, 1920, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.336, 65.67, 1800, 1800, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.445, 65.67, 1800, 1800, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.554, 65.67, 1800, 1800, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.664, 65.67, 1800, 1800, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:24:29.775, 70.07, 1890, 1890, 8001, 69, 100, 37, 1017, 6141, P0, 4, 8
