timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 08:19:18.068, 10.61, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:18.179, 10.61, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:18.289, 10.61, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:18.399, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:18.978, 10.64, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:19.087, 10.64, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:19.196, 10.64, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:19.305, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 08:19:19.853, 12.72, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:19:19.964, 12.72, 2130, 2130, 7001, 45, 0, 0, 307, 6141, P3, 4, 8
2026/04/19 08:19:20.075, 12.72, 2130, 2130, 7001, 45, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:19:20.185, 12.72, 2130, 2130, 7001, 45, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:19:20.294, 12.72, 2130, 2130, 7001, 45, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:19:20.404, 46.72, 1995, 1995, 8001, 59, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 08:19:20.513, 46.72, 1995, 1995, 8001, 59, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 08:19:20.623, 46.72, 1995, 1995, 8001, 59, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 08:19:20.733, 46.72, 1995, 1995, 8001, 59, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 08:19:20.844, 59.60, 1980, 1980, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:20.953, 59.60, 1980, 1980, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.064, 59.60, 1980, 1980, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.176, 59.60, 1980, 1980, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.284, 59.60, 1980, 1980, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.394, 70.65, 1935, 1935, 8001, 60, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.502, 70.65, 1935, 1935, 8001, 60, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.614, 70.65, 1935, 1935, 8001, 60, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.724, 70.65, 1935, 1935, 8001, 60, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.833, 70.25, 1950, 1950, 8001, 62, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:21.945, 70.25, 1950, 1950, 8001, 62, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.055, 70.25, 1950, 1950, 8001, 62, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.166, 70.25, 1950, 1950, 8001, 62, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.276, 70.25, 1950, 1950, 8001, 62, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.387, 69.99, 1950, 1950, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.498, 69.99, 1950, 1950, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.608, 69.99, 1950, 1950, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.719, 69.99, 1950, 1950, 8001, 61, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.829, 70.10, 1950, 1950, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:22.938, 70.10, 1950, 1950, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.049, 70.10, 1950, 1950, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.159, 70.10, 1950, 1950, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.269, 70.10, 1950, 1950, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.378, 69.78, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.489, 69.78, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.600, 69.78, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.711, 69.78, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.822, 69.78, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:23.932, 70.07, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.043, 70.07, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.152, 70.07, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.262, 70.07, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.372, 69.90, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.482, 69.90, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.591, 69.90, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.701, 69.90, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.813, 69.90, 1935, 1935, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 08:19:24.922, 70.04, 1935, 1935, 8001, 63, 100, 23, 1017, 6141, P0, 4, 8
