timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 12:33:56.327, 10.55, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:56.437, 10.55, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:56.547, 10.55, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:56.656, 10.55, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:56.768, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:57.380, 10.53, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:57.490, 10.53, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:57.600, 10.53, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:57.709, 10.53, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:57.820, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 12:33:58.417, 12.54, 2130, 2130, 7001, 45, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 12:33:58.528, 12.54, 2130, 2130, 7001, 45, 0, 0, 3007, 6141, P3, 4, 8
2026/04/19 12:33:58.641, 12.54, 2130, 2130, 7001, 45, 0, 0, 5423, 6141, P3, 4, 8
2026/04/19 12:33:58.751, 12.54, 2130, 2130, 7001, 45, 0, 0, 5871, 6141, P3, 4, 8
2026/04/19 12:33:58.861, 32.53, 2505, 2505, 7001, 52, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:58.972, 32.53, 2505, 2505, 7001, 52, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.081, 32.53, 2505, 2505, 7001, 52, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.192, 32.53, 2505, 2505, 7001, 52, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.302, 32.53, 2505, 2505, 7001, 52, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.413, 26.46, 2520, 2520, 8001, 47, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.524, 26.46, 2520, 2520, 8001, 47, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.635, 26.46, 2520, 2520, 8001, 47, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.747, 26.46, 2520, 2520, 8001, 47, 0, 0, 5871, 6141, P0, 4, 8
2026/04/19 12:33:59.857, 22.76, 2520, 2520, 7001, 47, 0, 0, 5871, 6141, P3, 4, 8
2026/04/19 12:33:59.966, 22.76, 2520, 2520, 7001, 47, 0, 0, 5871, 6141, P3, 4, 8
2026/04/19 12:34:00.076, 22.76, 2520, 2520, 7001, 47, 0, 0, 5875, 6141, P3, 4, 8
2026/04/19 12:34:00.186, 22.76, 2520, 2520, 7001, 47, 0, 0, 5875, 6141, P3, 4, 8
2026/04/19 12:34:00.296, 22.76, 2520, 2520, 7001, 47, 0, 0, 5875, 6141, P3, 4, 8
2026/04/19 12:34:00.407, 27.13, 2505, 2505, 8001, 57, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:00.519, 27.13, 2505, 2505, 8001, 57, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:00.630, 27.13, 2505, 2505, 8001, 57, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:00.739, 27.13, 2505, 2505, 8001, 57, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:00.847, 27.13, 2505, 2505, 8001, 57, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:00.958, 44.42, 2505, 2505, 8001, 58, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.069, 44.42, 2505, 2505, 8001, 58, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.179, 44.42, 2505, 2505, 8001, 58, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.288, 44.42, 2505, 2505, 8001, 58, 100, 27, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.399, 55.76, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.511, 55.76, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.618, 55.76, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.726, 55.76, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.835, 55.76, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:01.946, 56.41, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.055, 56.41, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.166, 56.41, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.275, 56.41, 2505, 2505, 8001, 59, 100, 32, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.385, 56.92, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.495, 56.92, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.606, 56.92, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.716, 56.92, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.826, 56.92, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:02.936, 57.27, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:03.047, 57.27, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:03.158, 57.27, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:03.268, 57.27, 2505, 2505, 8001, 60, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:03.377, 57.62, 2505, 2505, 8001, 58, 100, 15, 5875, 6141, P0, 4, 8
2026/04/19 12:34:03.487, 57.62, 2505, 2505, 8001, 58, 100, 15, 5875, 6141, P0, 4, 8
