timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 19:59:31.952, 44.06, 2505, 2505, 8001, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 19:59:32.063, 44.06, 2505, 2505, 8001, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 19:59:32.173, 25.51, 2505, 2505, 8001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:32.284, 1.20, 2130, 2130, 8000, 50, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 19:59:32.902, 10.80, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:33.013, 10.80, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:33.124, 10.80, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:33.234, 1.20, 2130, 2130, 8000, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:33.818, 10.81, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:33.928, 10.81, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:34.038, 10.81, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:34.149, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:59:34.767, 12.56, 2130, 2130, 7001, 47, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 19:59:34.876, 12.56, 2130, 2130, 7001, 47, 0, 0, 1273, 6141, P3, 4, 8
2026/04/19 19:59:34.986, 12.56, 2130, 2130, 7001, 47, 0, 0, 2463, 6141, P3, 4, 8
2026/04/19 19:59:35.098, 12.56, 2130, 2130, 7001, 47, 0, 0, 3653, 6141, P3, 4, 8
2026/04/19 19:59:35.207, 27.17, 2520, 2520, 8001, 52, 0, 0, 3653, 6141, P0, 4, 8
