timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 03:54:53.816, 40.43, 1425, 1425, 8001, 57, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 03:54:53.926, 40.43, 1425, 1425, 8001, 57, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 03:54:54.036, 25.92, 1425, 1425, 8001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:54.146, 1.20, 2130, 2130, 8000, 77, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 03:54:54.802, 10.25, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:54.911, 10.25, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:55.022, 10.25, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:55.132, 1.20, 2130, 2130, 7000, 77, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:55.757, 9.92, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:55.866, 9.92, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:55.977, 9.92, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:56.087, 9.92, 1425, 1425, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:56.197, 1.20, 2130, 2130, 8000, 77, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 03:54:56.825, 11.05, 1425, 1425, 7001, 54, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:54:56.934, 11.05, 1425, 1425, 7001, 54, 0, 0, 19, 6141, P3, 4, 8
2026/04/19 03:54:57.044, 11.05, 1425, 1425, 7001, 54, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 03:54:57.155, 11.05, 1425, 1425, 7001, 54, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 03:54:57.265, 11.05, 1425, 1425, 7001, 54, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 03:54:57.374, 25.90, 1425, 1425, 8001, 60, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 03:54:57.484, 25.90, 1425, 1425, 8001, 60, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 03:54:57.595, 25.90, 1425, 1425, 8001, 60, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 03:54:57.704, 25.90, 1425, 1425, 8001, 60, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 03:54:57.815, 35.64, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:54:57.925, 35.64, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:54:58.035, 35.64, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:54:58.145, 35.64, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:54:58.255, 35.64, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:54:58.364, 44.15, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:54:58.473, 44.15, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:54:58.585, 44.15, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:54:58.695, 44.15, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:54:58.804, 42.59, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:58.914, 42.59, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:59.023, 42.59, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:59.134, 42.59, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:59.243, 42.59, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:59.353, 43.10, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:54:59.463, 43.10, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:54:59.573, 43.10, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:54:59.683, 43.10, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:54:59.794, 44.48, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:54:59.905, 44.48, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:00.015, 44.48, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:00.125, 44.48, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:00.235, 44.48, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:00.343, 44.04, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.451, 44.04, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.558, 44.04, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.667, 44.04, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.775, 44.04, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.885, 44.32, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:00.994, 44.32, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.105, 44.32, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.216, 44.32, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.325, 44.27, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.433, 44.27, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.543, 44.27, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.652, 44.27, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.762, 44.27, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.872, 44.19, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:01.983, 44.19, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:02.092, 44.19, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:02.202, 44.19, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:02.313, 44.51, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.423, 44.51, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.533, 44.51, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.644, 44.51, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.755, 44.51, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.865, 43.12, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:02.975, 43.12, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:03.085, 43.12, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:03.196, 43.12, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:03.306, 42.58, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.414, 42.58, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.525, 42.58, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.635, 42.58, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.745, 42.58, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.855, 44.14, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:03.965, 44.14, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:04.076, 44.14, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:04.186, 44.14, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:04.296, 44.31, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:04.407, 44.31, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:04.518, 44.31, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:04.627, 44.31, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:04.737, 44.31, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:04.847, 42.94, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:04.957, 42.94, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.066, 42.94, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.175, 42.94, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.284, 42.94, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.394, 43.83, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.504, 43.83, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.615, 43.83, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.725, 43.83, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:05.835, 44.55, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:05.945, 44.55, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:06.055, 44.55, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:06.166, 44.55, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:06.277, 44.55, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
2026/04/19 03:55:06.384, 44.21, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:06.493, 44.21, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:06.604, 44.21, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:06.715, 44.21, 1425, 1425, 8001, 62, 100, 25, 1017, 6141, P0, 4, 8
2026/04/19 03:55:06.823, 44.53, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:06.935, 44.53, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:07.045, 44.53, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:07.155, 44.53, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:07.264, 44.53, 1425, 1425, 7001, 62, 100, 24, 1017, 6141, P3, 4, 8
2026/04/19 03:55:07.375, 44.22, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:07.485, 44.22, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:07.596, 44.22, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:07.705, 44.22, 1425, 1425, 8001, 62, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 03:55:07.817, 44.23, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:07.926, 44.23, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.036, 44.23, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.146, 44.23, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.257, 44.23, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.367, 44.34, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.476, 44.34, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.588, 44.34, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.699, 44.34, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.808, 44.25, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:08.920, 44.25, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:09.030, 44.25, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:09.142, 44.25, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:09.253, 44.25, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:09.363, 44.55, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:09.474, 44.55, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:09.584, 44.55, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:09.694, 44.55, 1425, 1425, 7001, 62, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:09.806, 44.22, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:09.916, 44.22, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:10.026, 44.22, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:10.137, 44.22, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:10.247, 44.22, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:10.357, 44.73, 1425, 1425, 7001, 63, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:10.468, 44.73, 1425, 1425, 7001, 63, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:10.578, 44.73, 1425, 1425, 7001, 63, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:10.688, 44.73, 1425, 1425, 7001, 63, 100, 22, 1017, 6141, P3, 4, 8
2026/04/19 03:55:10.799, 44.24, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:10.910, 44.24, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.020, 44.24, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.131, 44.24, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.240, 44.24, 1425, 1425, 8001, 62, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.350, 44.26, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.459, 44.26, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.570, 44.26, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.680, 44.26, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.791, 44.26, 1425, 1425, 8001, 63, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 03:55:11.901, 44.58, 1425, 1425, 7001, 62, 100, 25, 1017, 6141, P3, 4, 8
