timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 06:14:23.459, 54.41, 2145, 2145, 8001, 65, 100, 36, 0, 6141, P0, 4, 8
2026/04/19 06:14:23.568, 54.41, 2145, 2145, 8001, 65, 100, 36, 0, 6141, P0, 4, 8
2026/04/19 06:14:23.677, 54.41, 2145, 2145, 8001, 65, 100, 36, 0, 6141, P0, 4, 8
2026/04/19 06:14:23.787, 1.20, 2145, 2130, 8000, 76, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 06:14:24.415, 11.42, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:24.524, 11.42, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:24.634, 11.42, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:24.743, 1.20, 2145, 2130, 8000, 76, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:25.324, 11.49, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:25.434, 11.49, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:25.544, 11.49, 2145, 2145, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:25.653, 1.20, 2130, 2130, 8000, 76, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 06:14:26.235, 13.59, 2145, 2145, 7001, 62, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 06:14:26.346, 13.59, 2145, 2145, 7001, 62, 0, 0, 791, 6141, P3, 4, 8
2026/04/19 06:14:26.456, 13.59, 2145, 2145, 7001, 62, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 06:14:26.567, 13.59, 2145, 2145, 7001, 62, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 06:14:26.675, 13.59, 2145, 2145, 7001, 62, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 06:14:26.783, 51.75, 1905, 1905, 8001, 74, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 06:14:26.893, 51.75, 1905, 1905, 8001, 74, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.002, 51.75, 1905, 1905, 8001, 74, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.110, 51.75, 1905, 1905, 8001, 74, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.219, 61.78, 1875, 1875, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.329, 61.78, 1875, 1875, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.439, 61.78, 1875, 1875, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.549, 61.78, 1875, 1875, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.658, 61.78, 1875, 1875, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.769, 70.23, 1845, 1845, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 06:14:27.879, 70.23, 1845, 1845, 8001, 75, 100, 37, 1017, 6141, P0, 4, 8
