timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 09:21:36.820, 62.61, 1905, 1905, 8001, 66, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 09:21:36.928, 62.61, 1905, 1905, 8001, 66, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 09:21:37.036, 33.87, 1905, 1905, 8001, 63, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:37.147, 1.20, 2130, 2130, 8000, 76, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 09:21:37.805, 11.25, 1905, 1905, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:37.915, 11.25, 1905, 1905, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:38.024, 11.25, 1905, 1905, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:38.132, 1.20, 2130, 2130, 8000, 76, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:38.716, 11.10, 1905, 1905, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:38.826, 11.10, 1905, 1905, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:38.936, 11.10, 1905, 1905, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:39.047, 1.20, 2130, 2130, 8000, 76, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 09:21:39.628, 13.59, 1905, 1905, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 09:21:39.738, 13.59, 1905, 1905, 7001, 61, 0, 0, 307, 6141, P3, 4, 8
2026/04/19 09:21:39.848, 13.59, 1905, 1905, 7001, 61, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 09:21:39.957, 13.59, 1905, 1905, 7001, 61, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 09:21:40.068, 13.59, 1905, 1905, 7001, 61, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 09:21:40.178, 43.94, 1905, 1905, 8001, 72, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.289, 43.94, 1905, 1905, 8001, 72, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.399, 43.94, 1905, 1905, 8001, 72, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.509, 43.94, 1905, 1905, 8001, 72, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.620, 57.33, 1905, 1905, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.729, 57.33, 1905, 1905, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.838, 57.33, 1905, 1905, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:40.948, 57.33, 1905, 1905, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.058, 57.33, 1905, 1905, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.168, 69.94, 1905, 1905, 8001, 74, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.277, 69.94, 1905, 1905, 8001, 74, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.387, 69.94, 1905, 1905, 8001, 74, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.497, 69.94, 1905, 1905, 8001, 74, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.607, 70.05, 1875, 1875, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.716, 70.05, 1875, 1875, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.827, 70.05, 1875, 1875, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:41.937, 70.05, 1875, 1875, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.047, 70.05, 1875, 1875, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.159, 69.84, 1890, 1890, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.268, 69.84, 1890, 1890, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.377, 69.84, 1890, 1890, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.486, 69.84, 1890, 1890, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.596, 69.84, 1890, 1890, 8001, 75, 100, 24, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.706, 70.04, 1875, 1875, 8001, 76, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.816, 70.04, 1875, 1875, 8001, 76, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:42.925, 70.04, 1875, 1875, 8001, 76, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.035, 70.04, 1875, 1875, 8001, 76, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.145, 69.88, 1875, 1875, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.255, 69.88, 1875, 1875, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.366, 69.88, 1875, 1875, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.477, 69.88, 1875, 1875, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.585, 69.88, 1875, 1875, 8001, 75, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.697, 70.00, 1890, 1890, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.806, 70.00, 1890, 1890, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:43.915, 70.00, 1890, 1890, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:44.027, 70.00, 1890, 1890, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:44.135, 69.86, 1875, 1875, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:44.246, 69.86, 1875, 1875, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 09:21:44.355, 69.86, 1875, 1875, 8001, 76, 100, 23, 1017, 6141, P0, 4, 8
