timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 15:09:12.320, 9.04, 1365, 1365, 7001, 48, 1, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:12.426, 9.04, 1365, 1365, 7001, 48, 1, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:12.536, 8.82, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P4, 3, 8
2026/04/19 15:09:12.647, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 15:09:13.319, 10.56, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:13.428, 10.56, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:13.537, 10.56, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:13.648, 10.56, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:13.759, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:14.467, 312.13, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:14.577, 312.13, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:14.686, 312.13, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:14.796, 1.20, 2130, 1365, 7000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:15.506, 10.34, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:15.617, 10.34, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:15.727, 10.34, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:15.836, 10.34, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:15.947, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:16.606, 312.13, 1365, 1365, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 15:09:16.717, 312.13, 1365, 1365, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 15:09:16.827, 312.13, 1365, 1365, 7001, 48, 0, 0, 849, 6141, P3, 4, 8
2026/04/19 15:09:16.937, 312.13, 1365, 1365, 7001, 48, 0, 0, 3647, 6141, P3, 4, 8
2026/04/19 15:09:17.047, 312.13, 1365, 1365, 7001, 48, 0, 0, 3781, 6141, P3, 4, 8
2026/04/19 15:09:17.156, 10.92, 1365, 1365, 7001, 48, 0, 0, 5423, 6141, P3, 4, 8
2026/04/19 15:09:17.267, 10.92, 1365, 1365, 7001, 48, 0, 0, 5871, 6141, P3, 4, 8
2026/04/19 15:09:17.377, 10.92, 1365, 1365, 7001, 48, 0, 0, 5871, 6141, P3, 4, 8
2026/04/19 15:09:17.486, 10.92, 1365, 1365, 7001, 48, 0, 0, 5875, 6141, P3, 4, 8
2026/04/19 15:09:17.600, 14.39, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:17.710, 14.39, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:17.831, 14.39, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:17.945, 14.39, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.052, 19.70, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.162, 19.70, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.273, 19.70, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.383, 19.70, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.493, 19.70, 1365, 1365, 8001, 51, 100, 9, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.602, 22.89, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.713, 22.89, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.824, 22.89, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:18.933, 22.89, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.040, 22.89, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.151, 23.04, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.261, 23.04, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.371, 23.04, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.482, 23.04, 1365, 1365, 8001, 51, 100, 3, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.589, 22.86, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.699, 22.86, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.810, 22.86, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:19.919, 22.86, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.028, 22.86, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.138, 23.02, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.248, 23.02, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.358, 23.02, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.469, 23.02, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.578, 23.04, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.688, 23.04, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.798, 23.04, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:20.909, 23.04, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.018, 23.04, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.128, 23.31, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.238, 23.31, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.348, 23.31, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.459, 23.31, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.570, 23.17, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.680, 23.17, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.790, 23.17, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:21.901, 23.17, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.014, 23.17, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.123, 23.01, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.234, 23.01, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.343, 23.01, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.453, 23.01, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.563, 22.54, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.674, 22.54, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.783, 22.54, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:22.893, 22.54, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.003, 22.54, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.111, 22.59, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.223, 22.59, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.332, 22.59, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.440, 22.59, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.549, 22.59, 1365, 1365, 8001, 51, 100, 2, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.660, 22.58, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.770, 22.58, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.879, 22.58, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:23.989, 22.58, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.096, 22.22, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.205, 22.22, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.315, 22.22, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.424, 22.22, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.533, 22.22, 1365, 1365, 8001, 51, 100, 8, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.643, 22.44, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
2026/04/19 15:09:24.753, 22.44, 1365, 1365, 8001, 51, 100, 4, 5875, 6141, P0, 4, 8
