timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 20:56:24.694, 16.29, 1065, 1065, 8001, 41, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 20:56:24.805, 16.29, 1065, 1065, 8001, 41, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 20:56:24.916, 10.32, 1065, 1065, 8001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:25.024, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 20:56:25.735, 9.73, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:25.845, 9.73, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:25.956, 9.73, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:26.066, 1.20, 2130, 2130, 7000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:26.714, 9.91, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:26.825, 9.91, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:26.935, 9.91, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:27.046, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 20:56:27.660, 9.25, 1065, 1065, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 20:56:27.768, 9.25, 1065, 1065, 7001, 41, 0, 0, 325, 6141, P3, 4, 8
2026/04/19 20:56:27.879, 9.25, 1065, 1065, 7001, 41, 0, 0, 2463, 6141, P3, 4, 8
2026/04/19 20:56:27.989, 9.25, 1065, 1065, 7001, 41, 0, 0, 2463, 6141, P3, 4, 8
2026/04/19 20:56:28.100, 9.25, 1065, 1065, 7001, 41, 0, 0, 3653, 6141, P3, 4, 8
2026/04/19 20:56:28.212, 12.38, 1065, 1065, 7001, 42, 0, 0, 3653, 6141, P0, 4, 8
2026/04/19 20:56:28.322, 12.38, 1065, 1065, 7001, 42, 0, 0, 3653, 6141, P0, 4, 8
2026/04/19 20:56:28.433, 12.38, 1065, 1065, 7001, 42, 0, 0, 3653, 6141, P0, 4, 8
2026/04/19 20:56:28.545, 12.38, 1065, 1065, 7001, 42, 0, 0, 3653, 6141, P0, 4, 8
2026/04/19 20:56:28.656, 16.76, 1065, 1065, 8001, 42, 100, 33, 3653, 6141, P0, 4, 8
2026/04/19 20:56:28.767, 16.76, 1065, 1065, 8001, 42, 100, 33, 3653, 6141, P0, 4, 8
