run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_181559,3105,3105,2517.8261,2535.0000,42.9130,75.3623,75.3623,616.3043,10.0359,2.8827,39.0162,112.4719,data\raw\memory\logs\08_elementwise_add\clk3105_r1_20260419_181559_power.csv
clk3105_r2_20260419_181608,3105,3105,2509.4595,2520.0000,43.6892,72.9730,72.9730,577.8243,9.4093,2.8859,38.4996,111.1057,data\raw\memory\logs\08_elementwise_add\clk3105_r2_20260419_181608_power.csv
clk3105_r3_20260419_181617,3105,3105,2503.9726,2520.0000,44.4795,73.9726,73.9726,585.6849,9.5373,2.8937,38.6347,111.7985,data\raw\memory\logs\08_elementwise_add\clk3105_r3_20260419_181617_power.csv
clk3045_r1_20260419_181629,3045,3045,2509.0141,2520.0000,44.9859,74.6479,74.6479,593.3380,9.6619,2.8827,38.4824,110.9340,data\raw\memory\logs\08_elementwise_add\clk3045_r1_20260419_181629_power.csv
clk3045_r2_20260419_181639,3045,3045,2509.3151,2520.0000,45.5342,72.5068,72.6027,592.5342,9.6488,2.8938,38.9964,112.8474,data\raw\memory\logs\08_elementwise_add\clk3045_r2_20260419_181639_power.csv
clk3045_r3_20260419_181648,3045,3045,2503.7500,2520.0000,45.9028,72.8333,73.6111,585.4444,9.5334,2.8934,38.9893,112.8113,data\raw\memory\logs\08_elementwise_add\clk3045_r3_20260419_181648_power.csv
clk2985_r1_20260419_181700,2985,2985,2508.6957,2520.0000,46.2464,73.9130,73.9130,609.0145,9.9172,2.8807,39.4617,113.6766,data\raw\memory\logs\08_elementwise_add\clk2985_r1_20260419_181700_power.csv
clk2985_r2_20260419_181709,2985,2985,2514.5833,2520.0000,46.4583,79.1667,79.1667,588.2500,9.5791,2.8934,39.0064,112.8604,data\raw\memory\logs\08_elementwise_add\clk2985_r2_20260419_181709_power.csv
clk2985_r3_20260419_181718,2985,2985,2520.0000,2520.0000,46.8493,73.9726,73.9726,575.6438,9.3738,2.8935,38.8299,112.3535,data\raw\memory\logs\08_elementwise_add\clk2985_r3_20260419_181718_power.csv
clk2925_r1_20260419_181729,2925,2925,2508.6957,2520.0000,46.9855,72.5217,73.4783,615.6812,10.0257,2.8937,39.6019,114.5944,data\raw\memory\logs\08_elementwise_add\clk2925_r1_20260419_181729_power.csv
clk2925_r2_20260419_181738,2925,2925,2514.5833,2520.0000,47.3750,79.6667,80.2778,590.7361,9.6195,2.8843,39.1361,112.8801,data\raw\memory\logs\08_elementwise_add\clk2925_r2_20260419_181738_power.csv
clk2925_r3_20260419_181747,2925,2925,2514.6575,2520.0000,47.6027,73.9726,73.9726,585.6849,9.5373,2.8935,38.9236,112.6240,data\raw\memory\logs\08_elementwise_add\clk2925_r3_20260419_181747_power.csv
clk2865_r1_20260419_181758,2865,2865,2508.6957,2520.0000,47.7826,75.3623,75.3623,619.6377,10.0902,2.8930,40.0303,115.8065,data\raw\memory\logs\08_elementwise_add\clk2865_r1_20260419_181758_power.csv
clk2865_r2_20260419_181808,2865,2865,2514.3478,2520.0000,48.0870,75.3623,75.3623,595.4783,9.6968,2.8817,39.1557,112.8366,data\raw\memory\logs\08_elementwise_add\clk2865_r2_20260419_181808_power.csv
clk2865_r3_20260419_181816,2865,2865,2503.9726,2520.0000,48.2877,72.6027,72.6027,580.1918,9.4478,2.8937,39.6800,114.8233,data\raw\memory\logs\08_elementwise_add\clk2865_r3_20260419_181816_power.csv
clk2805_r1_20260419_181828,2805,2805,2514.3478,2520.0000,48.0725,73.9130,73.9130,609.0145,9.9172,2.8959,39.5519,114.5368,data\raw\memory\logs\08_elementwise_add\clk2805_r1_20260419_181828_power.csv
clk2805_r2_20260419_181837,2805,2805,2503.7500,2520.0000,48.3750,75.0000,75.0000,583.6389,9.5040,2.8936,39.3421,113.8402,data\raw\memory\logs\08_elementwise_add\clk2805_r2_20260419_181837_power.csv
clk2805_r3_20260419_181847,2805,2805,2509.1667,2520.0000,48.4306,79.1667,79.1667,590.5972,9.6173,2.8935,38.9065,112.5767,data\raw\memory\logs\08_elementwise_add\clk2805_r3_20260419_181847_power.csv
clk2745_r1_20260419_181858,2745,2745,2508.6957,2520.0000,48.4348,71.7391,72.6957,613.6812,9.9932,2.8878,39.7551,114.8055,data\raw\memory\logs\08_elementwise_add\clk2745_r1_20260419_181858_power.csv
clk2745_r2_20260419_181907,2745,2745,2514.6575,2520.0000,48.5753,74.3151,74.7671,587.9041,9.5734,2.8955,39.6411,114.7799,data\raw\memory\logs\08_elementwise_add\clk2745_r2_20260419_181907_power.csv
clk2745_r3_20260419_181917,2745,2745,2503.9726,2520.0000,48.7808,72.5205,72.6027,582.4932,9.4853,2.8932,38.9355,112.6467,data\raw\memory\logs\08_elementwise_add\clk2745_r3_20260419_181917_power.csv
clk2685_r1_20260419_181928,2685,2685,2508.8571,2520.0000,48.6143,74.2857,74.2857,612.6429,9.9763,2.8950,39.5141,114.3919,data\raw\memory\logs\08_elementwise_add\clk2685_r1_20260419_181928_power.csv
clk2685_r2_20260419_181938,2685,2685,2506.0000,2520.0000,48.5867,72.0000,72.0000,570.0667,9.2830,2.8823,54.2161,156.2646,data\raw\memory\logs\08_elementwise_add\clk2685_r2_20260419_181938_power.csv
clk2685_r3_20260419_181948,2685,2685,2514.5833,2520.0000,48.7361,71.0278,71.8611,590.7083,9.6191,2.8817,39.3090,113.2768,data\raw\memory\logs\08_elementwise_add\clk2685_r3_20260419_181948_power.csv
clk2625_r1_20260419_181959,2625,2625,2514.4286,2520.0000,48.8286,75.7143,75.7143,618.1143,10.0654,2.8816,40.1856,115.7986,data\raw\memory\logs\08_elementwise_add\clk2625_r1_20260419_181959_power.csv
clk2625_r2_20260419_182009,2625,2625,2509.1667,2520.0000,49.0000,72.2222,72.2222,583.6667,9.5044,2.8932,39.0619,113.0147,data\raw\memory\logs\08_elementwise_add\clk2625_r2_20260419_182009_power.csv
clk2625_r3_20260419_182018,2625,2625,2514.6575,2520.0000,49.1507,78.0822,78.0822,577.9726,9.4117,2.8933,39.0012,112.8437,data\raw\memory\logs\08_elementwise_add\clk2625_r3_20260419_182018_power.csv
clk2565_r1_20260419_182029,2565,2565,2514.3478,2520.0000,48.9710,75.3623,75.3623,627.9420,10.2254,2.8931,40.0484,115.8643,data\raw\memory\logs\08_elementwise_add\clk2565_r1_20260419_182029_power.csv
clk2565_r2_20260419_182038,2565,2565,2504.1892,2520.0000,49.0676,71.6216,71.6216,573.2162,9.3342,2.8930,39.0962,113.1067,data\raw\memory\logs\08_elementwise_add\clk2565_r2_20260419_182038_power.csv
clk2565_r3_20260419_182048,2565,2565,2509.4595,2520.0000,49.1081,72.9730,72.9730,567.8649,9.2471,2.8811,38.7868,111.7468,data\raw\memory\logs\08_elementwise_add\clk2565_r3_20260419_182048_power.csv
clk2505_r1_20260419_182100,2505,2505,2494.2857,2505.0000,48.9429,72.8571,72.8571,610.7857,9.9460,2.8932,39.4043,114.0026,data\raw\memory\logs\08_elementwise_add\clk2505_r1_20260419_182100_power.csv
clk2505_r2_20260419_182109,2505,2505,2499.7917,2505.0000,49.0694,73.6111,73.6111,587.7917,9.5716,2.8943,39.0931,113.1478,data\raw\memory\logs\08_elementwise_add\clk2505_r2_20260419_182109_power.csv
clk2505_r3_20260419_182119,2505,2505,2489.3750,2505.0000,49.3333,75.0000,75.0000,580.5833,9.4542,2.8930,39.4499,114.1303,data\raw\memory\logs\08_elementwise_add\clk2505_r3_20260419_182119_power.csv
clk2445_r1_20260419_182130,2445,2445,2440.3676,2445.0000,48.6324,73.8529,74.8235,625.2059,10.1808,2.8952,38.6257,111.8301,data\raw\memory\logs\08_elementwise_add\clk2445_r1_20260419_182130_power.csv
clk2445_r2_20260419_182139,2445,2445,2436.2500,2445.0000,48.5972,71.7500,73.0417,590.4722,9.6152,2.8818,37.4494,107.9214,data\raw\memory\logs\08_elementwise_add\clk2445_r2_20260419_182139_power.csv
clk2445_r3_20260419_182149,2445,2445,2440.6250,2445.0000,48.8750,74.2083,74.7083,590.4722,9.6152,2.8938,38.1751,110.4718,data\raw\memory\logs\08_elementwise_add\clk2445_r3_20260419_182149_power.csv
clk2385_r1_20260419_182200,2385,2385,2377.5000,2385.0000,48.1618,73.3235,74.2941,625.3235,10.1828,2.8930,36.8806,106.6952,data\raw\memory\logs\08_elementwise_add\clk2385_r1_20260419_182200_power.csv
clk2385_r2_20260419_182209,2385,2385,2374.3750,2385.0000,48.0972,73.4583,74.6667,590.4722,9.6152,2.8844,36.5603,105.4551,data\raw\memory\logs\08_elementwise_add\clk2385_r2_20260419_182209_power.csv
clk2385_r3_20260419_182219,2385,2385,2374.3750,2385.0000,48.2083,73.5417,74.9167,590.5972,9.6173,2.8947,36.5600,105.8299,data\raw\memory\logs\08_elementwise_add\clk2385_r3_20260419_182219_power.csv
clk2325_r1_20260419_182230,2325,2325,2319.2647,2325.0000,47.7941,73.9412,75.0000,622.7059,10.1401,2.8809,35.8141,103.1776,data\raw\memory\logs\08_elementwise_add\clk2325_r1_20260419_182230_power.csv
clk2325_r2_20260419_182239,2325,2325,2322.2917,2325.0000,47.6111,72.5833,73.9167,590.5833,9.6171,2.8810,35.1333,101.2201,data\raw\memory\logs\08_elementwise_add\clk2325_r2_20260419_182239_power.csv
clk2325_r3_20260419_182249,2325,2325,2319.5833,2325.0000,47.7361,78.2083,78.6250,588.1111,9.5768,2.8831,35.0725,101.1176,data\raw\memory\logs\08_elementwise_add\clk2325_r3_20260419_182249_power.csv
clk2265_r1_20260419_182300,2265,2265,2263.0147,2265.0000,47.1618,75.0000,75.0000,618.0294,10.0640,2.8816,34.5696,99.6173,data\raw\memory\logs\08_elementwise_add\clk2265_r1_20260419_182300_power.csv
clk2265_r2_20260419_182309,2265,2265,2259.2958,2265.0000,47.3380,72.5352,73.2394,598.7887,9.7507,2.8818,34.2054,98.5745,data\raw\memory\logs\08_elementwise_add\clk2265_r2_20260419_182309_power.csv
clk2265_r3_20260419_182318,2265,2265,2261.2500,2265.0000,47.4167,73.7500,74.1667,583.6667,9.5044,2.8934,33.7962,97.7856,data\raw\memory\logs\08_elementwise_add\clk2265_r3_20260419_182318_power.csv
clk2205_r1_20260419_182330,2205,2205,2203.8971,2205.0000,46.7941,75.0000,75.0000,625.2059,10.1808,2.9080,33.7296,98.0841,data\raw\memory\logs\08_elementwise_add\clk2205_r1_20260419_182330_power.csv
clk2205_r2_20260419_182339,2205,2205,2202.9167,2205.0000,46.9583,79.1667,79.1667,583.6389,9.5040,2.8934,32.8793,95.1337,data\raw\memory\logs\08_elementwise_add\clk2205_r2_20260419_182339_power.csv
clk2205_r3_20260419_182348,2205,2205,2201.9178,2205.0000,46.9589,69.8630,69.8630,575.6438,9.3738,2.8820,32.7995,94.5281,data\raw\memory\logs\08_elementwise_add\clk2205_r3_20260419_182348_power.csv
clk2145_r1_20260419_182359,2145,2145,2144.5588,2145.0000,46.5441,75.0000,75.0000,617.9706,10.0630,2.8931,32.8332,94.9901,data\raw\memory\logs\08_elementwise_add\clk2145_r1_20260419_182359_power.csv
