run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_184701,3105,3105,2508.8571,2520.0000,47.5286,72.8571,72.8571,600.3286,9.7757,2.8934,39.2389,113.5352,data\raw\memory\logs\09_elementwise_sub\clk3105_r1_20260419_184701_power.csv
clk3105_r2_20260419_184711,3105,3105,2504.1892,2520.0000,48.0676,74.3243,74.3243,580.8243,9.4581,2.8933,38.9676,112.7453,data\raw\memory\logs\09_elementwise_sub\clk3105_r2_20260419_184711_power.csv
clk3105_r3_20260419_184721,3105,3105,2504.1892,2520.0000,48.3514,70.2703,70.2703,574.6351,9.3574,2.8933,38.0065,109.9640,data\raw\memory\logs\09_elementwise_sub\clk3105_r3_20260419_184721_power.csv
clk3045_r1_20260419_184732,3045,3045,2508.5294,2520.0000,48.4559,75.0000,75.0000,617.9706,10.0630,2.8810,40.0712,115.4439,data\raw\memory\logs\09_elementwise_sub\clk3045_r1_20260419_184732_power.csv
clk3045_r2_20260419_184742,3045,3045,2509.3151,2520.0000,48.3151,72.4932,73.4795,582.5342,9.4860,2.8929,39.0205,112.8832,data\raw\memory\logs\09_elementwise_sub\clk3045_r2_20260419_184742_power.csv
clk3045_r3_20260419_184751,3045,3045,2504.4000,2520.0000,48.5867,71.2000,71.7600,564.5867,9.1937,2.8812,38.2833,110.3029,data\raw\memory\logs\09_elementwise_sub\clk3045_r3_20260419_184751_power.csv
clk2985_r1_20260419_184803,2985,2985,2514.3478,2520.0000,48.4493,71.9130,72.8696,616.2609,10.0352,2.8836,39.7680,114.6738,data\raw\memory\logs\09_elementwise_sub\clk2985_r1_20260419_184803_power.csv
clk2985_r2_20260419_184812,2985,2985,2504.4000,2520.0000,48.7200,75.0800,75.5200,579.8400,9.4421,2.8817,39.2047,112.9751,data\raw\memory\logs\09_elementwise_sub\clk2985_r2_20260419_184812_power.csv
clk2985_r3_20260419_184822,2985,2985,2509.4595,2520.0000,48.8514,68.5135,68.9189,574.6216,9.3571,2.8929,38.7080,111.9800,data\raw\memory\logs\09_elementwise_sub\clk2985_r3_20260419_184822_power.csv
clk2925_r1_20260419_184834,2925,2925,2509.0141,2520.0000,48.8873,71.9577,73.1408,609.1127,9.9188,2.8935,39.2618,113.6047,data\raw\memory\logs\09_elementwise_sub\clk2925_r1_20260419_184834_power.csv
clk2925_r2_20260419_184843,2925,2925,2509.1667,2520.0000,49.2778,73.2500,73.5833,590.4722,9.6152,2.8936,39.2004,113.4290,data\raw\memory\logs\09_elementwise_sub\clk2925_r2_20260419_184843_power.csv
clk2925_r3_20260419_184853,2925,2925,2509.8701,2520.0000,49.4026,74.0260,74.0260,564.8961,9.1988,2.8810,38.5955,111.1950,data\raw\memory\logs\09_elementwise_sub\clk2925_r3_20260419_184853_power.csv
clk2865_r1_20260419_184905,2865,2865,2502.3077,2520.0000,49.5256,69.2308,69.2308,561.9615,9.1510,2.8923,40.8000,118.0062,data\raw\memory\logs\09_elementwise_sub\clk2865_r1_20260419_184905_power.csv
clk2865_r2_20260419_184916,2865,2865,2500.9756,2520.0000,49.5122,65.8537,65.8537,530.5610,8.6397,2.8817,36.3260,104.6814,data\raw\memory\logs\09_elementwise_sub\clk2865_r2_20260419_184916_power.csv
clk2865_r3_20260419_184928,2865,2865,2505.3488,2520.0000,49.2791,62.7907,62.7907,502.4651,8.1821,2.8935,38.8440,112.3955,data\raw\memory\logs\09_elementwise_sub\clk2865_r3_20260419_184928_power.csv
clk2805_r1_20260419_184941,2805,2805,2504.6053,2520.0000,49.3816,71.0526,71.0526,572.3289,9.3198,2.8818,37.6243,108.4260,data\raw\memory\logs\09_elementwise_sub\clk2805_r1_20260419_184941_power.csv
clk2805_r2_20260419_184952,2805,2805,2509.3151,2520.0000,49.9589,68.9315,69.9178,585.6849,9.5373,2.8273,38.9932,110.2465,data\raw\memory\logs\09_elementwise_sub\clk2805_r2_20260419_184952_power.csv
clk2805_r3_20260419_185002,2805,2805,2509.6000,2520.0000,50.1733,71.6267,71.7867,579.8400,9.4421,2.8952,38.8807,112.5680,data\raw\memory\logs\09_elementwise_sub\clk2805_r3_20260419_185002_power.csv
clk2745_r1_20260419_185014,2745,2745,2509.0141,2520.0000,49.9718,73.9014,75.4225,622.9859,10.1447,2.8964,40.0804,116.0909,data\raw\memory\logs\09_elementwise_sub\clk2745_r1_20260419_185014_power.csv
clk2745_r2_20260419_185023,2745,2745,2503.9726,2520.0000,50.0137,67.9726,68.8767,580.1918,9.4478,2.8816,38.8079,111.8281,data\raw\memory\logs\09_elementwise_sub\clk2745_r2_20260419_185023_power.csv
clk2745_r3_20260419_185033,2745,2745,2503.9726,2520.0000,50.3014,73.0274,73.4795,572.7534,9.3267,2.8819,39.0823,112.6318,data\raw\memory\logs\09_elementwise_sub\clk2745_r3_20260419_185033_power.csv
clk2685_r1_20260419_185045,2685,2685,2508.6957,2520.0000,50.2899,75.3623,75.3623,617.3188,10.0524,2.8942,40.1886,116.3119,data\raw\memory\logs\09_elementwise_sub\clk2685_r1_20260419_185045_power.csv
clk2685_r2_20260419_185054,2685,2685,2503.7500,2520.0000,50.0694,68.0000,68.9167,583.6389,9.5040,2.8355,39.1807,111.0987,data\raw\memory\logs\09_elementwise_sub\clk2685_r2_20260419_185054_power.csv
clk2685_r3_20260419_185104,2685,2685,2509.3151,2520.0000,50.4795,73.9452,74.3973,581.3836,9.4672,2.8935,39.4205,114.0627,data\raw\memory\logs\09_elementwise_sub\clk2685_r3_20260419_185104_power.csv
clk2625_r1_20260419_185115,2625,2625,2508.8571,2520.0000,50.1571,75.7143,75.7143,625.8571,10.1915,2.8902,40.3931,116.7422,data\raw\memory\logs\09_elementwise_sub\clk2625_r1_20260419_185115_power.csv
clk2625_r2_20260419_185125,2625,2625,2505.0000,2520.0000,50.0000,70.5128,70.5128,548.3333,8.9291,2.8813,37.1468,107.0318,data\raw\memory\logs\09_elementwise_sub\clk2625_r2_20260419_185125_power.csv
clk2625_r3_20260419_185135,2625,2625,2497.2152,2520.0000,49.9114,64.5570,64.5570,522.9873,8.5163,2.8814,35.7473,103.0007,data\raw\memory\logs\09_elementwise_sub\clk2625_r3_20260419_185135_power.csv
clk2565_r1_20260419_185148,2565,2565,2509.0141,2520.0000,50.1690,73.1690,74.3521,619.5634,10.0890,2.8928,39.8046,115.1463,data\raw\memory\logs\09_elementwise_sub\clk2565_r1_20260419_185148_power.csv
clk2565_r2_20260419_185157,2565,2565,2509.4595,2520.0000,50.1892,71.4189,71.5811,571.3649,9.3041,2.8948,38.9281,112.6900,data\raw\memory\logs\09_elementwise_sub\clk2565_r2_20260419_185157_power.csv
clk2565_r3_20260419_185207,2565,2565,2509.1667,2520.0000,50.2778,67.0833,67.7500,590.4722,9.6152,2.8815,39.0424,112.5011,data\raw\memory\logs\09_elementwise_sub\clk2565_r3_20260419_185207_power.csv
clk2505_r1_20260419_185219,2505,2505,2499.6429,2505.0000,50.1143,73.5143,74.2857,621.2571,10.1165,2.8929,39.8089,115.1616,data\raw\memory\logs\09_elementwise_sub\clk2505_r1_20260419_185219_power.csv
clk2505_r2_20260419_185228,2505,2505,2494.5833,2505.0000,50.3889,71.6944,72.8611,590.5833,9.6171,2.8942,39.4163,114.0772,data\raw\memory\logs\09_elementwise_sub\clk2505_r2_20260419_185228_power.csv
clk2505_r3_20260419_185238,2505,2505,2494.7260,2505.0000,50.4521,77.2603,77.7123,582.5068,9.4855,2.8820,39.2175,113.0232,data\raw\memory\logs\09_elementwise_sub\clk2505_r3_20260419_185238_power.csv
clk2445_r1_20260419_185249,2445,2445,2440.3676,2445.0000,49.9118,72.9706,73.8529,625.2941,10.1823,2.8931,38.7749,112.1793,data\raw\memory\logs\09_elementwise_sub\clk2445_r1_20260419_185249_power.csv
clk2445_r2_20260419_185258,2445,2445,2431.8750,2445.0000,50.2917,74.0417,74.4583,590.4722,9.6152,2.8934,38.5724,111.6070,data\raw\memory\logs\09_elementwise_sub\clk2445_r2_20260419_185258_power.csv
clk2445_r3_20260419_185307,2445,2445,2431.8750,2445.0000,50.3750,74.0000,75.0000,590.5833,9.6171,2.8934,38.6690,111.8831,data\raw\memory\logs\09_elementwise_sub\clk2445_r3_20260419_185307_power.csv
clk2385_r1_20260419_185319,2385,2385,2381.2500,2385.0000,49.6176,75.0000,75.0000,625.3382,10.1830,2.8931,36.7681,106.3751,data\raw\memory\logs\09_elementwise_sub\clk2385_r1_20260419_185319_power.csv
clk2385_r2_20260419_185328,2385,2385,2374.5205,2385.0000,49.5753,75.3425,75.3425,585.6849,9.5373,2.8818,36.3999,104.8989,data\raw\memory\logs\09_elementwise_sub\clk2385_r2_20260419_185328_power.csv
clk2385_r3_20260419_185337,2385,2385,2377.9167,2385.0000,49.4722,75.0000,75.0000,588.3472,9.5806,2.8931,36.3996,105.3069,data\raw\memory\logs\09_elementwise_sub\clk2385_r3_20260419_185337_power.csv
