run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_153132,3105,3105,2501.8056,2520.0000,53.1157,84.7222,84.7222,777.5463,12.6616,9.8383,53.5246,526.5935,data\raw\memory\logs\16_sigmoid_custom\clk3105_r1_20260420_153132_power.csv
clk3105_r2_20260420_153159,3105,3105,2498.0556,2520.0000,53.5602,84.2593,84.2593,772.7824,12.5840,9.7971,43.9266,430.3540,data\raw\memory\logs\16_sigmoid_custom\clk3105_r2_20260420_153159_power.csv
clk3105_r3_20260420_153226,3105,3105,2498.0556,2520.0000,53.7407,84.7222,84.7222,774.4213,12.6107,9.7960,44.1126,432.1281,data\raw\memory\logs\16_sigmoid_custom\clk3105_r3_20260420_153226_power.csv
clk3045_r1_20260420_153255,3045,3045,2498.7324,2520.0000,53.6901,84.5070,84.5070,773.7793,12.6002,9.8022,50.8735,498.6742,data\raw\memory\logs\16_sigmoid_custom\clk3045_r1_20260420_153255_power.csv
clk3045_r2_20260420_153322,3045,3045,2500.0685,2520.0000,53.9726,83.5616,83.5616,764.4429,12.4482,9.8389,43.6552,429.5178,data\raw\memory\logs\16_sigmoid_custom\clk3045_r2_20260420_153322_power.csv
clk3045_r3_20260420_153349,3045,3045,2498.2877,2520.0000,54.2055,83.5616,83.5616,762.2009,12.4117,9.7994,43.7505,428.7298,data\raw\memory\logs\16_sigmoid_custom\clk3045_r3_20260420_153349_power.csv
clk2985_r1_20260420_153418,2985,2985,2502.5917,2520.0000,53.9037,82.8303,83.0780,765.7890,12.4701,9.8002,49.2509,482.6681,data\raw\memory\logs\16_sigmoid_custom\clk2985_r1_20260420_153418_power.csv
clk2985_r2_20260420_153445,2985,2985,2500.0685,2520.0000,54.3151,83.5616,83.5616,762.2009,12.4117,9.8403,43.7171,430.1907,data\raw\memory\logs\16_sigmoid_custom\clk2985_r2_20260420_153445_power.csv
clk2985_r3_20260420_153512,2985,2985,2500.1147,2520.0000,54.5872,83.9450,83.9450,772.8349,12.5848,9.8037,44.0592,431.9451,data\raw\memory\logs\16_sigmoid_custom\clk2985_r3_20260420_153512_power.csv
clk2925_r1_20260420_153540,2925,2925,2500.8716,2520.0000,54.2615,82.6239,82.7890,766.4266,12.4805,9.8033,50.7689,497.7026,data\raw\memory\logs\16_sigmoid_custom\clk2925_r1_20260420_153540_power.csv
clk2925_r2_20260420_153607,2925,2925,2499.5070,2520.0000,54.7371,85.9155,85.9155,786.8216,12.8126,9.8390,51.6671,508.3534,data\raw\memory\logs\16_sigmoid_custom\clk2925_r2_20260420_153607_power.csv
clk2925_r3_20260420_153633,2925,2925,2499.9070,2520.0000,54.7581,84.1860,84.1860,770.2884,12.5434,9.8388,44.1805,434.6827,data\raw\memory\logs\16_sigmoid_custom\clk2925_r3_20260420_153633_power.csv
clk2865_r1_20260420_153701,2865,2865,2506.4467,2520.0000,55.0863,87.8173,87.8173,833.4822,13.5724,9.7990,46.8212,458.8034,data\raw\memory\logs\16_sigmoid_custom\clk2865_r1_20260420_153701_power.csv
clk2865_r2_20260420_153725,2865,2865,2500.7143,2520.0000,55.1182,86.8177,86.9951,813.1921,13.2420,9.7991,46.1826,452.5464,data\raw\memory\logs\16_sigmoid_custom\clk2865_r2_20260420_153725_power.csv
clk2865_r3_20260420_153749,2865,2865,2502.4500,2520.0000,55.5450,89.7200,89.9000,820.7200,13.3646,9.8686,46.4049,457.9509,data\raw\memory\logs\16_sigmoid_custom\clk2865_r3_20260420_153749_power.csv
clk2805_r1_20260420_153814,2805,2805,2502.8571,2520.0000,55.4778,88.6700,88.6700,810.3645,13.1960,9.7914,45.9900,450.3051,data\raw\memory\logs\16_sigmoid_custom\clk2805_r1_20260420_153814_power.csv
clk2805_r2_20260420_153839,2805,2805,2499.9286,2520.0000,55.0857,85.7143,85.7143,785.4810,12.7908,9.8018,50.6041,496.0108,data\raw\memory\logs\16_sigmoid_custom\clk2805_r2_20260420_153839_power.csv
