timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 23:09:24.185, 38.19, 2520, 2520, 8001, 38, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 23:09:24.293, 24.27, 2520, 2520, 8001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:24.404, 24.27, 2520, 2520, 8001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:24.515, 24.27, 2520, 2520, 8001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:24.626, 1.20, 2130, 2130, 8000, 37, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 23:09:25.290, 12.51, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:25.401, 12.51, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:25.512, 12.51, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:25.623, 12.51, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:25.733, 1.20, 2130, 2130, 8000, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:26.283, 10.28, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:26.392, 10.28, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:26.501, 10.28, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:26.612, 1.20, 2130, 2130, 8000, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:27.240, 12.24, 2130, 2130, 7001, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:09:27.350, 12.24, 2130, 2130, 7001, 36, 0, 0, 563, 6141, P3, 4, 8
2026/04/19 23:09:27.460, 12.24, 2130, 2130, 7001, 36, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:09:27.571, 12.24, 2130, 2130, 7001, 36, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:09:27.681, 12.24, 2130, 2130, 7001, 36, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:09:27.791, 28.26, 2535, 2535, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:09:27.903, 28.26, 2535, 2535, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.012, 28.26, 2535, 2535, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.124, 28.26, 2535, 2535, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.234, 38.09, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.346, 38.09, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.456, 38.09, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.567, 38.09, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.677, 38.09, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.786, 47.91, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:28.898, 47.91, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.008, 47.91, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.119, 47.91, 2520, 2520, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.229, 47.97, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.340, 47.97, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.450, 47.97, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.560, 47.97, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.672, 47.97, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.781, 48.01, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.890, 48.01, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:29.999, 48.01, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.111, 48.01, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.220, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.330, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.441, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.550, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.660, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.772, 48.00, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.881, 48.00, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:30.992, 48.00, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.104, 48.00, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.215, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.326, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.435, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.546, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.655, 48.03, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.765, 48.10, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:09:31.874, 48.10, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
