timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:16:31.701, 35.31, 2520, 2520, 7001, 44, 97, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:31.809, 35.31, 2520, 2520, 7001, 44, 97, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:31.918, 35.31, 2520, 2520, 7001, 44, 97, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:32.028, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:16:32.644, 10.42, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:32.752, 10.42, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:32.863, 10.42, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:32.971, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:33.539, 10.51, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:33.648, 10.51, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:33.759, 10.51, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:33.868, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:34.497, 12.13, 2130, 2130, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:34.606, 12.13, 2130, 2130, 7001, 42, 0, 0, 701, 6141, P3, 4, 8
2026/04/20 00:16:34.716, 12.13, 2130, 2130, 7001, 42, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:16:34.827, 12.13, 2130, 2130, 7001, 42, 0, 0, 733, 6141, P3, 4, 8
