timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 20:59:14.779, 25.27, 2520, 2520, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:14.889, 25.27, 2520, 2520, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:14.998, 25.27, 2520, 2520, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:15.107, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 20:59:15.886, 12.56, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:15.996, 12.56, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:16.104, 12.56, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:16.213, 1.20, 2130, 2130, 7000, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:16.880, 10.56, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:16.991, 10.56, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:17.100, 10.56, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:17.207, 10.56, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:17.316, 1.20, 2130, 2130, 7000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:18.046, 10.31, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:18.154, 10.31, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:18.263, 10.31, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:18.373, 10.31, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:18.481, 1.20, 2130, 2130, 7000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:19.193, 12.68, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:19.302, 12.68, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:19.412, 12.68, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:19.520, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:20.220, 12.57, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:59:20.329, 12.57, 2130, 2130, 7001, 45, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 20:59:20.436, 12.57, 2130, 2130, 7001, 45, 0, 0, 81, 6141, P3, 4, 8
2026/04/20 20:59:20.543, 12.57, 2130, 2130, 7001, 45, 0, 0, 403, 6141, P3, 4, 8
2026/04/20 20:59:20.652, 12.57, 2130, 2130, 7001, 45, 0, 0, 573, 6141, P3, 4, 8
2026/04/20 20:59:20.760, 13.10, 2130, 2130, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 20:59:20.874, 13.10, 2130, 2130, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 20:59:20.993, 13.10, 2130, 2130, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 20:59:21.099, 13.10, 2130, 2130, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 20:59:21.210, 25.81, 2520, 2520, 8001, 50, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.317, 25.81, 2520, 2520, 8001, 50, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.426, 25.81, 2520, 2520, 8001, 50, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.532, 25.81, 2520, 2520, 8001, 50, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.643, 25.81, 2520, 2520, 8001, 50, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.751, 44.07, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.859, 44.07, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:21.967, 44.07, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.076, 44.07, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.187, 49.69, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.297, 49.69, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.404, 49.69, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.514, 49.69, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.622, 49.69, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.730, 49.74, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.841, 49.74, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:22.950, 49.74, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.062, 49.74, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.168, 49.74, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.276, 49.75, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.385, 49.75, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.495, 49.75, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.604, 49.75, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.712, 49.77, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.824, 49.77, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:23.933, 49.77, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.043, 49.77, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.151, 49.77, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.259, 49.82, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.369, 49.82, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.477, 49.82, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.588, 49.82, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.697, 49.84, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.806, 49.84, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:24.915, 49.84, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.026, 49.84, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.136, 49.84, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.245, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.354, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.461, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.570, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.679, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.789, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:25.901, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.013, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.119, 49.85, 2520, 2520, 8001, 51, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.228, 49.87, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.345, 49.87, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.461, 49.87, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.568, 49.87, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.676, 49.89, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.786, 49.89, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:26.894, 49.89, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.007, 49.89, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.113, 49.89, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.223, 49.91, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.332, 49.91, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.449, 49.91, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.579, 49.91, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.692, 49.92, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.806, 49.92, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:27.944, 49.92, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.070, 49.92, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.193, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.307, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.429, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.537, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.648, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.759, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.864, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:28.976, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.080, 49.94, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.190, 50.00, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.297, 50.00, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.407, 50.00, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.515, 50.00, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.625, 50.00, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.735, 50.02, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.844, 50.02, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:29.954, 50.02, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.063, 50.02, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.170, 50.02, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.279, 50.04, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.388, 50.04, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.517, 50.04, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.621, 50.04, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.728, 49.52, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.837, 49.52, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 20:59:30.946, 49.52, 2520, 2520, 8001, 52, 100, 100, 893, 6141, P0, 4, 8
