timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 23:53:39.361, 29.49, 2205, 2205, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/19 23:53:39.471, 29.49, 2205, 2205, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/19 23:53:39.581, 29.49, 2205, 2205, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/19 23:53:39.692, 17.00, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:39.803, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 23:53:40.354, 12.79, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:40.463, 12.79, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:40.572, 12.79, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:40.682, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:41.314, 10.56, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:41.422, 10.56, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:41.532, 10.56, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:41.644, 10.56, 2205, 2205, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:53:41.753, 10.56, 2205, 2205, 7001, 44, 0, 0, 241, 6141, P3, 4, 8
2026/04/19 23:53:41.863, 14.01, 2205, 2205, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:53:41.974, 14.01, 2205, 2205, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:53:42.085, 14.01, 2205, 2205, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:53:42.195, 14.01, 2205, 2205, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:53:42.306, 24.57, 2205, 2205, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:53:42.416, 24.57, 2205, 2205, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:53:42.526, 24.57, 2205, 2205, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:53:42.637, 24.57, 2205, 2205, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
