timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:30:03.841, 23.03, 1605, 1605, 7001, 44, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:30:03.951, 23.03, 1605, 1605, 7001, 44, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:30:04.062, 23.03, 1605, 1605, 7001, 44, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:30:04.172, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:30:04.784, 11.28, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:04.895, 11.28, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:05.006, 11.28, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:05.116, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:05.732, 9.85, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:05.843, 9.85, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:05.953, 9.85, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:06.064, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:30:06.628, 10.89, 1605, 1605, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:30:06.738, 10.89, 1605, 1605, 7001, 43, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 00:30:06.846, 10.89, 1605, 1605, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:30:06.957, 10.89, 1605, 1605, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:30:07.068, 10.89, 1605, 1605, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:30:07.178, 20.92, 1605, 1605, 8001, 45, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.288, 20.92, 1605, 1605, 8001, 45, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.396, 20.92, 1605, 1605, 8001, 45, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.508, 20.92, 1605, 1605, 8001, 45, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.618, 26.87, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.730, 26.87, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.837, 26.87, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:07.948, 26.87, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.059, 26.87, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.169, 32.84, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.281, 32.84, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.391, 32.84, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.502, 32.84, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.613, 32.85, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.722, 32.85, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.831, 32.85, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:08.943, 32.85, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.053, 32.85, 1605, 1605, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.166, 32.87, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.274, 32.87, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.384, 32.87, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.494, 32.87, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.604, 32.88, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.715, 32.88, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.826, 32.88, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:09.938, 32.88, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.047, 32.88, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.158, 32.85, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.268, 32.85, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.379, 32.85, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.489, 32.85, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.600, 32.86, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.710, 32.86, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.821, 32.86, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:10.931, 32.86, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.042, 32.86, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.152, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.263, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.373, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.482, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.593, 32.93, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.703, 32.93, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.814, 32.93, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:11.924, 32.93, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.033, 32.93, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.143, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.255, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.367, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.478, 32.92, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.587, 32.90, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.697, 32.90, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.807, 32.90, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:12.919, 32.90, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:13.027, 32.90, 1605, 1605, 8001, 46, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:30:13.137, 23.55, 1605, 1605, 7001, 44, 100, 100, 33, 6141, P3, 4, 8
2026/04/20 00:30:13.248, 23.55, 1605, 1605, 7001, 44, 100, 100, 0, 6141, P3, 4, 8
