timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:57:51.827, 13.69, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:51.935, 13.69, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:52.044, 13.69, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:52.155, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:57:52.788, 9.78, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:52.897, 9.78, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:53.008, 9.78, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:53.116, 1.20, 2130, 2130, 7000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:53.715, 9.79, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:53.825, 9.79, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:53.936, 9.79, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:54.047, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:57:54.629, 9.73, 1065, 1065, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:57:54.739, 9.73, 1065, 1065, 7001, 43, 0, 0, 209, 6141, P3, 4, 8
2026/04/20 00:57:54.850, 9.73, 1065, 1065, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:57:54.961, 9.73, 1065, 1065, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:57:55.072, 9.73, 1065, 1065, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:57:55.182, 17.64, 1065, 1065, 8001, 44, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.293, 17.64, 1065, 1065, 8001, 44, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.404, 17.64, 1065, 1065, 8001, 44, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.515, 17.64, 1065, 1065, 8001, 44, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.625, 23.16, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.736, 23.16, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.847, 23.16, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:55.958, 23.16, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.072, 23.16, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.179, 28.70, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.289, 28.70, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.401, 28.70, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.509, 28.70, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.619, 28.73, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.732, 28.73, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.841, 28.73, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
2026/04/20 00:57:56.950, 28.73, 1065, 1065, 8001, 45, 100, 100, 733, 6141, P0, 4, 8
