timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 16:53:19.129, 13.59, 1605, 1605, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:19.240, 13.59, 1605, 1605, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:19.350, 13.59, 1605, 1605, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:19.461, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 16:53:20.090, 10.09, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:20.199, 10.09, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:20.308, 10.09, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:20.419, 1.20, 2130, 2130, 7000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:21.018, 9.70, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:21.128, 9.70, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:21.238, 9.70, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:21.346, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:21.957, 11.16, 1605, 1605, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:53:22.066, 11.16, 1605, 1605, 7001, 44, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 16:53:22.176, 11.16, 1605, 1605, 7001, 44, 0, 0, 1107, 6141, P3, 4, 8
2026/04/20 16:53:22.286, 11.16, 1605, 1605, 7001, 44, 0, 0, 2013, 6141, P3, 4, 8
2026/04/20 16:53:22.394, 14.97, 1605, 1605, 7001, 45, 0, 0, 2013, 6141, P3, 4, 8
