timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 17:36:13.662, 18.86, 1245, 1245, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:13.772, 18.86, 1245, 1245, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:13.881, 18.86, 1245, 1245, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:13.991, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 17:36:14.604, 9.60, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:14.713, 9.60, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:14.823, 9.60, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:14.934, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:15.484, 9.55, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:15.594, 9.55, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:15.706, 9.55, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:15.816, 9.55, 1245, 1245, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:36:15.924, 9.55, 1245, 1245, 7001, 41, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 17:36:16.033, 8.32, 1245, 1245, 7001, 41, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:36:16.143, 8.32, 1245, 1245, 7001, 41, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:36:16.253, 8.32, 1245, 1245, 7001, 41, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:36:16.363, 8.32, 1245, 1245, 7001, 41, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:36:16.473, 15.34, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:16.584, 15.34, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:16.694, 15.34, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:16.804, 15.34, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:16.914, 15.34, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.026, 23.52, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.137, 23.52, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.247, 23.52, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.356, 23.52, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.467, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.576, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.687, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.797, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:17.907, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.018, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.129, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.239, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.346, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.456, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.565, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.676, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.784, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:18.895, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.005, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.116, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.226, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.336, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.446, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.555, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.667, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.777, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.886, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:19.994, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.106, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.217, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.327, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.437, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.547, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.657, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.769, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.877, 27.68, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:20.988, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.099, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.207, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.318, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.429, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.538, 27.65, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.648, 27.65, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.757, 27.65, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.867, 27.65, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:21.976, 27.64, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.086, 27.64, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.194, 27.64, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.302, 27.64, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.412, 27.64, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.522, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.633, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.743, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.853, 27.69, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:22.961, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.072, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.182, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.292, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.402, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.512, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.622, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.733, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.842, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:23.953, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.063, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.175, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.284, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.394, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.505, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.615, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.727, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.837, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:24.950, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.062, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.169, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.281, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.392, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.503, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.614, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.726, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.838, 27.70, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:25.949, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.061, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.172, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.281, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.390, 27.71, 1245, 1245, 8001, 43, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.501, 25.42, 1245, 1245, 8001, 42, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.611, 25.42, 1245, 1245, 8001, 42, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.722, 25.42, 1245, 1245, 8001, 42, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.832, 25.42, 1245, 1245, 8001, 42, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:36:26.941, 17.01, 1245, 1245, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
