timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 18:21:39.669, 27.75, 1725, 1725, 8001, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 18:21:39.780, 17.07, 1725, 1725, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:39.890, 17.07, 1725, 1725, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:39.998, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 18:21:40.670, 10.22, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:40.782, 10.22, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:40.891, 10.22, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:41.000, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:41.710, 15.76, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:41.822, 15.76, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:41.932, 15.76, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:42.042, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:42.690, 9.94, 1725, 1725, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:21:42.799, 9.94, 1725, 1725, 7001, 43, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 18:21:42.908, 9.94, 1725, 1725, 7001, 43, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 18:21:43.018, 9.94, 1725, 1725, 7001, 43, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 18:21:43.128, 9.94, 1725, 1725, 7001, 43, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 18:21:43.238, 21.47, 1725, 1725, 8001, 45, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 18:21:43.347, 21.47, 1725, 1725, 8001, 45, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 18:21:43.459, 21.47, 1725, 1725, 8001, 45, 0, 0, 773, 6141, P0, 4, 8
