timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 20:53:45.297, 19.43, 645, 645, 7001, 41, 100, 92, 0, 6141, P3, 4, 8
2026/04/20 20:53:45.408, 19.43, 645, 645, 7001, 41, 100, 92, 0, 6141, P3, 4, 8
2026/04/20 20:53:45.518, 10.72, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:45.629, 10.72, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:45.737, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 20:53:46.300, 9.91, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:46.410, 9.91, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:46.519, 9.91, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:46.630, 9.91, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:46.740, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:47.324, 9.90, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:47.434, 9.90, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:47.545, 9.90, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:47.655, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:48.297, 9.94, 645, 645, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 20:53:48.407, 9.94, 645, 645, 7001, 41, 0, 0, 293, 6141, P3, 4, 8
2026/04/20 20:53:48.516, 9.94, 645, 645, 7001, 41, 0, 0, 593, 6141, P3, 4, 8
2026/04/20 20:53:48.627, 9.94, 645, 645, 7001, 41, 0, 0, 593, 6141, P3, 4, 8
