timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 21:30:17.783, 12.17, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:17.892, 12.17, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:18.000, 12.17, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:18.109, 1.20, 2130, 1155, 7000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:18.721, 9.85, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:18.830, 9.85, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:18.941, 9.85, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:19.050, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:19.689, 11.84, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:19.799, 11.84, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:19.908, 11.84, 1725, 1725, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 21:30:20.017, 11.84, 1725, 1725, 7001, 45, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 21:30:20.126, 11.84, 1725, 1725, 7001, 45, 0, 0, 573, 6141, P3, 4, 8
2026/04/20 21:30:20.235, 10.61, 1725, 1725, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 21:30:20.343, 10.61, 1725, 1725, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 21:30:20.455, 10.61, 1725, 1725, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 21:30:20.566, 10.61, 1725, 1725, 7001, 45, 0, 0, 893, 6141, P3, 4, 8
2026/04/20 21:30:20.672, 19.95, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:20.786, 19.95, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:20.893, 19.95, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:20.999, 19.95, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.110, 19.95, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.220, 29.93, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.328, 29.93, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.439, 29.93, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.550, 29.93, 1725, 1725, 8001, 47, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.660, 34.38, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.769, 34.38, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.879, 34.38, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:21.988, 34.38, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.097, 34.38, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.206, 34.40, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.317, 34.40, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.425, 34.40, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.535, 34.40, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.643, 34.41, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.753, 34.41, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.864, 34.41, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:22.973, 34.41, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.083, 34.41, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.195, 34.42, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.304, 34.42, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.415, 34.42, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.524, 34.42, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.635, 34.42, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.745, 34.43, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.855, 34.43, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
2026/04/20 21:30:23.965, 34.43, 1725, 1725, 8001, 48, 100, 100, 893, 6141, P0, 4, 8
