timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 23:14:51.194, 14.34, 2265, 2265, 7001, 51, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:14:51.305, 14.34, 2265, 2265, 7001, 51, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:14:51.415, 14.34, 2265, 2265, 7001, 51, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:14:51.525, 14.34, 2265, 2265, 7001, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:51.635, 14.34, 2265, 2265, 7001, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:51.744, 14.44, 2265, 2265, 7001, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:51.854, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:52.456, 12.89, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:52.565, 12.89, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:52.673, 12.89, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:52.783, 12.89, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:52.893, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 23:14:53.508, 12.75, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:53.612, 12.75, 2265, 2265, 7001, 50, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:14:53.723, 12.75, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:53.832, 12.75, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:53.942, 1.20, 2130, 1875, 7000, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:54.621, 13.11, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:54.727, 13.11, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:54.836, 13.11, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:54.949, 13.11, 2265, 2265, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:55.058, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:55.731, 12.73, 2265, 2265, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:14:55.839, 12.73, 2265, 2265, 7001, 49, 0, 0, 16, 6141, P3, 4, 8
2026/04/20 23:14:55.950, 12.73, 2265, 2265, 7001, 49, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 23:14:56.060, 12.73, 2265, 2265, 7001, 49, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:14:56.170, 12.73, 2265, 2265, 7001, 49, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:14:56.279, 18.92, 2265, 2265, 7001, 52, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:14:56.389, 18.92, 2265, 2265, 7001, 52, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:14:56.497, 18.92, 2265, 2265, 7001, 52, 0, 0, 1061, 6141, P3, 4, 8
2026/04/20 23:14:56.607, 18.92, 2265, 2265, 7001, 52, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:14:56.717, 30.78, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:56.826, 30.78, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:56.940, 30.78, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.047, 30.78, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.159, 30.78, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.269, 42.24, 2265, 2265, 8001, 54, 100, 100, 1057, 6141, P0, 4, 8
2026/04/20 23:14:57.378, 42.24, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.489, 42.24, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.598, 42.24, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.708, 43.52, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.819, 43.52, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:57.929, 43.52, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.040, 43.52, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.151, 43.52, 2265, 2265, 8001, 54, 100, 100, 1061, 6141, P0, 4, 8
2026/04/20 23:14:58.260, 43.58, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.370, 43.58, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.484, 43.58, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.593, 43.58, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.701, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.811, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:58.922, 43.65, 2265, 2265, 8001, 54, 100, 100, 1060, 6141, P0, 4, 8
2026/04/20 23:14:59.032, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.143, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.254, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.365, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.475, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.590, 43.65, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.697, 43.66, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.805, 43.66, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:14:59.913, 43.66, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.026, 43.66, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.133, 43.66, 2265, 2265, 8001, 54, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.244, 43.51, 2265, 2265, 8001, 55, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.351, 43.51, 2265, 2265, 8001, 55, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.461, 43.51, 2265, 2265, 8001, 55, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.571, 43.51, 2265, 2265, 8001, 55, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.682, 43.49, 2265, 2265, 8001, 54, 99, 100, 1061, 6141, P0, 4, 8
2026/04/20 23:15:00.791, 43.49, 2265, 2265, 8001, 54, 99, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:00.902, 43.49, 2265, 2265, 8001, 54, 99, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:01.011, 43.49, 2265, 2265, 8001, 54, 99, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:01.124, 43.49, 2265, 2265, 8001, 54, 99, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:01.236, 43.64, 2265, 2265, 8001, 55, 99, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:15:01.347, 43.64, 2265, 2265, 8001, 55, 99, 100, 1053, 6141, P0, 4, 8
