run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_025210,3105,3105,1896.1713,2505.0000,74.0906,96.6535,21.6398,996.4764,16.2266,27.2535,68.2647,1860.4522,data\raw\compute\logs\03_sgemm_tt\clk3105_r1_20260419_025210_power.csv
clk3105_r2_20260419_025308,3105,3105,1900.9064,2505.0000,74.7193,95.5166,21.4016,986.1326,16.0582,27.2940,67.9425,1854.4250,data\raw\compute\logs\03_sgemm_tt\clk3105_r2_20260419_025308_power.csv
clk3105_r3_20260419_025406,3105,3105,1895.0391,2505.0000,75.2500,96.4844,21.5859,989.2324,16.1087,27.3067,68.0291,1857.6521,data\raw\compute\logs\03_sgemm_tt\clk3105_r3_20260419_025406_power.csv
clk3045_r1_20260419_025505,3045,3045,1893.0413,2505.0000,75.1063,96.4567,21.5807,996.4764,16.2266,27.3084,68.2656,1864.2256,data\raw\compute\logs\03_sgemm_tt\clk3045_r1_20260419_025505_power.csv
clk3045_r2_20260419_025603,3045,3045,1897.4121,2505.0000,75.3984,96.4844,21.6855,988.7090,16.1001,27.3277,68.0031,1858.3722,data\raw\compute\logs\03_sgemm_tt\clk3045_r2_20260419_025603_power.csv
clk3045_r3_20260419_025700,3045,3045,1896.2160,2505.0000,75.4280,96.1089,21.4611,987.1206,16.0743,27.3303,68.0955,1861.0736,data\raw\compute\logs\03_sgemm_tt\clk3045_r3_20260419_025700_power.csv
clk2985_r1_20260419_025801,2985,2985,1891.9488,2505.0000,75.2972,96.4567,21.6102,997.0256,16.2356,27.3233,68.2933,1865.9966,data\raw\compute\logs\03_sgemm_tt\clk2985_r1_20260419_025801_power.csv
clk2985_r2_20260419_025858,2985,2985,1897.3099,2505.0000,75.4698,95.5166,21.3158,989.2612,16.1091,27.3351,67.9478,1857.3634,data\raw\compute\logs\03_sgemm_tt\clk2985_r2_20260419_025858_power.csv
clk2985_r3_20260419_025956,2985,2985,1898.9883,2505.0000,75.5642,95.5253,21.3132,988.8171,16.1019,27.3379,67.8638,1855.2524,data\raw\compute\logs\03_sgemm_tt\clk2985_r3_20260419_025956_power.csv
clk2925_r1_20260419_030057,2925,2925,1892.7006,2505.0000,75.3738,96.0861,21.4795,992.6164,16.1638,27.3273,68.1509,1862.3842,data\raw\compute\logs\03_sgemm_tt\clk2925_r1_20260419_030057_power.csv
clk2925_r2_20260419_030154,2925,2925,1894.7368,2505.0000,75.9123,96.4912,21.6803,989.2612,16.1091,27.3444,68.0224,1860.0298,data\raw\compute\logs\03_sgemm_tt\clk2925_r2_20260419_030154_power.csv
clk2925_r3_20260419_030252,2925,2925,1895.6031,2505.0000,75.9922,96.1089,21.4883,987.3366,16.0778,27.3423,68.0886,1861.6994,data\raw\compute\logs\03_sgemm_tt\clk2925_r3_20260419_030252_power.csv
clk2865_r1_20260419_030352,2865,2865,1894.8919,2505.0000,75.7701,96.2672,21.5383,996.5167,16.2273,27.3309,68.2307,1864.8102,data\raw\compute\logs\03_sgemm_tt\clk2865_r1_20260419_030352_power.csv
clk2865_r2_20260419_030450,2865,2865,1897.3099,2505.0000,75.9844,95.5166,21.3333,990.7290,16.1330,27.3532,68.1219,1863.3521,data\raw\compute\logs\03_sgemm_tt\clk2865_r2_20260419_030450_power.csv
clk2865_r3_20260419_030548,2865,2865,1895.4572,2505.0000,76.0447,95.5837,21.4339,989.8969,16.1195,27.3596,68.0415,1861.5855,data\raw\compute\logs\03_sgemm_tt\clk2865_r3_20260419_030548_power.csv
clk2805_r1_20260419_030648,2805,2805,1894.9219,2505.0000,75.5215,95.8984,21.4355,991.7812,16.1502,27.3376,67.9506,1857.6096,data\raw\compute\logs\03_sgemm_tt\clk2805_r1_20260419_030648_power.csv
clk2805_r2_20260419_030746,2805,2805,1894.7568,2505.0000,75.8210,95.5603,21.3949,989.8969,16.1195,27.3510,67.9726,1859.1194,data\raw\compute\logs\03_sgemm_tt\clk2805_r2_20260419_030746_power.csv
clk2805_r3_20260419_030844,2805,2805,1894.9027,2505.0000,76.0292,96.7101,21.7588,989.3366,16.1103,27.3533,67.9834,1859.5676,data\raw\compute\logs\03_sgemm_tt\clk2805_r3_20260419_030844_power.csv
clk2745_r1_20260419_030944,2745,2745,1892.0334,2505.0000,75.6601,96.2672,21.5383,997.0354,16.2357,27.3479,68.2717,1867.0873,data\raw\compute\logs\03_sgemm_tt\clk2745_r1_20260419_030944_power.csv
clk2745_r2_20260419_031041,2745,2745,1896.2743,2505.0000,75.8541,95.5486,21.3580,988.8016,16.1016,27.3484,67.9684,1858.8249,data\raw\compute\logs\03_sgemm_tt\clk2745_r2_20260419_031041_power.csv
clk2745_r3_20260419_031139,2745,2745,1897.3392,2505.0000,75.9396,95.5517,21.3704,990.7290,16.1330,27.3579,68.0874,1862.7248,data\raw\compute\logs\03_sgemm_tt\clk2745_r3_20260419_031139_power.csv
clk2685_r1_20260419_031239,2685,2685,1890.1768,2505.0000,75.5815,96.2672,21.4990,996.5914,16.2285,27.3331,68.2781,1866.2494,data\raw\compute\logs\03_sgemm_tt\clk2685_r1_20260419_031239_power.csv
clk2685_r2_20260419_031337,2685,2685,1896.1988,2505.0000,75.9552,95.5166,21.2612,989.2651,16.1092,27.3614,68.2190,1866.5699,data\raw\compute\logs\03_sgemm_tt\clk2685_r2_20260419_031337_power.csv
clk2685_r3_20260419_031435,2685,2685,1893.9981,2505.0000,76.1109,96.4981,21.5700,988.8016,16.1016,27.3617,67.9054,1858.0071,data\raw\compute\logs\03_sgemm_tt\clk2685_r3_20260419_031435_power.csv
clk2625_r1_20260419_031535,2625,2625,1893.2353,2505.0000,75.7608,96.2745,21.5216,997.0078,16.2353,27.3473,68.1950,1864.9503,data\raw\compute\logs\03_sgemm_tt\clk2625_r1_20260419_031535_power.csv
clk2625_r2_20260419_031632,2625,2625,1891.0234,2505.0000,76.3392,96.4912,21.6374,990.8051,16.1343,27.3502,68.2954,1867.8970,data\raw\compute\logs\03_sgemm_tt\clk2625_r2_20260419_031632_power.csv
clk2625_r3_20260419_031730,2625,2625,1895.4971,2505.0000,76.2612,97.0760,21.8168,988.8051,16.1017,27.3586,67.9297,1858.4633,data\raw\compute\logs\03_sgemm_tt\clk2625_r3_20260419_031730_power.csv
clk2565_r1_20260419_031829,2565,2565,1892.9470,2505.0000,75.9371,96.2672,21.4971,998.5147,16.2598,27.3487,68.2873,1867.5684,data\raw\compute\logs\03_sgemm_tt\clk2565_r1_20260419_031829_power.csv
clk2565_r2_20260419_031927,2565,2565,1895.9825,2505.0000,76.0623,96.6401,21.6770,989.3327,16.1103,27.3471,67.9166,1857.3255,data\raw\compute\logs\03_sgemm_tt\clk2565_r2_20260419_031927_power.csv
clk2565_r3_20260419_032025,2565,2565,1894.8444,2505.0000,76.2374,97.0817,21.6654,989.3366,16.1103,27.3588,68.0698,1862.3067,data\raw\compute\logs\03_sgemm_tt\clk2565_r3_20260419_032025_power.csv
