run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_070829,3105,3105,2489.8506,2505.0000,69.7186,97.2603,17.4483,5789.0959,94.2696,43.1293,57.9847,2500.8421,data\raw\compute\logs\05_conv3d_forward\clk3105_r1_20260419_070829_power.csv
clk3105_r2_20260419_070959,3105,3105,2487.5279,2505.0000,70.2454,96.6654,17.1326,5770.1784,93.9615,43.1906,57.9877,2504.5227,data\raw\compute\logs\05_conv3d_forward\clk3105_r2_20260419_070959_power.csv
clk3105_r3_20260419_071129,3105,3105,2486.6770,2505.0000,70.3985,97.1535,17.7042,5767.2723,93.9142,43.1714,57.9561,2502.0467,data\raw\compute\logs\05_conv3d_forward\clk3105_r3_20260419_071129_power.csv
clk3045_r1_20260419_071301,3045,3045,2489.1188,2505.0000,70.4313,97.6250,17.5613,5798.7037,94.4261,43.1098,58.2446,2510.9120,data\raw\compute\logs\05_conv3d_forward\clk3045_r1_20260419_071301_power.csv
clk3045_r2_20260419_071431,3045,3045,2486.6231,2505.0000,70.6828,97.4154,17.2400,5777.3893,94.0790,43.1499,58.1311,2508.3497,data\raw\compute\logs\05_conv3d_forward\clk3045_r2_20260419_071431_power.csv
clk3045_r3_20260419_071601,3045,3045,2485.3660,2505.0000,70.6576,97.0223,17.1129,5768.7395,93.9381,43.1581,58.0793,2506.5934,data\raw\compute\logs\05_conv3d_forward\clk3045_r3_20260419_071601_power.csv
clk2985_r1_20260419_071733,2985,2985,2486.2687,2505.0000,70.4652,97.0149,17.0522,5781.5672,94.1470,43.2115,57.9970,2506.1379,data\raw\compute\logs\05_conv3d_forward\clk2985_r1_20260419_071733_power.csv
clk2985_r2_20260419_071903,2985,2985,2486.1658,2505.0000,70.7456,97.1322,17.2269,5775.2207,94.0437,43.1598,58.1716,2510.6723,data\raw\compute\logs\05_conv3d_forward\clk2985_r2_20260419_071903_power.csv
clk2985_r3_20260419_072034,2985,2985,2486.4826,2505.0000,70.7047,96.8983,17.5720,5774.9293,94.0389,43.1635,58.1041,2507.9741,data\raw\compute\logs\05_conv3d_forward\clk2985_r3_20260419_072034_power.csv
clk2925_r1_20260419_072206,2925,2925,2486.7978,2505.0000,70.5768,97.3783,16.8839,5803.8976,94.5106,43.2120,58.1732,2513.7760,data\raw\compute\logs\05_conv3d_forward\clk2925_r1_20260419_072206_power.csv
clk2925_r2_20260419_072336,2925,2925,2486.1015,2505.0000,70.8045,96.7822,17.1473,5760.2178,93.7993,43.1684,57.9656,2502.2836,data\raw\compute\logs\05_conv3d_forward\clk2925_r2_20260419_072336_power.csv
clk2925_r3_20260419_072506,2925,2925,2486.9441,2505.0000,70.8807,97.0186,17.3342,5764.9106,93.8758,43.1844,57.9651,2503.1849,data\raw\compute\logs\05_conv3d_forward\clk2925_r3_20260419_072506_power.csv
clk2865_r1_20260419_072639,2865,2865,2489.8509,2505.0000,70.4994,97.0584,16.6745,5777.5938,94.0823,43.1498,57.9548,2500.7407,data\raw\compute\logs\05_conv3d_forward\clk2865_r1_20260419_072639_power.csv
clk2865_r2_20260419_072809,2865,2865,2486.2314,2505.0000,70.7475,96.8639,17.3552,5761.7314,93.8240,43.1843,57.9630,2503.0893,data\raw\compute\logs\05_conv3d_forward\clk2865_r2_20260419_072809_power.csv
clk2865_r3_20260419_072939,2865,2865,2486.9552,2505.0000,70.8531,97.7597,16.9465,5782.1420,94.1564,43.1692,58.1399,2509.8555,data\raw\compute\logs\05_conv3d_forward\clk2865_r3_20260419_072939_power.csv
clk2805_r1_20260419_073111,2805,2805,2485.8685,2505.0000,70.6017,97.0223,17.2419,5790.6067,94.2942,43.1698,58.0507,2506.0358,data\raw\compute\logs\05_conv3d_forward\clk2805_r1_20260419_073111_power.csv
clk2805_r2_20260419_073241,2805,2805,2485.8075,2505.0000,70.7963,97.0186,17.2460,5775.3441,94.0457,43.1696,58.0454,2505.7957,data\raw\compute\logs\05_conv3d_forward\clk2805_r2_20260419_073241_power.csv
clk2805_r3_20260419_073411,2805,2805,2486.3665,2505.0000,70.8696,97.0186,17.0708,5767.5602,93.9189,43.1678,58.0572,2506.1978,data\raw\compute\logs\05_conv3d_forward\clk2805_r3_20260419_073411_power.csv
clk2745_r1_20260419_073544,2745,2745,2487.5499,2505.0000,70.6085,97.3815,17.5237,5801.3603,94.4693,43.1414,58.2249,2511.9004,data\raw\compute\logs\05_conv3d_forward\clk2745_r1_20260419_073544_power.csv
clk2745_r2_20260419_073714,2745,2745,2486.3478,2505.0000,70.8981,97.1615,17.4845,5775.2646,94.0444,43.1592,58.1179,2508.3210,data\raw\compute\logs\05_conv3d_forward\clk2745_r2_20260419_073714_power.csv
clk2745_r3_20260419_073844,2745,2745,2486.2733,2505.0000,71.0062,97.2671,17.2273,5774.1466,94.0262,43.1781,58.1188,2509.4563,data\raw\compute\logs\05_conv3d_forward\clk2745_r3_20260419_073844_power.csv
clk2685_r1_20260419_074016,2685,2685,2487.0412,2505.0000,70.8352,97.5031,17.4969,5797.0999,94.3999,43.1677,58.2672,2515.2611,data\raw\compute\logs\05_conv3d_forward\clk2685_r1_20260419_074016_power.csv
clk2685_r2_20260419_074146,2685,2685,2485.4404,2505.0000,71.0645,97.0223,17.0447,5770.2742,93.9631,43.1362,58.1628,2508.9254,data\raw\compute\logs\05_conv3d_forward\clk2685_r2_20260419_074146_power.csv
clk2685_r3_20260419_074315,2685,2685,2484.9071,2505.0000,71.0582,96.9021,16.7224,5767.7509,93.9220,43.2051,58.0760,2509.1806,data\raw\compute\logs\05_conv3d_forward\clk2685_r3_20260419_074315_power.csv
clk2625_r1_20260419_074448,2625,2625,2486.4224,2505.0000,70.7503,97.0186,17.8969,5785.6547,94.2136,43.2085,58.0772,2509.4240,data\raw\compute\logs\05_conv3d_forward\clk2625_r1_20260419_074448_power.csv
clk2625_r2_20260419_074618,2625,2625,2484.9938,2505.0000,70.7709,97.2906,16.4926,5767.0246,93.9102,43.7233,57.5056,2514.3350,data\raw\compute\logs\05_conv3d_forward\clk2625_r2_20260419_074618_power.csv
clk2625_r3_20260419_074749,2625,2625,2484.0473,2505.0000,71.5728,95.8665,17.1019,5706.4830,92.9243,43.5287,57.4278,2499.7580,data\raw\compute\logs\05_conv3d_forward\clk2625_r3_20260419_074749_power.csv
clk2565_r1_20260419_074924,2565,2565,2484.6044,2505.0000,71.3511,97.4042,17.7182,5761.5216,93.8206,43.2979,59.1326,2560.3183,data\raw\compute\logs\05_conv3d_forward\clk2565_r1_20260419_074924_power.csv
clk2565_r2_20260419_075056,2565,2565,2483.7454,2505.0000,71.5301,97.1710,17.8758,5762.0344,93.8289,43.6088,57.9830,2528.5660,data\raw\compute\logs\05_conv3d_forward\clk2565_r2_20260419_075056_power.csv
clk2565_r3_20260419_075227,2565,2565,2484.6111,2505.0000,71.6333,97.0370,17.2914,5743.1198,93.5209,43.2901,58.1097,2515.5789,data\raw\compute\logs\05_conv3d_forward\clk2565_r3_20260419_075227_power.csv
clk2505_r1_20260419_075400,2505,2505,2484.7850,2505.0000,71.1069,96.2531,16.2629,5764.1622,93.8636,43.4104,57.6824,2504.0167,data\raw\compute\logs\05_conv3d_forward\clk2505_r1_20260419_075400_power.csv
clk2505_r2_20260419_075531,2505,2505,2484.9143,2505.0000,71.2521,96.0685,16.1934,5743.6291,93.5292,43.4314,57.5292,2498.5716,data\raw\compute\logs\05_conv3d_forward\clk2505_r2_20260419_075531_power.csv
clk2505_r3_20260419_075703,2505,2505,2484.7026,2505.0000,71.5403,97.3978,17.3891,5763.6828,93.8558,43.3420,58.1195,2519.0173,data\raw\compute\logs\05_conv3d_forward\clk2505_r3_20260419_075703_power.csv
clk2445_r1_20260419_075835,2445,2445,2444.2289,2445.0000,70.1836,97.6083,16.6891,5769.4651,93.9499,43.7510,55.7185,2437.7444,data\raw\compute\logs\05_conv3d_forward\clk2445_r1_20260419_075835_power.csv
clk2445_r2_20260419_080007,2445,2445,2444.6154,2445.0000,70.5836,97.3138,17.0989,5761.3065,93.8171,43.7307,55.7219,2436.7577,data\raw\compute\logs\05_conv3d_forward\clk2445_r2_20260419_080007_power.csv
clk2445_r3_20260419_080139,2445,2445,2443.8391,2445.0000,70.3071,96.9287,17.1155,5765.2740,93.8817,43.7612,55.7550,2439.9095,data\raw\compute\logs\05_conv3d_forward\clk2445_r3_20260419_080139_power.csv
clk2385_r1_20260419_080313,2385,2385,2384.1926,2385.0000,68.7739,96.6292,20.0407,5740.0897,93.4716,44.8894,53.9582,2422.1518,data\raw\compute\logs\05_conv3d_forward\clk2385_r1_20260419_080313_power.csv
clk2385_r2_20260419_080447,2385,2385,2384.0794,2385.0000,67.7870,96.1480,17.3008,5742.4693,93.5103,44.3518,51.1269,2267.5701,data\raw\compute\logs\05_conv3d_forward\clk2385_r2_20260419_080447_power.csv
clk2385_r3_20260419_080621,2385,2385,2384.3841,2385.0000,67.6353,97.4638,16.6981,5768.2258,93.9297,44.5126,51.1738,2277.8819,data\raw\compute\logs\05_conv3d_forward\clk2385_r3_20260419_080621_power.csv
