run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_143055,3105,3105,2504.4156,2520.0000,59.1602,90.7013,50.8528,3417.5931,55.6521,11.6167,55.1992,641.2348,data\raw\compute\logs\07_conv_transpose3d\clk3105_r1_20260419_143055_power.csv
clk3105_r2_20260419_143122,3105,3105,2500.9442,2520.0000,59.7511,89.4635,50.5236,3396.6910,55.3117,11.6158,55.1600,640.7271,data\raw\compute\logs\07_conv_transpose3d\clk3105_r2_20260419_143122_power.csv
clk3105_r3_20260419_143149,3105,3105,2502.5325,2520.0000,60.2468,89.9264,50.4545,3412.0563,55.5619,11.6159,55.5721,645.5221,data\raw\compute\logs\07_conv_transpose3d\clk3105_r3_20260419_143149_power.csv
clk3045_r1_20260419_143219,3045,3045,2502.4342,2520.0000,60.1360,90.9123,51.3728,3460.9123,56.3575,11.6210,55.8726,649.2966,data\raw\compute\logs\07_conv_transpose3d\clk3045_r1_20260419_143219_power.csv
clk3045_r2_20260419_143245,3045,3045,2500.6494,2520.0000,60.3983,89.6926,50.5238,3412.0606,55.5620,11.6244,55.6735,647.1731,data\raw\compute\logs\07_conv_transpose3d\clk3045_r2_20260419_143245_power.csv
clk3045_r3_20260419_143313,3045,3045,2502.2078,2520.0000,60.6970,89.9134,50.2857,3412.9394,55.5763,11.6182,55.8310,648.6550,data\raw\compute\logs\07_conv_transpose3d\clk3045_r3_20260419_143313_power.csv
clk2985_r1_20260419_143342,2985,2985,2502.5764,2520.0000,60.3362,90.8297,51.3319,3451.0568,56.1970,11.6168,55.8359,648.6367,data\raw\compute\logs\07_conv_transpose3d\clk2985_r1_20260419_143342_power.csv
clk2985_r2_20260419_143409,2985,2985,2502.3491,2520.0000,60.5905,89.6552,50.8491,3398.3621,55.3389,11.6158,55.5164,644.8698,data\raw\compute\logs\07_conv_transpose3d\clk2985_r2_20260419_143409_power.csv
clk2985_r3_20260419_143436,2985,2985,2502.0259,2520.0000,60.8103,89.5388,50.5000,3411.8276,55.5582,11.6178,55.6861,646.9510,data\raw\compute\logs\07_conv_transpose3d\clk2985_r3_20260419_143436_power.csv
clk2925_r1_20260419_143506,2925,2925,2504.1447,2520.0000,60.8904,90.7895,51.0000,3461.1491,56.3613,11.6181,55.9088,649.5511,data\raw\compute\logs\07_conv_transpose3d\clk2925_r1_20260419_143506_power.csv
clk2925_r2_20260419_143532,2925,2925,2503.3836,2505.0000,61.4784,89.6552,50.7241,3398.5517,55.3420,11.6158,55.6381,646.2796,data\raw\compute\logs\07_conv_transpose3d\clk2925_r2_20260419_143532_power.csv
clk2925_r3_20260419_143600,2925,2925,2500.1509,2505.0000,61.9310,89.5259,50.2241,3397.3405,55.3223,11.6170,55.8602,648.9277,data\raw\compute\logs\07_conv_transpose3d\clk2925_r3_20260419_143600_power.csv
clk2865_r1_20260419_143629,2865,2865,2501.7249,2505.0000,61.8428,90.7118,50.7293,3455.1179,56.2631,11.6185,56.1696,652.6042,data\raw\compute\logs\07_conv_transpose3d\clk2865_r1_20260419_143629_power.csv
