timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 02:25:36.673, 34.76, 2490, 2490, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:36.782, 34.76, 2490, 2490, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:36.892, 34.76, 2490, 2490, 7001, 62, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:37.000, 1.20, 2130, 2130, 8000, 69, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 02:25:37.675, 13.27, 2130, 2130, 7001, 60, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:37.785, 13.27, 2130, 2130, 7001, 60, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:37.892, 13.27, 2130, 2130, 7001, 60, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:38.002, 1.20, 2130, 2130, 8000, 69, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:38.689, 11.16, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:38.796, 11.16, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:38.905, 11.16, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:39.014, 1.20, 2130, 2130, 8000, 69, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:39.673, 13.12, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:39.782, 13.12, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:39.892, 13.12, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:40.002, 1.20, 2130, 2130, 8000, 69, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:40.673, 10.97, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 02:25:40.783, 10.97, 2130, 2130, 7001, 58, 0, 0, 9, 6141, P3, 4, 8
2026/04/19 02:25:40.891, 10.97, 2130, 2130, 7001, 58, 0, 0, 761, 6141, P3, 4, 8
2026/04/19 02:25:41.002, 10.97, 2130, 2130, 7001, 58, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.109, 10.97, 2130, 2130, 7001, 58, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.218, 30.89, 1950, 1950, 7001, 68, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.325, 30.89, 1950, 1950, 7001, 68, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.434, 30.89, 1950, 1950, 7001, 68, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.544, 30.89, 1950, 1950, 7001, 68, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 02:25:41.653, 51.43, 1890, 1890, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:41.762, 51.43, 1890, 1890, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:41.872, 51.43, 1890, 1890, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:41.982, 51.43, 1890, 1890, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.092, 51.43, 1890, 1890, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.201, 70.94, 1785, 1785, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.311, 70.94, 1785, 1785, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.420, 70.94, 1785, 1785, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.530, 70.94, 1785, 1785, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.639, 70.07, 1890, 1890, 8001, 73, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.749, 70.07, 1890, 1890, 8001, 73, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.859, 70.07, 1890, 1890, 8001, 73, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:42.969, 70.07, 1890, 1890, 8001, 73, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:43.079, 70.07, 1890, 1890, 8001, 73, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:43.191, 69.75, 1800, 1800, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
2026/04/19 02:25:43.299, 69.75, 1800, 1800, 8001, 72, 100, 29, 1017, 6141, P0, 4, 8
