timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 05:25:22.569, 65.86, 2490, 2490, 8001, 64, 100, 37, 0, 6141, P0, 4, 8
2026/04/19 05:25:22.678, 65.86, 2490, 2490, 8001, 64, 100, 37, 0, 6141, P0, 4, 8
2026/04/19 05:25:22.787, 43.51, 2490, 2490, 8001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:22.897, 1.20, 2130, 2130, 8000, 70, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:23.527, 11.38, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:23.639, 11.38, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:23.747, 11.38, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:23.857, 1.20, 2130, 2130, 8000, 70, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:24.425, 11.38, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:24.536, 11.38, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:24.646, 11.38, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:24.756, 1.20, 2130, 2130, 8000, 70, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 05:25:25.322, 13.02, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 05:25:25.432, 13.02, 2130, 2130, 7001, 58, 0, 0, 309, 6141, P3, 4, 8
2026/04/19 05:25:25.541, 13.02, 2130, 2130, 7001, 58, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:25:25.651, 13.02, 2130, 2130, 7001, 58, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:25:25.762, 13.02, 2130, 2130, 7001, 58, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 05:25:25.873, 49.56, 1905, 1905, 8001, 71, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 05:25:25.982, 49.56, 1905, 1905, 8001, 71, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 05:25:26.091, 49.56, 1905, 1905, 8001, 71, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 05:25:26.202, 49.56, 1905, 1905, 8001, 71, 0, 0, 1017, 6141, P0, 4, 8
2026/04/19 05:25:26.312, 60.56, 1890, 1890, 8001, 72, 100, 37, 1017, 6141, P0, 4, 8
2026/04/19 05:25:26.423, 60.56, 1890, 1890, 8001, 72, 100, 37, 1017, 6141, P0, 4, 8
