timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 08:21:11.446, 61.82, 2490, 2490, 8001, 63, 100, 23, 0, 6141, P0, 4, 8
2026/04/19 08:21:11.555, 61.82, 2490, 2490, 8001, 63, 100, 23, 0, 6141, P0, 4, 8
2026/04/19 08:21:11.666, 39.49, 2490, 2490, 8001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:11.776, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 08:21:12.388, 11.23, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:12.497, 11.23, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:12.609, 11.23, 2130, 2130, 7001, 59, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:12.718, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:13.300, 11.31, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:13.411, 11.31, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:13.520, 11.31, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:13.630, 11.31, 2130, 2130, 7001, 58, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 08:21:13.740, 11.31, 2130, 2130, 7001, 58, 0, 0, 19, 6141, P3, 4, 8
2026/04/19 08:21:13.849, 13.96, 2130, 2130, 7001, 59, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:21:13.959, 13.96, 2130, 2130, 7001, 59, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:21:14.069, 13.96, 2130, 2130, 7001, 59, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:21:14.181, 13.96, 2130, 2130, 7001, 59, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 08:21:14.290, 37.63, 1920, 1920, 8001, 71, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.399, 37.63, 1920, 1920, 8001, 71, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.508, 37.63, 1920, 1920, 8001, 71, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.619, 37.63, 1920, 1920, 8001, 71, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.730, 37.63, 1920, 1920, 8001, 71, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.840, 61.79, 1860, 1860, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:14.949, 61.79, 1860, 1860, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.058, 61.79, 1860, 1860, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.169, 61.79, 1860, 1860, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.278, 70.14, 1905, 1905, 8001, 72, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.389, 70.14, 1905, 1905, 8001, 72, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.499, 70.14, 1905, 1905, 8001, 72, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.610, 70.14, 1905, 1905, 8001, 72, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.720, 70.14, 1905, 1905, 8001, 72, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.830, 70.07, 1875, 1875, 8001, 73, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:15.939, 70.07, 1875, 1875, 8001, 73, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.050, 70.07, 1875, 1875, 8001, 73, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.160, 70.07, 1875, 1875, 8001, 73, 100, 22, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.270, 70.01, 1905, 1905, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.379, 70.01, 1905, 1905, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.489, 70.01, 1905, 1905, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.600, 70.01, 1905, 1905, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.710, 70.01, 1905, 1905, 8001, 72, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.820, 69.93, 1875, 1875, 8001, 73, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:16.930, 69.93, 1875, 1875, 8001, 73, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:17.041, 69.93, 1875, 1875, 8001, 73, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:17.151, 69.93, 1875, 1875, 8001, 73, 100, 23, 1017, 6141, P0, 4, 8
2026/04/19 08:21:17.262, 69.94, 1875, 1875, 8001, 73, 100, 22, 1017, 6141, P0, 4, 8
