timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 11:17:24.179, 53.31, 2505, 2505, 8001, 57, 100, 39, 0, 6141, P0, 4, 8
2026/04/19 11:17:24.288, 53.31, 2505, 2505, 8001, 57, 100, 39, 0, 6141, P0, 4, 8
2026/04/19 11:17:24.399, 53.31, 2505, 2505, 8001, 57, 100, 39, 0, 6141, P0, 4, 8
2026/04/19 11:17:24.510, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 11:17:25.124, 10.90, 2130, 2130, 7001, 54, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:25.234, 10.90, 2130, 2130, 7001, 54, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:25.345, 10.90, 2130, 2130, 7001, 54, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:25.456, 10.90, 2130, 2130, 7001, 54, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:25.565, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 11:17:26.148, 13.02, 2130, 2130, 7001, 53, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:26.259, 13.02, 2130, 2130, 7001, 53, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:26.369, 13.02, 2130, 2130, 7001, 53, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:26.478, 13.02, 2130, 2130, 7001, 53, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 11:17:26.587, 13.02, 2130, 2130, 7001, 53, 0, 0, 8, 6141, P3, 4, 8
2026/04/19 11:17:26.696, 13.47, 2130, 2130, 7001, 54, 0, 0, 2037, 6141, P3, 4, 8
2026/04/19 11:17:26.806, 13.47, 2130, 2130, 7001, 54, 0, 0, 3337, 6141, P3, 4, 8
2026/04/19 11:17:26.917, 13.47, 2130, 2130, 7001, 54, 0, 0, 3337, 6141, P3, 4, 8
2026/04/19 11:17:27.028, 13.47, 2130, 2130, 7001, 54, 0, 0, 3337, 6141, P3, 4, 8
2026/04/19 11:17:27.139, 31.79, 2100, 2100, 8001, 65, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.250, 31.79, 2100, 2100, 8001, 65, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.359, 31.79, 2100, 2100, 8001, 65, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.470, 31.79, 2100, 2100, 8001, 65, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.580, 31.79, 2100, 2100, 8001, 65, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.690, 56.18, 2010, 2010, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.802, 56.18, 2010, 2010, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:27.911, 56.18, 2010, 2010, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.022, 56.18, 2010, 2010, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.131, 69.87, 2085, 2085, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.242, 69.87, 2085, 2085, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.351, 69.87, 2085, 2085, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.461, 69.87, 2085, 2085, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.572, 69.87, 2085, 2085, 8001, 67, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.681, 69.82, 2025, 2025, 8001, 68, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.792, 69.82, 2025, 2025, 8001, 68, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:28.902, 69.82, 2025, 2025, 8001, 68, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.012, 69.82, 2025, 2025, 8001, 68, 100, 40, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.123, 69.98, 2055, 2055, 8001, 67, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.234, 69.98, 2055, 2055, 8001, 67, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.343, 69.98, 2055, 2055, 8001, 67, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.452, 69.98, 2055, 2055, 8001, 67, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.564, 69.98, 2055, 2055, 8001, 67, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.674, 69.65, 2055, 2055, 8001, 68, 100, 38, 3337, 6141, P0, 4, 8
2026/04/19 11:17:29.783, 69.65, 2055, 2055, 8001, 68, 100, 38, 3337, 6141, P0, 4, 8
