timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 18:55:56.933, 33.85, 2505, 2505, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:57.044, 33.85, 2505, 2505, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:57.154, 33.85, 2505, 2505, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:57.265, 1.20, 2130, 2130, 8000, 60, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 18:55:57.851, 10.77, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:57.962, 10.77, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:58.073, 10.77, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:58.183, 1.20, 2130, 2130, 8000, 60, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:58.767, 10.84, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:58.878, 10.84, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:58.988, 10.84, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:59.097, 1.20, 2130, 2130, 8000, 60, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 18:55:59.697, 12.62, 2130, 2130, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 18:55:59.807, 12.62, 2130, 2130, 7001, 47, 0, 0, 567, 6141, P3, 4, 8
2026/04/19 18:55:59.918, 12.62, 2130, 2130, 7001, 47, 0, 0, 1301, 6141, P3, 4, 8
2026/04/19 18:56:00.029, 12.62, 2130, 2130, 7001, 47, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.141, 12.62, 2130, 2130, 7001, 47, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.252, 30.81, 2130, 2130, 7001, 54, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.363, 30.81, 2130, 2130, 7001, 54, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.473, 30.81, 2130, 2130, 7001, 54, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.583, 30.81, 2130, 2130, 7001, 54, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 18:56:00.694, 50.35, 2250, 2250, 8001, 59, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:00.804, 50.35, 2250, 2250, 8001, 59, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:00.915, 50.35, 2250, 2250, 8001, 59, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.025, 50.35, 2250, 2250, 8001, 59, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.134, 50.35, 2250, 2250, 8001, 59, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.249, 68.98, 2175, 2175, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.356, 68.98, 2175, 2175, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.465, 68.98, 2175, 2175, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.576, 68.98, 2175, 2175, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.686, 69.84, 2160, 2160, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.797, 69.84, 2160, 2160, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:01.908, 69.84, 2160, 2160, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.019, 69.84, 2160, 2160, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.130, 69.84, 2160, 2160, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.240, 69.39, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.351, 69.39, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.462, 69.39, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.573, 69.39, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.684, 69.89, 2190, 2190, 8001, 60, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.795, 69.89, 2190, 2190, 8001, 60, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:02.906, 69.89, 2190, 2190, 8001, 60, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.018, 69.89, 2190, 2190, 8001, 60, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.128, 69.89, 2190, 2190, 8001, 60, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.242, 69.62, 2175, 2175, 8001, 59, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.350, 69.62, 2175, 2175, 8001, 59, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.460, 69.62, 2175, 2175, 8001, 59, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.570, 69.62, 2175, 2175, 8001, 59, 100, 47, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.681, 69.74, 2205, 2205, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.791, 69.74, 2205, 2205, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:03.902, 69.74, 2205, 2205, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.013, 69.74, 2205, 2205, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.124, 69.74, 2205, 2205, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.234, 69.61, 2235, 2235, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.345, 69.61, 2235, 2235, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.454, 69.61, 2235, 2235, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.565, 69.61, 2235, 2235, 8001, 60, 100, 46, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.677, 69.65, 2145, 2145, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.786, 69.65, 2145, 2145, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:04.898, 69.65, 2145, 2145, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.010, 69.65, 2145, 2145, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.119, 69.65, 2145, 2145, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.230, 69.64, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.342, 69.64, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.452, 69.64, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.562, 69.64, 2235, 2235, 8001, 60, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.674, 69.68, 2205, 2205, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.784, 69.68, 2205, 2205, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:05.895, 69.68, 2205, 2205, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:06.006, 69.68, 2205, 2205, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:06.117, 69.68, 2205, 2205, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
2026/04/19 18:56:06.229, 69.66, 2190, 2190, 8001, 61, 100, 49, 2027, 6141, P0, 4, 8
