timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 03:37:43.585, 59.31, 1725, 1725, 8001, 66, 100, 26, 0, 6141, P0, 4, 8
2026/04/19 03:37:43.693, 59.31, 1725, 1725, 8001, 66, 100, 26, 0, 6141, P0, 4, 8
2026/04/19 03:37:43.803, 36.98, 1725, 1725, 8001, 63, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:43.914, 1.20, 2130, 2130, 8000, 77, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 03:37:44.555, 12.98, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:44.664, 12.98, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:44.774, 12.98, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:44.885, 1.20, 2130, 2130, 8000, 77, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:45.512, 10.59, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:45.621, 10.59, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:45.731, 10.59, 1725, 1725, 7001, 61, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:45.840, 1.20, 2130, 2130, 8000, 77, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:46.437, 12.77, 1725, 1725, 7001, 60, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 03:37:46.547, 12.77, 1725, 1725, 7001, 60, 0, 0, 761, 6141, P3, 4, 8
2026/04/19 03:37:46.657, 12.77, 1725, 1725, 7001, 60, 0, 0, 1017, 6141, P3, 4, 8
2026/04/19 03:37:46.768, 12.77, 1725, 1725, 7001, 60, 0, 0, 1017, 6141, P3, 4, 8
