timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 19:54:33.699, 12.33, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:33.809, 12.33, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:33.919, 12.33, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:34.029, 1.20, 2130, 2130, 8000, 40, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 19:54:34.707, 15.35, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:34.815, 15.35, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:34.926, 15.35, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:35.037, 15.35, 585, 585, 7001, 41, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:35.147, 1.20, 2130, 2130, 8000, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:35.729, 15.20, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:35.839, 15.20, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:35.950, 15.20, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:36.061, 15.20, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:36.172, 1.20, 2130, 2130, 8000, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:36.771, 9.63, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 19:54:36.881, 9.63, 585, 585, 7001, 40, 0, 0, 529, 6141, P3, 4, 8
2026/04/19 19:54:36.992, 9.63, 585, 585, 7001, 40, 0, 0, 1299, 6141, P3, 4, 8
2026/04/19 19:54:37.102, 9.63, 585, 585, 7001, 40, 0, 0, 1299, 6141, P3, 4, 8
2026/04/19 19:54:37.212, 9.63, 585, 585, 7001, 40, 0, 0, 1301, 6141, P3, 4, 8
2026/04/19 19:54:37.338, 8.43, 585, 585, 7001, 40, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 19:54:37.449, 8.43, 585, 585, 7001, 40, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 19:54:37.558, 8.43, 585, 585, 7001, 40, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 19:54:37.668, 8.43, 585, 585, 7001, 40, 0, 0, 2027, 6141, P3, 4, 8
2026/04/19 19:54:37.779, 13.81, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:37.890, 13.81, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.000, 13.81, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.110, 13.81, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.221, 19.50, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.333, 19.50, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.442, 19.50, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.552, 19.50, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.662, 19.50, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.774, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.883, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:38.993, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.105, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.215, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.341, 22.13, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.455, 22.13, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.562, 22.13, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.675, 22.13, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.785, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:39.897, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.008, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.118, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.229, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.341, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.452, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.563, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.672, 22.12, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.783, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:40.894, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:41.005, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
2026/04/19 19:54:41.115, 22.15, 585, 585, 8001, 42, 100, 15, 2027, 6141, P0, 4, 8
