run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260419_191036,3105,3105,2508.5294,2520.0000,50.2647,74.7353,75.0000,625.3235,10.1828,2.8930,40.5941,117.4384,data\raw\memory\logs\10_elementwise_mul\clk3105_r1_20260419_191036_power.csv
clk3105_r2_20260419_191045,3105,3105,2503.9726,2520.0000,50.4110,72.5616,72.6027,585.6849,9.5373,2.8942,39.2092,113.4783,data\raw\memory\logs\10_elementwise_mul\clk3105_r2_20260419_191045_power.csv
clk3105_r3_20260419_191055,3105,3105,2493.6486,2520.0000,50.7297,72.9730,72.9730,577.8919,9.4104,2.8935,39.1619,113.3149,data\raw\memory\logs\10_elementwise_mul\clk3105_r3_20260419_191055_power.csv
clk3045_r1_20260419_191107,3045,3045,2514.5070,2520.0000,50.5070,76.0563,76.0563,606.7183,9.8798,2.8832,39.2007,113.0220,data\raw\memory\logs\10_elementwise_mul\clk3045_r1_20260419_191107_power.csv
clk3045_r2_20260419_191116,3045,3045,2493.1250,2520.0000,51.0417,70.8333,70.8333,590.4861,9.6155,2.8932,39.6844,114.8131,data\raw\memory\logs\10_elementwise_mul\clk3045_r2_20260419_191116_power.csv
clk3045_r3_20260419_191126,3045,3045,2498.2192,2520.0000,51.2192,75.3425,75.3425,585.6849,9.5373,2.8835,39.1433,112.8684,data\raw\memory\logs\10_elementwise_mul\clk3045_r3_20260419_191126_power.csv
clk2985_r1_20260419_191137,2985,2985,2508.7500,2520.0000,51.0147,73.6765,74.7353,625.3676,10.1835,2.8820,40.7347,117.3969,data\raw\memory\logs\10_elementwise_mul\clk2985_r1_20260419_191137_power.csv
clk2985_r2_20260419_191146,2985,2985,2492.8378,2520.0000,51.2027,75.0676,75.5541,587.6757,9.5697,2.8927,39.5528,114.4151,data\raw\memory\logs\10_elementwise_mul\clk2985_r2_20260419_191146_power.csv
clk2985_r3_20260419_191156,2985,2985,2490.0000,2520.0000,51.1867,71.4400,72.0000,576.7333,9.3915,2.8825,39.3729,113.4938,data\raw\memory\logs\10_elementwise_mul\clk2985_r3_20260419_191156_power.csv
clk2925_r1_20260419_191208,2925,2925,2503.1250,2520.0000,51.0694,76.3889,76.3889,604.0000,9.8355,2.8931,39.2115,113.4448,data\raw\memory\logs\10_elementwise_mul\clk2925_r1_20260419_191208_power.csv
clk2925_r2_20260419_191217,2925,2925,2498.3766,2520.0000,51.2338,70.1299,70.1299,570.2208,9.2855,2.8815,38.0890,109.7517,data\raw\memory\logs\10_elementwise_mul\clk2925_r2_20260419_191217_power.csv
clk2925_r3_20260419_191228,2925,2925,2493.3117,2520.0000,51.4026,71.4286,71.4286,573.8831,9.3451,2.8934,38.2540,110.6846,data\raw\memory\logs\10_elementwise_mul\clk2925_r3_20260419_191228_power.csv
