run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_105634,3105,3105,2520.0000,2520.0000,50.6386,71.2871,71.2871,1487.0644,24.2153,7.8653,36.5308,287.3261,data\raw\memory\logs\12_clamp\clk3105_r1_20260420_105634_power.csv
clk3105_r2_20260420_105656,3105,3105,2502.1818,2520.0000,52.1939,87.8788,87.8788,1810.0303,29.4745,7.8663,48.4048,380.7663,data\raw\memory\logs\12_clamp\clk3105_r2_20260420_105656_power.csv
clk3105_r3_20260420_105716,3105,3105,2501.8712,2520.0000,52.8098,87.0429,87.1166,1832.2393,29.8362,7.8658,43.4457,341.7344,data\raw\memory\logs\12_clamp\clk3105_r3_20260420_105716_power.csv
clk3045_r1_20260420_105738,3045,3045,2499.9398,2520.0000,52.4578,86.7470,86.7470,1807.7771,29.4378,7.8483,42.7440,335.4673,data\raw\memory\logs\12_clamp\clk3045_r1_20260420_105738_power.csv
clk3045_r2_20260420_105759,3045,3045,2500.2035,2520.0000,52.6337,84.8837,84.8837,1756.7907,28.6076,7.8664,42.0840,331.0482,data\raw\memory\logs\12_clamp\clk3045_r2_20260420_105759_power.csv
clk3045_r3_20260420_105820,3045,3045,2500.7647,2520.0000,52.7059,85.2941,85.2941,1756.8294,28.6082,7.8653,47.2349,371.5160,data\raw\memory\logs\12_clamp\clk3045_r3_20260420_105820_power.csv
clk2985_r1_20260420_105844,2985,2985,2498.1176,2520.0000,52.6118,84.7059,84.7059,1768.6294,28.8003,7.8683,41.9364,329.9700,data\raw\memory\logs\12_clamp\clk2985_r1_20260420_105844_power.csv
clk2985_r2_20260420_105905,2985,2985,2497.9360,2520.0000,52.9477,84.8837,84.8837,1747.5174,28.4566,7.8655,42.1770,331.7444,data\raw\memory\logs\12_clamp\clk2985_r2_20260420_105905_power.csv
clk2985_r3_20260420_105927,2985,2985,2497.6786,2520.0000,53.2024,85.1190,85.1190,1773.1667,28.8742,7.8650,42.3909,333.4063,data\raw\memory\logs\12_clamp\clk2985_r3_20260420_105927_power.csv
clk2925_r1_20260420_105950,2925,2925,2502.4688,2520.0000,53.0375,89.3750,89.3750,1866.5812,30.3954,7.8454,53.1202,416.7494,data\raw\memory\logs\12_clamp\clk2925_r1_20260420_105950_power.csv
clk2925_r2_20260420_110011,2925,2925,2498.3929,2520.0000,53.1845,85.1190,85.1190,1768.1012,28.7917,7.8642,49.4412,388.8146,data\raw\memory\logs\12_clamp\clk2925_r2_20260420_110011_power.csv
clk2925_r3_20260420_110032,2925,2925,2500.1497,2520.0000,53.4551,86.8263,86.8263,1772.0479,28.8560,7.8473,42.6866,334.9756,data\raw\memory\logs\12_clamp\clk2925_r3_20260420_110032_power.csv
clk2865_r1_20260420_110055,2865,2865,2500.4348,2520.0000,53.3106,86.9565,86.9565,1817.4845,29.5959,7.8461,52.5018,411.9343,data\raw\memory\logs\12_clamp\clk2865_r1_20260420_110055_power.csv
clk2865_r2_20260420_110115,2865,2865,2502.0732,2520.0000,53.5915,87.4390,87.7439,1808.7805,29.4542,7.8665,43.5020,342.2067,data\raw\memory\logs\12_clamp\clk2865_r2_20260420_110115_power.csv
clk2865_r3_20260420_110134,2865,2865,2499.6296,2520.0000,53.8951,87.2222,87.5185,1814.3148,29.5443,7.8626,43.3938,341.1871,data\raw\memory\logs\12_clamp\clk2865_r3_20260420_110134_power.csv
clk2805_r1_20260420_110156,2805,2805,2501.7516,2520.0000,53.8408,88.5350,88.5350,1876.5541,30.5578,7.8758,44.1310,347.5684,data\raw\memory\logs\12_clamp\clk2805_r1_20260420_110156_power.csv
clk2805_r2_20260420_110215,2805,2805,2501.9444,2520.0000,54.0741,87.6790,87.8765,1814.3889,29.5455,7.8641,43.7551,344.0953,data\raw\memory\logs\12_clamp\clk2805_r2_20260420_110215_power.csv
clk2805_r3_20260420_110234,2805,2805,2501.9444,2520.0000,54.0556,87.5123,87.8272,1814.7407,29.5512,7.8468,43.6341,342.3893,data\raw\memory\logs\12_clamp\clk2805_r3_20260420_110234_power.csv
clk2745_r1_20260420_110256,2745,2745,2504.2453,2520.0000,53.8365,87.7987,88.0000,1859.6101,30.2819,7.8645,44.1313,347.0688,data\raw\memory\logs\12_clamp\clk2745_r1_20260420_110256_power.csv
clk2745_r2_20260420_110315,2745,2745,2499.6296,2520.0000,54.0494,86.3395,86.6358,1804.6296,29.3866,7.8456,43.4347,340.7732,data\raw\memory\logs\12_clamp\clk2745_r2_20260420_110315_power.csv
clk2745_r3_20260420_110334,2745,2745,2502.0000,2520.0000,54.2000,87.6121,87.8061,1801.4242,29.3344,7.8664,43.5349,342.4633,data\raw\memory\logs\12_clamp\clk2745_r3_20260420_110334_power.csv
clk2685_r1_20260420_110356,2685,2685,2506.5938,2520.0000,53.9000,89.3750,89.3750,1846.3875,30.0666,7.8674,43.8046,344.6280,data\raw\memory\logs\12_clamp\clk2685_r1_20260420_110356_power.csv
clk2685_r2_20260420_110415,2685,2685,2500.0909,2520.0000,54.0667,88.4848,88.4848,1785.5697,29.0762,7.8672,43.0732,338.8658,data\raw\memory\logs\12_clamp\clk2685_r2_20260420_110415_power.csv
clk2685_r3_20260420_110435,2685,2685,2502.4699,2520.0000,54.0602,87.3494,87.3494,1777.9699,28.9524,7.8465,43.0038,337.4281,data\raw\memory\logs\12_clamp\clk2685_r3_20260420_110435_power.csv
clk2625_r1_20260420_110457,2625,2625,2499.7222,2520.0000,53.8642,87.0370,87.0370,1826.8148,29.7478,7.8807,43.4613,342.5055,data\raw\memory\logs\12_clamp\clk2625_r1_20260420_110457_power.csv
