run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_114316,3105,3105,2516.4220,2520.0000,49.8991,83.4862,83.4862,699.7339,11.3945,5.1117,41.1769,210.4829,data\raw\memory\logs\13_relu_custom\clk3105_r1_20260420_114316_power.csv
clk3105_r2_20260420_114330,3105,3105,2513.0973,2520.0000,50.0973,80.5310,80.5310,675.8142,11.0050,5.1118,40.6979,208.0395,data\raw\memory\logs\13_relu_custom\clk3105_r2_20260420_114330_power.csv
clk3105_r3_20260420_114343,3105,3105,2516.5487,2520.0000,50.6106,80.5310,80.5310,679.3628,11.0627,5.1132,40.7941,208.5902,data\raw\memory\logs\13_relu_custom\clk3105_r3_20260420_114343_power.csv
clk3045_r1_20260420_114359,3045,3045,2516.4545,2520.0000,50.4000,82.7273,82.7273,692.4273,11.2755,5.1116,40.9329,209.2316,data\raw\memory\logs\13_relu_custom\clk3045_r1_20260420_114359_power.csv
clk3045_r2_20260420_114413,3045,3045,2513.0973,2520.0000,50.6195,80.5310,80.5310,673.7522,10.9714,5.1122,40.7330,208.2362,data\raw\memory\logs\13_relu_custom\clk3045_r2_20260420_114413_power.csv
clk3045_r3_20260420_114427,3045,3045,2497.4336,2520.0000,50.6903,80.5310,80.5310,677.3009,11.0292,5.1125,40.7451,208.3083,data\raw\memory\logs\13_relu_custom\clk3045_r3_20260420_114427_power.csv
clk2985_r1_20260420_114443,2985,2985,2516.4545,2520.0000,50.5364,82.7273,82.7273,694.1818,11.3041,5.1119,40.9165,209.1594,data\raw\memory\logs\13_relu_custom\clk2985_r1_20260420_114443_power.csv
clk2985_r2_20260420_114457,2985,2985,2500.8850,2520.0000,50.7611,80.5310,80.5310,675.8230,11.0051,5.1119,40.7183,208.1500,data\raw\memory\logs\13_relu_custom\clk2985_r2_20260420_114457_power.csv
clk2985_r3_20260420_114510,2985,2985,2500.4867,2520.0000,50.8850,80.5310,80.5310,675.8142,11.0050,5.1120,40.7168,208.1438,data\raw\memory\logs\13_relu_custom\clk2985_r3_20260420_114510_power.csv
clk2925_r1_20260420_114527,2925,2925,2512.8440,2520.0000,50.7982,83.4862,83.4862,700.6147,11.4088,5.1114,41.4673,211.9568,data\raw\memory\logs\13_relu_custom\clk2925_r1_20260420_114527_power.csv
clk2925_r2_20260420_114540,2925,2925,2508.1858,2520.0000,50.8850,80.5310,80.5310,677.3009,11.0292,5.1125,40.6391,207.7689,data\raw\memory\logs\13_relu_custom\clk2925_r2_20260420_114540_power.csv
clk2925_r3_20260420_114554,2925,2925,2507.5221,2520.0000,51.0088,80.5310,80.5310,679.4336,11.0639,5.1120,40.7141,208.1291,data\raw\memory\logs\13_relu_custom\clk2925_r3_20260420_114554_power.csv
clk2865_r1_20260420_114609,2865,2865,2503.7615,2520.0000,50.9266,83.4862,83.4862,697.2018,11.3532,5.1133,41.2702,211.0281,data\raw\memory\logs\13_relu_custom\clk2865_r1_20260420_114609_power.csv
clk2865_r2_20260420_114623,2865,2865,2503.9381,2520.0000,50.9204,80.5310,80.5310,673.1327,10.9613,5.1120,40.9203,209.1836,data\raw\memory\logs\13_relu_custom\clk2865_r2_20260420_114623_power.csv
clk2865_r3_20260420_114637,2865,2865,2497.1053,2520.0000,50.9737,79.8246,79.8246,671.3596,10.9324,5.1113,40.8554,208.8252,data\raw\memory\logs\13_relu_custom\clk2865_r3_20260420_114637_power.csv
clk2805_r1_20260420_114653,2805,2805,2500.4054,2520.0000,50.8108,81.9820,81.9820,686.0901,11.1723,5.1120,41.0186,209.6866,data\raw\memory\logs\13_relu_custom\clk2805_r1_20260420_114653_power.csv
clk2805_r2_20260420_114707,2805,2805,2497.3043,2520.0000,50.7565,79.1304,79.1304,660.9043,10.7622,5.1107,40.3824,206.3842,data\raw\memory\logs\13_relu_custom\clk2805_r2_20260420_114707_power.csv
clk2805_r3_20260420_114721,2805,2805,2492.0323,2520.0000,48.7548,63.0516,63.2258,495.3355,8.0660,5.1124,32.3333,165.3002,data\raw\memory\logs\13_relu_custom\clk2805_r3_20260420_114721_power.csv
clk2745_r1_20260420_114746,2745,2745,2513.0357,2520.0000,50.1429,81.2500,81.2500,685.4286,11.1615,5.1121,40.6022,207.5645,data\raw\memory\logs\13_relu_custom\clk2745_r1_20260420_114746_power.csv
clk2745_r2_20260420_114759,2745,2745,2504.4643,2520.0000,50.7946,81.2500,81.2500,685.4286,11.1615,5.1128,40.6695,207.9367,data\raw\memory\logs\13_relu_custom\clk2745_r2_20260420_114759_power.csv
clk2745_r3_20260420_114813,2745,2745,2504.0789,2520.0000,50.8772,79.8246,79.8246,672.5614,10.9520,5.1125,40.6518,207.8308,data\raw\memory\logs\13_relu_custom\clk2745_r3_20260420_114813_power.csv
clk2685_r1_20260420_114829,2685,2685,2516.4220,2520.0000,50.8624,83.4862,83.4862,702.1651,11.4341,5.1121,41.3546,211.4106,data\raw\memory\logs\13_relu_custom\clk2685_r1_20260420_114829_power.csv
clk2685_r2_20260420_114842,2685,2685,2500.8850,2520.0000,50.8584,80.5310,80.5310,677.3097,11.0293,5.1132,40.7289,208.2542,data\raw\memory\logs\13_relu_custom\clk2685_r2_20260420_114842_power.csv
clk2685_r3_20260420_114856,2685,2685,2500.4867,2520.0000,50.8496,80.5310,80.5310,674.3982,10.9819,5.1137,40.7461,208.3627,data\raw\memory\logs\13_relu_custom\clk2685_r3_20260420_114856_power.csv
