run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_131255,3105,3105,2502.0111,2520.0000,54.7343,91.1439,91.1439,551.1292,8.9746,13.3558,46.6730,623.3564,data\raw\memory\logs\15_gelu_custom\clk3105_r1_20260420_131255_power.csv
clk3105_r2_20260420_131327,3105,3105,2500.9964,2520.0000,54.9395,88.2562,88.2562,534.5872,8.7052,13.4025,45.5933,611.0657,data\raw\memory\logs\15_gelu_custom\clk3105_r2_20260420_131327_power.csv
clk3105_r3_20260420_131400,3105,3105,2501.7582,2520.0000,55.5421,90.4762,90.4762,550.2527,8.9603,13.4026,46.7815,626.9942,data\raw\memory\logs\15_gelu_custom\clk3105_r3_20260420_131400_power.csv
clk3045_r1_20260420_131434,3045,3045,2505.1636,2520.0000,55.3091,89.8182,89.8182,544.1309,8.8606,13.3544,50.5965,675.6847,data\raw\memory\logs\15_gelu_custom\clk3045_r1_20260420_131434_power.csv
clk3045_r2_20260420_131506,3045,3045,2500.7220,2520.0000,55.7798,89.5307,89.5307,540.2491,8.7974,13.4029,46.2791,620.2763,data\raw\memory\logs\15_gelu_custom\clk3045_r2_20260420_131506_power.csv
clk3045_r3_20260420_131539,3045,3045,2500.7527,2520.0000,55.8889,88.5305,88.5305,538.4946,8.7688,13.4028,46.1395,618.3962,data\raw\memory\logs\15_gelu_custom\clk3045_r3_20260420_131539_power.csv
clk2985_r1_20260420_131614,2985,2985,2502.9808,2520.0000,56.1269,93.4615,93.4615,567.9462,9.2484,13.4024,47.9519,642.6733,data\raw\memory\logs\15_gelu_custom\clk2985_r1_20260420_131614_power.csv
clk2985_r2_20260420_131644,2985,2985,2501.8216,2520.0000,56.0892,91.1747,91.3755,551.1784,8.9754,13.3532,47.2896,631.4656,data\raw\memory\logs\15_gelu_custom\clk2985_r2_20260420_131644_power.csv
clk2985_r3_20260420_131715,2985,2985,2501.6292,2520.0000,56.3708,92.6667,92.7341,560.3633,9.1250,13.4020,47.7133,639.4558,data\raw\memory\logs\15_gelu_custom\clk2985_r3_20260420_131715_power.csv
clk2925_r1_20260420_131748,2925,2925,2503.0114,2520.0000,56.0530,93.4242,93.5606,563.4583,9.1754,13.3558,47.5441,634.9880,data\raw\memory\logs\15_gelu_custom\clk2925_r1_20260420_131748_power.csv
clk2925_r2_20260420_131819,2925,2925,2501.7778,2520.0000,56.1815,91.4815,91.4815,553.7667,9.0175,13.4034,47.1351,631.7695,data\raw\memory\logs\15_gelu_custom\clk2925_r2_20260420_131819_power.csv
clk2925_r3_20260420_131850,2925,2925,2501.6854,2520.0000,56.2210,91.7603,91.7603,557.1236,9.0722,13.4037,47.3916,635.2248,data\raw\memory\logs\15_gelu_custom\clk2925_r3_20260420_131850_power.csv
clk2865_r1_20260420_131923,2865,2865,2503.0309,2520.0000,56.1506,91.4093,91.4479,567.8185,9.2464,13.3555,47.9415,640.2842,data\raw\memory\logs\15_gelu_custom\clk2865_r1_20260420_131923_power.csv
clk2865_r2_20260420_131953,2865,2865,2501.6854,2520.0000,56.2547,91.9288,91.9513,554.8277,9.0348,13.4052,47.3485,634.7153,data\raw\memory\logs\15_gelu_custom\clk2865_r2_20260420_131953_power.csv
clk2865_r3_20260420_132024,2865,2865,2503.0608,2520.0000,56.3764,91.8555,92.0152,559.3156,9.1079,13.3556,47.6904,636.9336,data\raw\memory\logs\15_gelu_custom\clk2865_r3_20260420_132024_power.csv
clk2805_r1_20260420_132057,2805,2805,2506.0227,2520.0000,55.6818,93.1439,93.1818,558.9280,9.1016,13.3546,47.3187,631.9215,data\raw\memory\logs\15_gelu_custom\clk2805_r1_20260420_132057_power.csv
clk2805_r2_20260420_132128,2805,2805,2501.5909,2520.0000,56.0000,91.9659,92.0455,559.6136,9.1127,13.3577,47.6092,635.9508,data\raw\memory\logs\15_gelu_custom\clk2805_r2_20260420_132128_power.csv
clk2805_r3_20260420_132159,2805,2805,2502.0000,2520.0000,55.9164,89.0909,89.0909,539.0255,8.7775,13.4017,46.2732,620.1384,data\raw\memory\logs\15_gelu_custom\clk2805_r3_20260420_132159_power.csv
clk2745_r1_20260420_132233,2745,2745,2500.8545,2520.0000,55.3709,89.4545,89.4545,543.1855,8.8452,13.3587,46.2282,617.5510,data\raw\memory\logs\15_gelu_custom\clk2745_r1_20260420_132233_power.csv
clk2745_r2_20260420_132306,2745,2745,2503.1955,2520.0000,55.7180,91.3534,91.3534,553.8271,9.0185,13.3545,47.1572,629.7600,data\raw\memory\logs\15_gelu_custom\clk2745_r2_20260420_132306_power.csv
clk2745_r3_20260420_132337,2745,2745,2501.6477,2520.0000,55.9773,90.9280,90.9848,558.9924,9.1026,13.3570,47.6493,636.4509,data\raw\memory\logs\15_gelu_custom\clk2745_r3_20260420_132337_power.csv
clk2685_r1_20260420_132410,2685,2685,2503.1391,2520.0000,55.7143,92.7218,92.8571,557.3647,9.0761,13.3552,47.3610,632.5167,data\raw\memory\logs\15_gelu_custom\clk2685_r1_20260420_132410_power.csv
clk2685_r2_20260420_132441,2685,2685,2501.4643,2520.0000,55.2679,87.5000,87.5000,530.5536,8.6395,13.4028,49.9107,668.9443,data\raw\memory\logs\15_gelu_custom\clk2685_r2_20260420_132441_power.csv
clk2685_r3_20260420_132515,2685,2685,2501.6729,2520.0000,55.9774,90.6767,90.8271,557.0489,9.0710,13.3563,47.4983,634.4014,data\raw\memory\logs\15_gelu_custom\clk2685_r3_20260420_132515_power.csv
clk2625_r1_20260420_132548,2625,2625,2503.1461,2520.0000,55.5243,91.6592,91.7603,558.1423,9.0888,13.3561,47.0537,628.4535,data\raw\memory\logs\15_gelu_custom\clk2625_r1_20260420_132548_power.csv
clk2625_r2_20260420_132619,2625,2625,2503.0682,2520.0000,55.9432,92.0455,92.0455,560.0265,9.1195,13.4060,47.5055,636.8567,data\raw\memory\logs\15_gelu_custom\clk2625_r2_20260420_132619_power.csv
clk2625_r3_20260420_132649,2625,2625,2501.6038,2520.0000,56.0604,92.8302,92.8302,560.1170,9.1209,13.4040,47.5815,637.7852,data\raw\memory\logs\15_gelu_custom\clk2625_r3_20260420_132649_power.csv
clk2565_r1_20260420_132722,2565,2565,2504.4808,2520.0000,55.7577,93.4615,93.4615,570.2231,9.2855,13.4032,48.0009,643.3655,data\raw\memory\logs\15_gelu_custom\clk2565_r1_20260420_132722_power.csv
clk2565_r2_20260420_132752,2565,2565,2503.1250,2520.0000,56.0947,90.9659,91.0227,559.3409,9.1083,13.3683,47.7038,637.7174,data\raw\memory\logs\15_gelu_custom\clk2565_r2_20260420_132752_power.csv
clk2565_r3_20260420_132823,2565,2565,2501.5909,2520.0000,56.0606,91.2689,91.5303,557.3674,9.0762,13.3556,47.6766,636.7477,data\raw\memory\logs\15_gelu_custom\clk2565_r3_20260420_132823_power.csv
