timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/19 23:45:47.475, 31.42, 2520, 2520, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:47.586, 31.42, 2520, 2520, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:47.696, 31.42, 2520, 2520, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:47.806, 1.20, 2130, 2130, 8000, 38, 0, 0, 0, 6141, P0, 4, 8
2026/04/19 23:45:48.435, 10.23, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:48.546, 10.23, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:48.654, 10.23, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:48.765, 1.20, 2130, 2130, 8000, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:49.346, 10.28, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:49.455, 10.28, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:49.564, 10.28, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:49.673, 1.20, 2130, 2130, 8000, 36, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:50.331, 10.20, 2130, 2130, 7001, 37, 0, 0, 0, 6141, P3, 4, 8
2026/04/19 23:45:50.438, 10.20, 2130, 2130, 7001, 37, 0, 0, 243, 6141, P3, 4, 8
2026/04/19 23:45:50.549, 10.20, 2130, 2130, 7001, 37, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:45:50.659, 10.20, 2130, 2130, 7001, 37, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:45:50.769, 10.20, 2130, 2130, 7001, 37, 0, 0, 733, 6141, P3, 4, 8
2026/04/19 23:45:50.879, 28.37, 2535, 2535, 8001, 41, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:45:50.990, 28.37, 2535, 2535, 8001, 41, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.099, 28.37, 2535, 2535, 8001, 41, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.210, 28.37, 2535, 2535, 8001, 41, 0, 0, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.320, 38.16, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.429, 38.16, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.541, 38.16, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.649, 38.16, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.760, 38.16, 2520, 2520, 8001, 42, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.870, 47.96, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:51.981, 47.96, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.090, 47.96, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.200, 47.96, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.309, 48.02, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.420, 48.02, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.530, 48.02, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.642, 48.02, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.751, 48.02, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.863, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:52.972, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.082, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.191, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.302, 48.07, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.413, 48.07, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.523, 48.07, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.631, 48.07, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.741, 48.07, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.852, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:53.961, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:54.070, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
2026/04/19 23:45:54.183, 48.05, 2520, 2520, 8001, 43, 100, 100, 733, 6141, P0, 4, 8
