timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:16:41.180, 35.58, 2520, 2520, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:41.290, 35.58, 2520, 2520, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:41.399, 35.58, 2520, 2520, 7001, 45, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:16:41.507, 21.30, 2520, 2520, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:41.617, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:16:42.232, 12.44, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:42.341, 12.44, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:42.452, 12.44, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:42.563, 12.44, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:42.675, 1.20, 2130, 2130, 8000, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:16:43.254, 12.43, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:43.365, 12.43, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:43.474, 12.43, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:43.583, 12.43, 2130, 2130, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:16:43.694, 12.43, 2130, 2130, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:16:43.805, 12.96, 2130, 2130, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:16:43.916, 12.96, 2130, 2130, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:16:44.027, 12.96, 2130, 2130, 7001, 43, 0, 0, 733, 6141, P3, 4, 8
