timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:40:24.932, 37.82, 2520, 2520, 7001, 48, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:40:25.042, 37.82, 2520, 2520, 7001, 48, 100, 100, 0, 6141, P3, 4, 8
2026/04/20 00:40:25.152, 23.49, 2520, 2520, 7001, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:25.261, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:40:25.927, 10.52, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:26.038, 10.52, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:26.149, 10.52, 2130, 2130, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:26.259, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:26.872, 11.18, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:26.983, 11.18, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:27.094, 11.18, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:27.205, 1.20, 2130, 2130, 8000, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:40:27.757, 12.46, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:40:27.867, 12.46, 2130, 2130, 7001, 45, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 00:40:27.977, 12.46, 2130, 2130, 7001, 45, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:40:28.087, 12.46, 2130, 2130, 7001, 45, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:40:28.201, 12.46, 2130, 2130, 7001, 45, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:40:28.306, 29.27, 2520, 2520, 8001, 49, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:40:28.416, 29.27, 2520, 2520, 8001, 49, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:40:28.526, 29.27, 2520, 2520, 8001, 49, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:40:28.636, 29.27, 2520, 2520, 8001, 49, 0, 0, 733, 6141, P0, 4, 8
2026/04/20 00:40:28.748, 39.26, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
