timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 16:25:03.428, 18.46, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:03.539, 18.46, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:03.647, 18.46, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:03.757, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 16:25:04.384, 12.68, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:04.493, 12.68, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:04.603, 12.68, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:04.713, 12.68, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:04.824, 1.20, 2130, 1200, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:05.418, 10.41, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:05.526, 10.41, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:05.635, 10.41, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:05.745, 1.20, 2130, 1170, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:06.389, 10.25, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:06.499, 10.25, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:06.609, 10.25, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:06.719, 1.20, 2130, 2130, 7000, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.410, 12.35, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.517, 12.35, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.628, 12.35, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.738, 12.35, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.848, 12.35, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:25:07.955, 12.85, 2130, 2130, 7001, 44, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 16:25:08.064, 12.85, 2130, 2130, 7001, 44, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 16:25:08.174, 12.85, 2130, 2130, 7001, 44, 0, 0, 21, 6141, P3, 4, 8
2026/04/20 16:25:08.281, 12.85, 2130, 2130, 7001, 44, 0, 0, 1299, 6141, P3, 4, 8
2026/04/20 16:25:08.390, 13.40, 2130, 2130, 7001, 45, 35, 24, 2013, 6141, P3, 4, 8
2026/04/20 16:25:08.497, 13.40, 2130, 2130, 7001, 45, 35, 24, 2013, 6141, P3, 4, 8
2026/04/20 16:25:08.607, 13.40, 2130, 2130, 7001, 45, 35, 24, 2013, 6141, P3, 4, 8
2026/04/20 16:25:08.719, 13.40, 2130, 2130, 7001, 45, 35, 24, 2013, 6141, P3, 4, 8
2026/04/20 16:25:08.828, 13.40, 2130, 2130, 7001, 45, 35, 24, 2013, 6141, P3, 4, 8
2026/04/20 16:25:08.936, 26.67, 2520, 2520, 8001, 49, 35, 24, 2013, 6141, P0, 4, 8
2026/04/20 16:25:09.044, 26.67, 2520, 2520, 8001, 49, 35, 24, 2013, 6141, P0, 4, 8
