timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 17:12:32.718, 33.15, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:32.827, 33.15, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:32.937, 33.15, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:33.047, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:33.675, 10.87, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:33.786, 10.87, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:33.896, 10.87, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:34.005, 1.20, 2130, 2130, 7000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:34.554, 11.18, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:34.664, 11.18, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:34.774, 11.18, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:34.884, 1.20, 2130, 2130, 7000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 17:12:35.463, 10.65, 2130, 2130, 7001, 44, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 17:12:35.571, 10.65, 2130, 2130, 7001, 44, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:12:35.681, 10.65, 2130, 2130, 7001, 44, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:12:35.792, 10.65, 2130, 2130, 7001, 44, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:12:35.901, 10.65, 2130, 2130, 7001, 44, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 17:12:36.011, 29.03, 2520, 2520, 8001, 48, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.122, 29.03, 2520, 2520, 8001, 48, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.231, 29.03, 2520, 2520, 8001, 48, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.340, 29.03, 2520, 2520, 8001, 48, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.449, 37.61, 2520, 2520, 8001, 49, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.558, 37.61, 2520, 2520, 8001, 49, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.667, 37.61, 2520, 2520, 8001, 49, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.776, 37.61, 2520, 2520, 8001, 49, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.887, 37.61, 2520, 2520, 8001, 49, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:36.997, 46.21, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.107, 46.21, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.217, 46.21, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.327, 46.21, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.436, 46.25, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.545, 46.25, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.655, 46.25, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.764, 46.25, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.874, 46.25, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:37.982, 46.29, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.092, 46.29, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.201, 46.29, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.310, 46.29, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.421, 46.30, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.531, 46.30, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.642, 46.30, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.753, 46.30, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
2026/04/20 17:12:38.862, 46.30, 2520, 2520, 8001, 50, 100, 100, 773, 6141, P0, 4, 8
