timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 18:41:18.300, 22.25, 2505, 2505, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:18.409, 22.25, 2505, 2505, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:18.518, 22.25, 2505, 2505, 7001, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:18.627, 1.20, 2130, 2130, 8000, 50, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 18:41:19.263, 12.99, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:19.371, 12.99, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:19.481, 12.99, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:19.589, 1.20, 2130, 2130, 8000, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:20.275, 10.28, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:20.383, 10.28, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:20.491, 10.28, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:20.600, 312.13, 2130, 2130, 8000, 50, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:21.287, 312.13, 2130, 2130, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:41:21.396, 312.13, 2130, 2130, 7001, 48, 0, 0, 181, 6141, P3, 4, 8
2026/04/20 18:41:21.505, 312.13, 2130, 2130, 7001, 48, 0, 0, 593, 6141, P3, 4, 8
2026/04/20 18:41:21.614, 312.13, 2130, 2130, 7001, 48, 0, 0, 593, 6141, P3, 4, 8
2026/04/20 18:41:21.722, 312.13, 2130, 2130, 7001, 48, 0, 0, 593, 6141, P3, 4, 8
2026/04/20 18:41:21.832, 26.76, 2520, 2520, 8001, 51, 0, 0, 593, 6141, P0, 4, 8
2026/04/20 18:41:21.942, 26.76, 2520, 2520, 8001, 51, 0, 0, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.050, 26.76, 2520, 2520, 8001, 51, 0, 0, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.159, 26.76, 2520, 2520, 8001, 51, 0, 0, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.269, 39.49, 2505, 2505, 8001, 53, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.379, 39.49, 2505, 2505, 8001, 53, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.488, 39.49, 2505, 2505, 8001, 53, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.597, 39.49, 2505, 2505, 8001, 53, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.706, 39.49, 2505, 2505, 8001, 53, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.818, 48.92, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:22.924, 48.92, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.033, 48.92, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.143, 48.92, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.253, 49.98, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.359, 49.98, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.468, 49.98, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.580, 49.98, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.688, 49.98, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.799, 49.99, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:23.909, 49.99, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.018, 49.99, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.126, 49.99, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.234, 50.03, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.343, 50.03, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.453, 50.03, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
2026/04/20 18:41:24.562, 50.03, 2505, 2505, 8001, 54, 100, 100, 593, 6141, P0, 4, 8
