timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 22:04:01.472, 18.28, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:01.580, 18.28, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:01.689, 18.28, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:01.799, 18.28, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:01.907, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 22:04:02.622, 12.69, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:02.731, 12.69, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:02.840, 12.69, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:02.949, 1.20, 2130, 2130, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:03.569, 10.16, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:03.679, 10.16, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:03.789, 10.16, 2130, 2130, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:03.900, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:04.507, 12.61, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:04.615, 12.61, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:04.724, 12.61, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:04.832, 12.61, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:04.950, 1.20, 2130, 1890, 7000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:05.631, 12.31, 2130, 2130, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 22:04:05.744, 12.31, 2130, 2130, 7001, 44, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 22:04:05.848, 12.31, 2130, 2130, 7001, 44, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 22:04:05.961, 12.31, 2130, 2130, 7001, 44, 0, 0, 573, 6141, P3, 4, 8
2026/04/20 22:04:06.071, 12.31, 2130, 2130, 7001, 44, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 22:04:06.175, 13.37, 2130, 2130, 7001, 46, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 22:04:06.283, 13.37, 2130, 2130, 7001, 46, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 22:04:06.399, 13.37, 2130, 2130, 7001, 46, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 22:04:06.502, 13.37, 2130, 2130, 7001, 46, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 22:04:06.613, 29.00, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:06.721, 29.00, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:06.832, 29.00, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:06.942, 29.00, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.052, 29.00, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.160, 44.19, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.265, 44.19, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.375, 44.19, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.484, 44.19, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.595, 49.76, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.704, 49.76, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.812, 49.76, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:07.926, 49.76, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:08.036, 49.76, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:08.147, 49.83, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 22:04:08.254, 49.83, 2520, 2520, 8001, 50, 100, 100, 1053, 6141, P0, 4, 8
