timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:13:58.613, 21.15, 705, 705, 8001, 39, 100, 95, 0, 6141, P0, 4, 8
2026/04/20 00:13:58.723, 21.15, 705, 705, 8001, 39, 100, 95, 0, 6141, P0, 4, 8
2026/04/20 00:13:58.831, 12.57, 705, 705, 8001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:13:58.941, 12.57, 705, 705, 8001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:13:59.050, 1.20, 2130, 2130, 8000, 39, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 00:13:59.666, 9.50, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:13:59.776, 9.50, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:13:59.887, 9.50, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:13:59.997, 1.20, 2130, 2130, 8000, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:14:00.609, 9.04, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:14:00.720, 9.04, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:14:00.830, 9.04, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:14:00.940, 9.04, 705, 705, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:14:01.050, 9.04, 705, 705, 7001, 39, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 00:14:01.159, 7.70, 705, 705, 7001, 39, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:14:01.269, 7.70, 705, 705, 7001, 39, 0, 0, 733, 6141, P3, 4, 8
