timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 00:51:39.764, 10.03, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:39.874, 10.03, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:39.983, 10.03, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:40.095, 10.03, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:40.206, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:40.771, 10.15, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:40.881, 10.15, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:40.991, 10.15, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:41.101, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:41.734, 10.15, 1845, 1845, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 00:51:41.844, 10.15, 1845, 1845, 7001, 44, 0, 0, 563, 6141, P3, 4, 8
2026/04/20 00:51:41.953, 10.15, 1845, 1845, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:51:42.065, 10.15, 1845, 1845, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:51:42.175, 10.15, 1845, 1845, 7001, 44, 0, 0, 733, 6141, P3, 4, 8
2026/04/20 00:51:42.284, 23.70, 1845, 1845, 8001, 47, 0, 0, 733, 6141, P0, 4, 8
