timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 16:49:52.841, 20.04, 1785, 1785, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:52.950, 20.04, 1785, 1785, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:53.059, 20.04, 1785, 1785, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:53.169, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 16:49:53.863, 12.29, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:53.973, 12.29, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:54.082, 12.29, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:54.190, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:54.854, 12.12, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:54.962, 12.12, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:55.074, 12.12, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:55.183, 1.20, 2130, 2130, 8000, 46, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 16:49:55.736, 12.00, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 16:49:55.846, 12.00, 1785, 1785, 7001, 45, 0, 0, 19, 6141, P3, 4, 8
2026/04/20 16:49:55.956, 12.00, 1785, 1785, 7001, 45, 0, 0, 2013, 6141, P3, 4, 8
2026/04/20 16:49:56.067, 12.00, 1785, 1785, 7001, 45, 0, 0, 2013, 6141, P3, 4, 8
2026/04/20 16:49:56.177, 12.00, 1785, 1785, 7001, 45, 0, 0, 2013, 6141, P3, 4, 8
2026/04/20 16:49:56.284, 20.43, 1785, 1785, 8001, 47, 0, 0, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.394, 20.43, 1785, 1785, 8001, 47, 0, 0, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.506, 20.43, 1785, 1785, 8001, 47, 0, 0, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.615, 20.43, 1785, 1785, 8001, 47, 0, 0, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.727, 26.98, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.836, 26.98, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:56.945, 26.98, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.057, 26.98, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.168, 26.98, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.279, 33.53, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.390, 33.53, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.505, 33.53, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.611, 33.53, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.723, 33.56, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.831, 33.56, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:57.940, 33.56, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:58.050, 33.56, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:58.160, 33.56, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
2026/04/20 16:49:58.271, 33.55, 1785, 1785, 8001, 48, 100, 100, 2013, 6141, P0, 4, 8
