timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 18:34:05.433, 17.36, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:05.543, 8.53, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:05.652, 8.53, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:05.762, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 18:34:06.408, 9.99, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:06.518, 9.99, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:06.628, 9.99, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:06.738, 1.20, 2130, 2130, 8000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:07.401, 9.90, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:07.510, 9.90, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:07.622, 9.90, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:07.734, 1.20, 2130, 825, 7000, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:08.379, 9.48, 825, 825, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 18:34:08.489, 9.48, 825, 825, 7001, 42, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 18:34:08.598, 9.48, 825, 825, 7001, 42, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 18:34:08.709, 9.48, 825, 825, 7001, 42, 0, 0, 773, 6141, P3, 4, 8
2026/04/20 18:34:08.821, 15.63, 825, 825, 8001, 43, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 18:34:08.930, 15.63, 825, 825, 8001, 43, 0, 0, 773, 6141, P0, 4, 8
2026/04/20 18:34:09.042, 15.63, 825, 825, 8001, 43, 0, 0, 773, 6141, P0, 4, 8
