timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/20 23:22:39.167, 17.79, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:39.277, 12.55, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:39.386, 12.55, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:39.496, 12.55, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:39.606, 1.20, 2130, 2130, 8000, 49, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 23:22:40.247, 12.80, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:40.357, 12.80, 1965, 1965, 7001, 49, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:40.468, 12.80, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:40.577, 12.80, 1965, 1965, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:40.687, 1.20, 2130, 2130, 8000, 48, 0, 0, 0, 6141, P0, 4, 8
2026/04/20 23:22:41.361, 12.69, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:41.472, 12.69, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:41.582, 12.69, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:41.691, 12.69, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:41.803, 1.20, 2130, 1200, 7000, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:42.369, 10.34, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:42.480, 10.34, 1965, 1965, 7001, 48, 0, 0, 2, 6141, P3, 4, 8
2026/04/20 23:22:42.589, 10.34, 1965, 1965, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:42.700, 10.34, 1965, 1965, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:42.807, 10.34, 1965, 1965, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:42.914, 11.91, 1965, 1965, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:43.054, 11.91, 1965, 1965, 7001, 48, 0, 0, 8, 6141, P3, 4, 8
2026/04/20 23:22:43.167, 11.91, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:43.278, 11.91, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:43.389, 1.20, 2130, 2130, 8000, 47, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:44.063, 12.67, 1965, 1965, 7001, 48, 0, 0, 0, 6141, P3, 4, 8
2026/04/20 23:22:44.176, 12.67, 1965, 1965, 7001, 48, 0, 0, 9, 6141, P3, 4, 8
2026/04/20 23:22:44.285, 12.67, 1965, 1965, 7001, 48, 0, 0, 21, 6141, P3, 4, 8
2026/04/20 23:22:44.397, 12.67, 1965, 1965, 7001, 48, 0, 0, 241, 6141, P3, 4, 8
2026/04/20 23:22:44.504, 12.28, 1965, 1965, 7001, 48, 0, 0, 573, 6141, P3, 4, 8
2026/04/20 23:22:44.611, 12.28, 1965, 1965, 7001, 48, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:22:44.727, 12.28, 1965, 1965, 7001, 48, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:22:44.831, 12.28, 1965, 1965, 7001, 48, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:22:44.940, 12.28, 1965, 1965, 7001, 48, 0, 0, 1053, 6141, P3, 4, 8
2026/04/20 23:22:45.051, 21.27, 1965, 1965, 8001, 51, 100, 100, 1060, 6141, P0, 4, 8
2026/04/20 23:22:45.158, 21.27, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.269, 21.27, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.380, 21.27, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.490, 33.45, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.598, 33.45, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.709, 33.45, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:45.819, 33.45, 1965, 1965, 8001, 51, 100, 100, 1054, 6141, P0, 4, 8
2026/04/20 23:22:45.930, 33.45, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:46.039, 37.17, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
2026/04/20 23:22:46.151, 37.17, 1965, 1965, 8001, 51, 100, 100, 1053, 6141, P0, 4, 8
