regime,target_ai,true_ai,achieved_ai,golden_cap_w,golden_runtime_s,golden_power_w,golden_energy_j,golden_deg_pct,golden_energy_saved_pct,achieved_bw_gbs,achieved_tflops,baseline_cap_w,baseline_runtime_s,baseline_power_w,baseline_energy_j,is_saturated
DRAM,0.0,0.0,0.0,120,29.967107421875,142.47498780487805,4269.563264479111,0.04583946835605701,24.58301928203179,476.3151390088657,0.0,250,29.953376953125,189.00292245174398,5661.27578143934,False
DRAM,10.0,10.0,10.0,150,30.552671875,149.9204549071618,4580.470466129248,3.356151504055438,35.283427460951785,455.9928579536057,4.559928579536058,250,29.56057421875,239.4317350720659,7077.73957492189,False
DRAM,20.0,20.0,20.0,170,15.1981240234375,170.00400399467378,2583.7419371920164,1.610655340610867,29.817043731667436,461.13012858957217,9.222602571791443,250,14.95721484375,246.13124289580512,3681.437879751773,False
DRAM,30.0,30.0,30.0,190,9.5723134765625,184.22927272727273,1763.5003501045812,0.6660853217319129,22.41320802045482,463.54918260297615,13.906475478089284,250,9.5089755859375,239.03088675213672,2272.9388664110597,False
DRAM,40.0,40.0,40.0,200,7.89880615234375,200.5123346153846,1583.8080622808084,1.839657367348635,15.691994565768235,456.95299666330163,18.278119866532066,250,7.7561201171875,242.20840417209902,1878.597476151098,False
DRAM,50.0,50.0,50.0,210,8.17023681640625,203.66235155279503,1663.9696427725187,4.866792282196863,11.553708109956785,441.1807618513429,22.059038092567146,250,7.79106201171875,241.47329480519477,1881.3334140013155,False
DRAM,60.0,60.0,60.0,230,6.32888037109375,226.3522827476038,1432.556519233572,-0.34755025697422726,6.198263326373171,454.2578726706372,27.255472360238233,250,6.350953125,240.4705955414013,1527.2174802242737,False
DRAM,70.0,70.0,70.0,250,5.5958515625,235.02085714285718,1315.1418306629466,0.0,0.0,449.67489513246,31.4772426592722,250,5.5958515625,235.02085714285718,1315.1418306629466,True
DRAM,80.0,80.0,80.0,250,5.7896484375,230.67607180385292,1335.533358687815,0.0,0.0,439.1666724983247,35.13333379986598,250,5.7896484375,230.67607180385292,1335.533358687815,True
DRAM,90.0,90.0,90.00000000000003,250,5.7172958984375,237.68661061946904,1358.9246840082014,0.0,0.0,400.87166451440123,36.07844980629612,250,5.7172958984375,237.68661061946904,1358.9246840082014,True
