regime,target_ai,kernel_fma,true_ai,achieved_ai,power_cap_w,runtime_s,avg_power_w,peak_power_w,avg_clock_mhz,avg_temp_c,total_energy_j,perf_deg_pct,energy_saved_j,energy_saved_pct,achieved_bw_gbs,achieved_tflops
L2,0.0,0,0.0,0.0,250,72.09590625,246.72400000000005,250.302,2452.6027397260273,81.56164383561644,17787.790373625005,0.0,0.0,0.0,2730.5177944624284,0.0
L2,0.0,0,0.0,0.0,240,73.181125,237.54149999999998,240.362,2407.2972972972975,83.77027027027027,17383.554204187498,1.505243232863851,404.23616943750676,2.2725485343974556,2690.026354794628,0.0
L2,0.0,0,0.0,0.0,230,73.842375,227.974027027027,236.385,2378.108108108108,82.85135135135135,16834.143593989866,2.422424296802572,953.646779635139,5.361243637372558,2665.937477275345,0.0
L2,0.0,0,0.0,0.0,220,74.798734375,218.11961333333332,227.026,2344.2,80.93333333333334,16315.071019697707,3.7489342538086223,1472.7193539272976,8.279383346629633,2631.8514152468906,0.0
L2,0.0,0,0.0,0.0,210,75.5061875,208.50957894736842,218.727,2303.4868421052633,79.90789473684211,15743.763363546052,4.730200960612785,2044.027010078953,11.491180001253845,2607.1923565670695,0.0
L2,0.0,0,0.0,0.0,200,76.5833125,198.8258181818182,207.631,2276.2987012987014,78.1948051948052,15226.739766886365,6.22421782790199,2561.0506067386395,14.397800698933686,2570.5228527888503,0.0
L2,0.0,0,0.0,0.0,190,77.7949375,188.45389743589743,196.561,2210.769230769231,76.92307692307692,14660.759172657052,7.904791750918605,3127.031200967953,17.579649497132507,2530.487988675613,0.0
L2,0.0,0,0.0,0.0,180,79.322140625,178.5407875,185.257,2156.625,75.3375,14162.237453373242,10.023085568745449,3625.5529202517628,20.382255716413106,2481.768058355649,0.0
L2,0.0,0,0.0,0.0,170,80.85934375,168.66137037037038,175.249,2101.1111111111113,73.95061728395062,13637.847724123842,12.155249799637534,4149.942649501163,23.33028758678495,2434.587591165307,0.0
L2,0.0,0,0.0,0.0,160,82.1572265625,158.7662771084337,166.1,2045.9638554216867,72.39759036144578,13043.796998882246,13.95546687160203,4743.9933747427585,26.66994199446467,2396.127074393901,0.0
L2,0.0,0,0.0,0.0,150,84.1411328125,149.1520705882353,158.12,1986.3529411764705,70.96470588235294,12549.82418062408,16.707226788622286,5237.966193000924,29.446975048500473,2339.630432147862,0.0
L2,0.0,0,0.0,0.0,140,89.9835703125,139.46626666666666,148.019,1666.1666666666667,69.95555555555555,12549.672612821874,24.810928931904506,5238.11776080313,29.44782713748411,2187.72331704395,0.0
L2,0.0,0,0.0,0.0,130,100.9788828125,129.749099009901,139.624,1438.3663366336634,68.46534653465346,13101.919063948251,40.061881547539336,4685.871309676753,26.343189408307673,1949.5081490359998,0.0
L2,0.0,0,0.0,0.0,120,110.9369140625,119.82909909909905,128.076,1296.8918918918919,66.98198198198199,13293.470468943548,53.874082222941745,4494.319904681457,25.266319257649045,1774.514430900907,0.0
L2,0.0,0,0.0,0.0,110,129.63946875,109.87272307692308,119.858,1103.076923076923,65.53076923076924,14243.841449808173,79.81529811202005,3543.9489238168317,19.923491616314813,1518.5125087418257,0.0
L2,0.0,0,0.0,0.0,100,147.98328125,99.83133783783784,103.83,952.8040540540541,64.08108108108108,14773.368944820524,105.25892376864326,3014.4214288044805,16.946576081052424,1330.2796995759952,0.0
L2,10.0,40,10.0,9.999999999999998,250,81.3232421875,247.3593780487805,250.395,2185.9756097560976,82.6219512195122,20116.06660841035,0.0,0.0,0.0,1762.6490081016607,17.626490081016605
L2,10.0,40,10.0,10.0,240,83.0939453125,238.01926190476192,246.222,2137.5,84.52380952380952,19777.9595320359,2.1773641549084344,338.1070763744501,1.6807812528970776,1725.0875697178433,17.250875697178433
L2,10.0,40,10.0,10.0,230,84.2700859375,228.01615294117641,236.666,2102.823529411765,83.23529411764706,19214.94080349108,3.623618132692874,901.1258049192693,4.479632238553617,1701.0108697850526,17.010108697850526
L2,10.0,40,10.0,10.0,220,85.5754140625,218.0681279069768,226.657,2073.139534883721,81.88372093023256,18661.27033947375,5.228728910237179,1454.7962689365995,7.232011591810707,1675.064429985889,16.75064429985889
L2,10.0,40,10.0,9.999999999999998,210,86.7451796875,208.21167816091952,214.648,2043.103448275862,80.183908045977,18061.35943510488,6.667143800660469,2054.707173305469,10.214259145704032,1652.476053353129,16.52476053353129
L2,10.0,40,10.0,10.0,200,88.4029765625,198.76240449438203,206.402,2003.258426966292,78.91011235955057,17571.188186023,8.70567157009907,2544.8784223873517,12.650974327771216,1621.4876212461581,16.214876212461583
L2,10.0,40,10.0,10.0,190,92.4204453125,189.31133333333335,199.681,1904.6774193548388,77.18279569892474,17496.237729369794,13.64579525667966,2619.828879040557,13.023564348038247,1551.0023966311758,15.510023966311758
L2,10.0,40,10.0,10.0,180,98.22740625,179.15661616161617,187.481,1771.6666666666667,75.92929292929293,17598.08971808239,20.78638727108977,2517.976890327962,12.517242755973069,1459.3109769444613,14.593109769444615
L2,10.0,40,10.0,9.999999999999998,170,105.44675,169.5002735849056,178.548,1653.1132075471698,74.91509433962264,17873.252973639144,29.663731011708183,2242.813634771206,11.149364726370042,1359.400191825808,13.594001918258078
L2,10.0,40,10.0,10.0,160,112.481609375,159.75,185.784,1542.6106194690265,73.94690265486726,17968.93709765625,38.314221555088565,2147.129510754101,10.673704519632109,1274.38016733487,12.7438016733487
L2,10.0,40,10.0,9.999999999999998,150,123.754765625,149.5673064516129,155.967,1386.0483870967741,72.03225806451613,18509.666955081906,52.17637946562594,1606.3996533284444,7.9856548727912,1158.2934318001785,11.582934318001783
L2,10.0,40,10.0,10.0,140,136.836125,139.730102189781,152.43,1252.6642335766423,70.97080291970804,19120.12572950365,68.26201380966678,995.940878906702,4.950972266567798,1047.562054080441,10.47562054080441
L2,10.0,40,10.0,10.000000000000002,130,150.234765625,129.81945695364237,138.563,1141.390728476821,69.02649006622516,19503.39568899524,84.73779645752026,612.6709194151117,3.0456795125094653,954.1355596427583,9.541355596427584
L2,10.0,40,10.0,9.999999999999998,120,165.86165625,119.82136144578313,128.883,1020.3614457831326,67.97590361445783,19873.769463527486,103.95357069948967,242.2971448828648,1.204495638235571,864.240327863047,8.64240327863047
L2,10.0,40,10.0,10.0,110,191.262875,109.84694270833332,117.34,882.109375,66.19791666666667,21009.642072356117,135.18845271690182,-893.5754639457664,-4.442098355213093,749.4623939821463,7.494623939821463
L2,10.0,40,10.0,10.0,100,218.052953125,99.71729223744292,107.658,769.7260273972603,64.99086757990868,21743.650050003067,168.1311606124287,-1627.5834415927166,-8.090962678122365,657.3831270023438,6.5738312700234385
L2,20.0,80,20.0,20.0,250,83.707,247.1642261904762,250.151,2196.4285714285716,83.26190476190476,20689.37588172619,0.0,0.0,0.0,1262.5929834471192,25.251859668942384
L2,20.0,80,20.0,19.999999999999996,240,85.4416015625,237.93383720930234,246.281,2154.2441860465115,84.74418604651163,20329.448117073945,2.072229995699293,359.92776465224597,1.739674346436669,1236.9603206477584,24.739206412955163
L2,20.0,80,20.0,20.000000000000004,230,86.7935859375,228.32477011494254,233.046,2117.9310344827586,83.65517241379311,19817.125556631196,3.6873689625718242,872.2503250949958,4.2159334823889365,1217.6921799441927,24.353843598883856
L2,20.0,80,20.0,20.0,220,88.2877265625,218.2578764044944,226.18,2082.4719101123596,82.82022471910112,19269.49171211192,5.472333929659423,1419.88416961427,6.862866128641304,1197.0845210357777,23.941690420715553
L2,20.0,80,20.0,20.000000000000004,210,89.644015625,208.4614111111111,215.093,2045.3333333333333,80.88888888888889,18687.31799485399,7.092615462267204,2002.0578868722005,9.676743746729016,1178.9729646597143,23.57945929319429
L2,20.0,80,20.0,19.999999999999996,200,91.1718125,198.6851630434783,205.905,2014.5652173913043,79.90217391304348,18114.486431531932,8.917787640221263,2574.8894501942596,12.445467011252477,1159.2165162385909,23.184330324771814
L2,20.0,80,20.0,20.0,190,94.2218984375,189.04587368421053,196.746,1941.7894736842106,77.91578947368421,17812.26111030214,12.561552125270303,2877.1147714240506,13.906242449610337,1121.6911632863532,22.433823265727064
L2,20.0,80,20.0,20.0,180,99.965296875,179.23923999999997,189.611,1827.0,76.72,17917.703838249374,19.422864127253405,2771.6720434768176,13.396595718118718,1057.245605918259,21.144912118365177
L2,20.0,80,20.0,20.0,170,107.1249140625,169.3412314814815,177.118,1692.7777777777778,74.93518518518519,18140.664869691624,27.97605225668105,2548.711012034568,12.318936185434701,986.5853502925232,19.731707005850463
L2,20.0,80,20.0,20.0,160,114.389453125,159.5858782608696,168.956,1584.6521739130435,73.94782608695652,18254.9413407337,36.654584592686405,2434.43454099249,11.766592452615713,923.9302049107336,18.47860409821467
L2,20.0,80,20.0,20.0,150,123.93184375,149.57258870967743,158.149,1459.5967741935483,72.03225806451613,18536.806693250757,48.0543368535487,2152.569188475434,10.404224858115137,852.7902730036484,17.055805460072968
