second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-19 09:50:25,181.98,182.01,810,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
2,2.0,2026-09-19 09:50:26,170.64,352.68,795,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
3,3.0,2026-09-19 09:50:27,170.51,523.24,795,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
4,4.0,2026-09-19 09:50:28,170.42,693.69,780,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
5,5.0,2026-09-19 09:50:29,170.32,864.05,765,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
6,6.0,2026-09-19 09:50:30,170.28,1034.37,765,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
7,7.0,2026-09-19 09:50:31,170.22,1204.64,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
8,8.0,2026-09-19 09:50:32,170.17,1374.84,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
9,9.0,2026-09-19 09:50:33,170.12,1545.0,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
10,10.0,2026-09-19 09:50:34,170.07,1715.11,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
11,11.0,2026-09-19 09:50:35,170.03,1885.19,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
12,12.0,2026-09-19 09:50:36,169.97,2055.19,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
13,13.0,2026-09-19 09:50:37,169.96,2225.19,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
14,14.0,2026-09-19 09:50:38,169.96,2395.18,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
15,15.0,2026-09-19 09:50:39,169.99,2565.21,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
16,16.0,2026-09-19 09:50:40,169.96,2735.21,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
17,17.0,2026-09-19 09:50:41,169.95,2905.2,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
18,18.0,2026-09-19 09:50:42,169.97,3075.22,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
19,19.0,2026-09-19 09:50:43,169.99,3245.24,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
20,20.0,2026-09-19 09:50:44,169.97,3415.24,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
21,21.0,2026-09-19 09:50:45,169.96,3585.23,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
22,22.0,2026-09-19 09:50:46,169.98,3755.24,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
23,23.0,2026-09-19 09:50:47,169.97,3925.24,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
24,24.01,2026-09-19 09:50:48,170.0,4095.27,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
25,25.01,2026-09-19 09:50:49,169.96,4265.25,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
26,26.01,2026-09-19 09:50:50,169.98,4435.28,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
27,27.01,2026-09-19 09:50:51,170.03,4605.36,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
28,28.01,2026-09-19 09:50:52,169.99,4775.38,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
29,29.01,2026-09-19 09:50:53,169.98,4945.41,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
30,30.01,2026-09-19 09:50:54,169.97,5115.44,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
31,31.01,2026-09-19 09:50:55,169.95,5285.42,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
32,32.01,2026-09-19 09:50:56,170.0,5455.46,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
33,33.01,2026-09-19 09:50:57,170.0,5625.5,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
34,34.01,2026-09-19 09:50:58,169.97,5795.51,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
35,35.01,2026-09-19 09:50:59,169.93,5965.47,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
36,36.01,2026-09-19 09:51:00,170.0,6135.5,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
37,37.01,2026-09-19 09:51:01,170.01,6305.55,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
38,38.01,2026-09-19 09:51:02,169.98,6475.57,735,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
39,39.01,2026-09-19 09:51:03,170.0,6645.61,750,72,170,30.0,30.0,30.0,384.86,11.55,21.36,16.88
