second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-19 22:22:25,236.87,236.96,2100,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
2,2.0,2026-09-19 22:22:26,230.32,467.32,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
3,3.0,2026-09-19 22:22:27,230.15,697.51,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
4,4.0,2026-09-19 22:22:28,230.15,927.72,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
5,5.0,2026-09-19 22:22:29,230.41,1158.18,2055,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
6,6.0,2026-09-19 22:22:30,229.49,1387.72,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
7,7.0,2026-09-19 22:22:31,229.88,1617.66,2070,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
8,8.0,2026-09-19 22:22:32,229.94,1847.67,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
9,9.0,2026-09-19 22:22:33,229.88,2077.59,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
10,10.0,2026-09-19 22:22:34,229.43,2307.07,2085,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
11,11.0,2026-09-19 22:22:35,229.59,2536.7,2070,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
12,12.0,2026-09-19 22:22:36,229.41,2766.16,2070,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
13,13.0,2026-09-19 22:22:37,229.42,2995.64,2070,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
14,14.0,2026-09-19 22:22:38,229.02,3224.73,2070,83,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
15,15.0,2026-09-19 22:22:39,229.81,3454.57,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
16,16.0,2026-09-19 22:22:40,229.89,3684.53,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
17,17.0,2026-09-19 22:22:41,229.81,3914.42,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
18,18.0,2026-09-19 22:22:42,229.77,4144.26,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
19,19.0,2026-09-19 22:22:43,230.06,4374.36,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
20,20.0,2026-09-19 22:22:44,229.59,4604.0,2085,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
21,21.0,2026-09-19 22:22:45,229.69,4833.73,2085,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
22,22.01,2026-09-19 22:22:46,229.61,5063.39,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
23,23.01,2026-09-19 22:22:47,229.85,5293.29,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
24,24.01,2026-09-19 22:22:48,229.33,5522.68,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
25,25.01,2026-09-19 22:22:49,229.66,5752.39,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
26,26.01,2026-09-19 22:22:50,229.38,5981.84,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
27,27.01,2026-09-19 22:22:51,229.26,6211.14,2085,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
28,28.01,2026-09-19 22:22:52,229.66,6440.84,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
29,29.01,2026-09-19 22:22:53,229.44,6670.32,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
30,30.01,2026-09-19 22:22:54,229.3,6899.68,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
31,31.01,2026-09-19 22:22:55,229.31,7129.07,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
32,32.01,2026-09-19 22:22:56,229.91,7359.03,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
33,33.01,2026-09-19 22:22:57,229.51,7588.6,2085,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
34,34.01,2026-09-19 22:22:58,229.46,7818.13,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
35,35.01,2026-09-19 22:22:59,229.4,8047.59,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
36,36.01,2026-09-19 22:23:00,229.86,8277.49,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
37,37.01,2026-09-19 22:23:01,229.92,8507.45,2085,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
38,38.01,2026-09-19 22:23:02,229.59,8737.1,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
39,39.01,2026-09-19 22:23:03,229.69,8966.86,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
40,40.01,2026-09-19 22:23:04,229.41,9196.32,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
41,41.01,2026-09-19 22:23:05,229.5,9425.87,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
42,42.01,2026-09-19 22:23:06,229.57,9655.49,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
43,43.01,2026-09-19 22:23:07,229.72,9885.26,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
44,44.01,2026-09-19 22:23:08,229.06,10114.39,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
45,45.01,2026-09-19 22:23:09,229.21,10343.64,2085,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
46,46.01,2026-09-19 22:23:10,229.68,10573.38,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
47,47.01,2026-09-19 22:23:11,229.87,10803.31,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
48,48.01,2026-09-19 22:23:12,229.59,11032.97,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
49,49.01,2026-09-19 22:23:13,229.66,11262.7,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
50,50.01,2026-09-19 22:23:14,229.66,11492.41,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
51,51.01,2026-09-19 22:23:15,229.81,11722.26,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
52,52.01,2026-09-19 22:23:16,229.31,11951.64,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
53,53.01,2026-09-19 22:23:17,229.74,12181.43,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
54,54.01,2026-09-19 22:23:18,229.54,12411.01,2055,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
55,55.01,2026-09-19 22:23:19,229.7,12640.76,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
56,56.01,2026-09-19 22:23:20,229.81,12870.61,2085,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
57,57.01,2026-09-19 22:23:21,229.51,13100.17,2085,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
58,58.01,2026-09-19 22:23:22,229.78,13330.02,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
59,59.01,2026-09-19 22:23:23,229.84,13559.9,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
60,60.01,2026-09-19 22:23:24,229.59,13789.55,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
61,61.01,2026-09-19 22:23:25,229.44,14019.03,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
62,62.01,2026-09-19 22:23:26,229.78,14248.85,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
63,63.01,2026-09-19 22:23:27,229.64,14478.53,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
64,64.01,2026-09-19 22:23:28,229.24,14707.82,2070,84,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
65,65.02,2026-09-19 22:23:29,228.67,14936.54,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
66,66.02,2026-09-19 22:23:30,229.58,15166.18,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
67,67.02,2026-09-19 22:23:31,229.72,15395.96,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
68,68.02,2026-09-19 22:23:32,229.7,15625.71,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
69,69.02,2026-09-19 22:23:33,229.33,15855.08,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
70,70.02,2026-09-19 22:23:34,229.59,16084.75,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
71,71.02,2026-09-19 22:23:35,229.05,16313.86,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
72,72.02,2026-09-19 22:23:36,229.5,16543.41,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
73,73.02,2026-09-19 22:23:37,229.41,16772.87,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
74,74.02,2026-09-19 22:23:38,229.65,17002.6,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
75,75.02,2026-09-19 22:23:39,229.66,17232.31,2085,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
76,76.02,2026-09-19 22:23:40,229.94,17462.29,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
77,77.02,2026-09-19 22:23:41,229.64,17692.01,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
78,78.02,2026-09-19 22:23:42,229.43,17921.48,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
79,79.02,2026-09-19 22:23:43,229.38,18150.9,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
80,80.02,2026-09-19 22:23:44,229.59,18380.54,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
81,81.02,2026-09-19 22:23:45,229.46,18610.05,2055,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
82,82.02,2026-09-19 22:23:46,229.25,18839.34,2070,85,230,70.0,70.0,70.0,539.57,37.77,3.67,4.4
