regime,target_ai,true_ai,achieved_ai,golden_cap_w,golden_runtime_s,golden_power_w,golden_energy_j,golden_deg_pct,golden_energy_saved_pct,achieved_bw_gbs,achieved_tflops,baseline_cap_w,baseline_runtime_s,baseline_power_w,baseline_energy_j,is_saturated
DRAM,0.0,0.0,0.0,140,78.2298359375,143.34113924050635,11213.553805879155,0.0341858244313098,32.447883413119236,476.7613108296633,0.0,250,78.2031015625,212.26594936708858,16599.85559661491,False
DRAM,10.0,10.0,10.0,150,84.9484296875,149.30094117647062,12682.880503806988,6.928039568511579,35.259464143908644,441.1650003422555,4.4116500034225545,250,79.444484375,246.59136249999997,19590.32364514121,False
DRAM,20.0,20.0,19.999999999999996,170,80.9581953125,168.91534567901238,13675.081546759937,1.8969021722189616,30.41742005614536,460.0508015936142,9.201016031872284,250,79.4510859375,247.36004999999994,19653.02459005429,False
DRAM,30.0,30.0,29.999999999999996,190,80.825984375,188.64248148148147,15247.21426068345,1.3386042034987389,22.64822210547166,461.0025979216291,13.830077937648872,250,79.7583359375,247.14061249999995,19711.523995574506,False
DRAM,40.0,40.0,40.0,200,83.9184921875,198.57857142857142,16664.41429503348,3.935302842544819,16.530449992772994,448.32597429270874,17.93303897170835,250,80.7410859375,247.26770370370372,19964.66291430903,False
DRAM,50.0,50.0,50.00000000000001,220,80.695015625,218.70090123456797,17648.07264232504,1.7259096618598146,9.938065994416933,455.84286862937205,22.792143431468606,250,79.325921875,247.0249875,19595.484859597855,False
DRAM,60.0,60.0,60.0,240,81.307046875,237.88635365853654,19341.836907837456,0.552758425022537,3.2559779518501224,448.86573955829704,26.931944373497824,250,80.8600859375,247.25175308641974,19992.79800276543,False
DRAM,70.0,70.0,70.0,250,81.8585625,247.47500000000002,20257.947754687502,0.0,0.0,442.81806483489123,30.997264538442387,250,81.8585625,247.47500000000002,20257.947754687502,True
DRAM,80.0,80.0,80.0,250,88.0776171875,247.96688764044944,21840.33260477133,0.0,0.0,410.71613965739704,32.857291172591765,250,88.0776171875,247.96688764044944,21840.33260477133,True
DRAM,90.0,90.0,90.00000000000003,250,98.6282109375,248.15988888888887,24475.565867559893,0.0,0.0,371.4290904408102,33.42861813967293,250,98.6282109375,248.15988888888887,24475.565867559893,True
DRAM,100.0,100.0,100.00000000000001,250,96.6646953125,248.06900000000002,23979.514301476564,0.0,0.0,346.47763452761876,34.64776345276188,250,96.6646953125,248.06900000000002,23979.514301476564,True
DRAM,110.0,110.0,110.00000000000003,250,96.1770390625,248.08850515463917,23860.417851214963,0.0,0.0,321.4905213990092,35.36395735389102,250,96.1770390625,248.08850515463917,23860.417851214963,True
DRAM,120.0,120.0,120.00000000000004,250,94.146203125,247.99544210526312,23347.82926651628,0.0,0.0,305.29028458716186,36.63483415045943,250,94.146203125,247.99544210526312,23347.82926651628,True
DRAM,130.0,130.0,130.0,250,91.614,247.84716304347825,22706.269995065217,0.0,0.0,286.75425521095025,37.27805317742354,250,91.614,247.84716304347825,22706.269995065217,True
