regime,target_ai,true_ai,achieved_ai,golden_cap_w,golden_runtime_s,golden_power_w,golden_energy_j,golden_deg_pct,golden_energy_saved_pct,achieved_bw_gbs,achieved_tflops,baseline_cap_w,baseline_runtime_s,baseline_power_w,baseline_energy_j,is_saturated
DRAM,0.0,0.0,0.0,130,80.03509375,143.63899569020154,11496.160486221126,0.027104832822932856,27.506616932294143,476.4115855373006,0.0,250,80.01340625,198.1945423427992,15858.22043300722,False
DRAM,10.0,10.0,10.000000000000002,150,82.110125,149.55939807145506,12280.340870571934,3.5036910398726917,37.071028412447866,455.12016418905705,4.551201641890572,250,79.330625,245.99082647584976,19514.606008595707,False
DRAM,20.0,20.0,20.0,170,81.3858125,169.83513400648215,13822.17037216393,1.281848233719196,30.794292113582394,462.39635990059077,9.247927198011816,250,80.3557734375,248.55198787113076,19972.587224812833,False
DRAM,30.0,30.0,29.999999999999996,190,80.201484375,189.20949822650115,15174.882615614324,0.30296688292923424,23.586454596977767,465.12778086481643,13.953833425944492,250,79.959234375,248.36269452559378,19858.89090157848,False
DRAM,40.0,40.0,40.0,200,82.011515625,199.97553972772278,16400.297100997945,2.6469634855563084,17.39411222110987,452.9114068257655,18.11645627303062,250,79.8966796875,248.49175375222592,19853.66605452672,False
DRAM,50.0,50.0,50.00000000000001,220,80.512328125,219.85337926261485,17700.907410581716,0.3157359257761616,11.387709472905497,460.9914732768883,23.049573663844416,250,80.258921875,248.89045757997218,19975.679790343987,False
DRAM,60.0,60.0,60.0,240,84.529671875,239.77871245201538,20268.41588617884,3.2989744855362213,0.341152518639465,436.0211528351209,26.161269170107254,250,81.8301171875,248.53684068931318,20337.798799017513,False
DRAM,70.0,70.0,70.0,250,81.0803671875,249.0795997996494,20195.465410671124,0.0,0.0,445.4392751890743,31.1807492632352,250,81.0803671875,249.0795997996494,20195.465410671124,True
DRAM,80.0,80.0,80.0,250,86.2619453125,249.29945506939546,21505.055959632242,0.0,0.0,417.74286858251753,33.4194294866014,250,86.2619453125,249.29945506939546,21505.055959632242,True
DRAM,90.0,90.0,90.0,250,97.816578125,249.12955335270917,24369.000418771633,0.0,0.0,376.8930519018603,33.92037467116742,250,97.816578125,249.12955335270917,24369.000418771633,True
DRAM,100.0,100.0,100.0,250,96.1329375,249.0445364231419,23941.38285468237,0.0,0.0,349.8685234181677,34.98685234181677,250,96.1329375,249.0445364231419,23941.38285468237,True
DRAM,110.0,110.0,110.0,250,96.9098203125,248.8395908329845,24115.00003426055,0.0,0.0,323.51365988468433,35.58650258731528,250,96.9098203125,248.8395908329845,24115.00003426055,True
DRAM,120.0,120.0,120.0,250,92.8689765625,249.14116934338466,23137.48541650463,0.0,0.0,305.52898955461666,36.663478746554,250,92.8689765625,249.14116934338466,23137.48541650463,True
DRAM,130.0,130.0,130.0,250,91.9691171875,249.01935028684906,22902.089808486333,0.0,0.0,288.40232698205165,37.492302507666714,250,91.9691171875,249.01935028684906,22902.089808486333,True
