workload,category,working_set_mb,regime,exact_ai,golden_cap_w,baseline_time_s,gov_time_s,baseline_power_w,gov_power_w,baseline_energy_j,gov_energy_j,deg_pct,energy_saved_pct,power_saved_pct,sla_met
19_ReLU,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,3.002,3.0,151.0,124.2,453.3,372.7,-0.05,17.77,17.73,True
21_Sigmoid,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,3.015,3.016,162.5,122.0,489.9,367.9,0.04,24.91,24.94,True
22_Tanh,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,2.998,3.0,161.4,124.9,484.0,374.6,0.07,22.59,22.65,True
23_Softmax,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,2.995,3.003,167.4,118.8,501.4,356.9,0.28,28.83,29.02,True
26_GELU_,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,2.998,3.001,167.1,134.1,501.1,402.4,0.1,19.69,19.77,True
31_ELU,Memory-Bound (Activation),512.0,GDDR DRAM,0.25,120,3.002,3.006,159.7,122.4,479.4,367.8,0.13,23.27,23.37,True
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,Compute-Bound (GEMM/Conv),2048.17,GDDR DRAM,143.99,250,2.996,2.997,204.2,185.4,611.7,555.8,0.05,9.14,9.18,True
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,Compute-Bound (GEMM/Conv),201.03,GDDR DRAM,510.54,250,2.995,3.002,205.1,210.4,614.1,631.6,0.23,-2.84,-2.6,True
12_Gemm_Multiply_LeakyReLU,Compute-Bound (GEMM/Conv),288.03,GDDR DRAM,113.77,250,2.952,2.975,212.2,208.3,626.3,619.8,0.8,1.05,1.83,True
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,Compute-Bound (GEMM/Conv),576.11,GDDR DRAM,383.93,250,2.977,2.98,191.0,194.3,568.7,579.1,0.09,-1.82,-1.73,True
14_Gemm_Divide_Sum_Scaling,Compute-Bound (GEMM/Conv),272.0,GDDR DRAM,120.47,250,3.494,3.51,217.7,231.0,760.4,810.8,0.46,-6.63,-6.14,True
L2_Resident_GEMM_1024,Compute-Bound (L2-Resident GEMM),6.0,L2 Cache,42.67,220,2.562,2.66,197.9,186.1,507.1,495.1,3.84,2.37,5.98,True
