regime,target_ai,kernel_fma,true_ai,achieved_ai,power_cap_w,runtime_s,avg_power_w,peak_power_w,avg_clock_mhz,avg_temp_c,total_energy_j,perf_deg_pct,energy_saved_j,energy_saved_pct,achieved_bw_gbs,achieved_tflops
L2,0.0,0,0.0,0.0,250,71.3060078125,247.9989040511727,250.437,2470.445628997868,82.07405828002842,17683.811789764357,0.0,0.0,0.0,2747.3955198371596,0.0
L2,0.0,0,0.0,0.0,240,72.35034375,238.38339217061878,249.525,2425.354988073523,84.23993265048408,17247.120367835327,1.4645833773867745,436.6914219290302,2.4694416968506383,2707.738432846575,0.0
L2,0.0,0,0.0,0.0,230,73.071359375,229.21642932445556,239.714,2401.67290886392,83.50686641697878,16749.15608182158,2.475740287048489,934.6557079427766,5.285374663870653,2681.020417262984,0.0
L2,0.0,0,0.0,0.0,220,73.9315234375,219.71569316309723,229.652,2355.117380560132,82.09294343767161,16243.915918674082,3.682039852664065,1439.8958710902753,8.142451911435224,2649.8278040645305,0.0
L2,0.0,0,0.0,0.0,210,74.8110546875,209.46989380170893,219.85,2326.5197341651974,80.39563271395633,15670.663680584465,4.915500085513935,2013.1481091798923,11.38412992127145,2618.6745691512006,0.0
L2,0.0,0,0.0,0.0,200,75.7194609375,199.85293037889946,209.493,2280.0,79.0969339938412,15132.756155069985,6.1894548024694185,2551.055634694372,14.425937490303758,2587.258334594321,0.0
L2,0.0,0,0.0,0.0,190,76.90471875,189.87538413829506,203.229,2223.2323832145685,77.25362892583796,14602.313014703794,7.851667915867444,3081.4987750605633,17.425534786816602,2547.3834321972085,0.0
L2,0.0,0,0.0,0.0,180,78.3931953125,178.98324255759772,180.335,2172.3634480973337,75.60082837173181,14031.06829148232,9.939116937573967,3652.7434982820378,20.655860522086638,2499.0154517951933,0.0
L2,0.0,0,0.0,0.0,170,79.985515625,169.96512617415587,180.045,2111.787890327494,74.12020817466362,13594.74825530804,12.172197096383353,4089.063534456316,23.123202073566087,2449.266031115068,0.0
L2,0.0,0,0.0,0.0,160,81.2282265625,159.63063938523052,169.856,2062.6190178682996,73.01599400224916,12966.51374230024,13.914982838599798,4717.298047464117,26.67579876751774,2411.794701079665,0.0
L2,0.0,0,0.0,0.0,150,83.133859375,149.22631598830125,150.198,2000.1730441140628,71.43102607847916,12405.75956842075,16.587454445074922,5278.052221343607,29.846801606419604,2356.510426369653,0.0
L2,0.0,0,0.0,0.0,140,86.577296875,140.14765412564464,149.689,1785.8649789029537,70.18647444913267,12133.605057570754,21.416553150270357,5550.206732193603,31.385805267426232,2262.7849733445028,0.0
L2,0.0,0,0.0,0.0,130,96.94953125,130.20562396650968,140.364,1494.4160125588696,69.03118785975929,12623.37420966688,35.96264077064861,5060.437580097478,28.616214876401997,2020.6988509966209,0.0
L2,0.0,0,0.0,0.0,120,105.925921875,120.17627578947368,130.058,1347.6631578947367,67.38516746411483,12729.782800504243,48.55118821619278,4954.028989260114,28.01448606305331,1849.4604808133608,0.0
L2,0.0,0,0.0,0.0,110,122.189265625,110.11730661239409,121.043,1154.4168466522679,66.08722379132746,13455.15282757139,71.35900518550716,4228.658962192967,23.91259877941347,1603.298009849513,0.0
L2,0.0,0,0.0,0.0,100,143.502109375,99.74931371994343,110.032,977.3794200848656,64.19519094766619,14314.236927520511,101.24827315019589,3369.574862243846,19.054573201204303,1365.1771897623787,0.0
L2,10.0,40,10.0,10.0,250,84.6354921875,248.557638063279,252.505,2193.1585570469797,83.3918983700863,21036.798034448104,0.0,0.0,0.0,1775.0272577226394,17.750272577226394
L2,10.0,40,10.0,10.000000000000002,240,86.3585859375,238.32632396519287,249.805,2153.182619943556,84.99247412982126,20581.524329316573,2.0358997218125507,455.27370513153073,2.1641777631083046,1739.6105317461968,17.39610531746197
L2,10.0,40,10.0,10.0,230,87.45546875,229.49997298237477,239.26,2126.197820037106,83.39981447124305,20071.02771528592,3.331907796143807,965.770319162184,4.59086177269335,1717.7920117612314,17.177920117612313
L2,10.0,40,10.0,10.0,220,89.0708359375,218.90818080382556,229.697,2087.1723784583855,82.96117499715359,19498.33465775413,5.240524554608839,1538.4633766939733,7.313201249423577,1686.6385503443453,16.866385503443453
L2,10.0,40,10.0,10.0,210,90.49334375,209.46921489361702,219.816,2041.644456886898,81.52105263157895,18955.569668410702,6.921270747173791,2081.2283660374014,9.893275405455505,1660.1254786055356,16.601254786055357
L2,10.0,40,10.0,10.0,200,92.0102734375,199.77873717312147,209.663,2009.4074809665674,79.99139357828534,18381.696234297353,8.7135799171133,2655.101800150751,12.6212258909506,1632.7557781428748,16.327557781428748
L2,10.0,40,10.0,10.0,190,95.4840703125,189.55765341271527,199.987,1926.0918562619604,78.13735913246863,18099.736306732208,12.818000870091527,2937.0617277158963,13.961543590932465,1573.35464556455,15.7335464556455
L2,10.0,40,10.0,10.0,180,101.2274375,180.1821100420926,190.166,1805.6103427540588,77.0064141110443,18239.37328290405,19.60400404565792,2797.4247515440547,13.297768733450907,1484.0868179003742,14.840868179003742
L2,10.0,40,10.0,9.999999999999998,170,108.8298203125,170.29297653631284,193.694,1672.7988826815642,75.16173184357542,18532.954036927706,28.58650372281206,2503.8439975203983,11.902210561798961,1380.4149007340484,13.804149007340483
L2,10.0,40,10.0,10.0,160,115.902828125,160.25754911574157,178.222,1558.2901418315532,74.03563298896866,18574.303170895542,36.94352703500663,2462.4948635525616,11.70565434682686,1296.174632094069,12.96174632094069
L2,10.0,40,10.0,10.0,150,126.288265625,149.9782141825766,160.091,1420.2735440397882,72.6544200224611,18940.488550652375,49.2143099318465,2096.3094837957287,9.964964631798944,1189.5824593052646,11.895824593052646
L2,10.0,40,10.0,10.0,140,137.067890625,140.1794345313079,150.077,1295.8121526491293,71.08506854390515,19214.099400211657,61.95084010540419,1822.698634236447,8.664334901403475,1096.0284346579367,10.960284346579366
